Date,WAR/CONFLICT US,WAR/CONFLICT GB,WAR/CONFLICT CA,WAR/CONFLICT AU,WAR/CONFLICT UA,WAR/CONFLICT RU,WAR/CONFLICT FR,WAR/CONFLICT DE,WAR/CONFLICT BR,WAR/CONFLICT CN,WAR/CONFLICT JP,WAR/CONFLICT PK,WAR/CONFLICT KP,WAR/CONFLICT KR,WAR/CONFLICT IN,WAR/CONFLICT TW,WAR/CONFLICT NL,WAR/CONFLICT ES,WAR/CONFLICT SE,WAR/CONFLICT MX,WAR/CONFLICT IR,WAR/CONFLICT IL,WAR/CONFLICT SA,WAR/CONFLICT SY,WAR/CONFLICT FI,WAR/CONFLICT IE,WAR/CONFLICT AT,WAR/CONFLICT NO,WAR/CONFLICT CH,WAR/CONFLICT IT,WAR/CONFLICT MY,WAR/CONFLICT EG,WAR/CONFLICT TR,WAR/CONFLICT PT,WAR/CONFLICT PS,WAR/CONFLICT AE,WAR/CONFLICT ALL
Jul-11,318,269,80,36,0,36,88,55,2,147,36,150,0,4,57,3,6,19,3,0,141,83,8,302,0,7,0,38,1,16,4,58,39,0,36,3,2045
Aug-11,435,254,87,16,0,149,61,42,0,435,36,363,93,63,13,8,1,17,3,0,397,412,10,683,1,9,6,2,0,8,0,212,141,0,483,1,4441
Sep-11,541,862,216,31,1,86,92,21,2,126,101,1018,52,16,29,10,3,24,1,0,131,214,34,189,2,8,2,0,7,13,16,300,186,0,62,5,4401
Oct-11,888,869,132,14,0,59,84,94,2,356,200,378,34,5,35,6,4,6,0,0,527,177,46,437,4,9,2,5,12,10,4,430,201,1,102,3,5136
Nov-11,829,4233,148,96,2,537,83,57,16,798,58,1847,111,135,118,43,5,15,83,0,5561,2082,55,1440,7,17,3,5,10,37,2,287,131,4,123,7,18985
Dec-11,1198,1436,109,35,1,551,65,179,5,737,46,1495,67,50,131,32,2,21,8,1,2068,679,142,473,38,54,3,0,6,15,3,2084,223,2,205,2,12166
Jan-12,981,1246,85,22,0,474,390,56,13,513,39,928,122,122,91,2,19,54,10,0,2964,952,39,307,1,14,1,11,4,11,30,88,30,0,47,8,9674
Feb-12,877,1495,59,35,0,515,88,54,4,278,36,237,853,848,124,3,1,28,5,0,4647,1677,25,1661,14,9,2,5,9,18,2,132,91,6,24,5,13867
Mar-12,634,1864,181,18,18,97,106,75,144,335,45,138,112,32,127,5,6,32,125,0,2955,1416,37,704,19,3,3,14,17,87,0,94,39,4,107,0,9593
Apr-12,810,970,184,22,1,299,168,79,12,607,73,259,221,194,110,51,9,21,3,0,1054,346,6,481,6,7,3,7,5,9,3,142,134,8,26,5,6335
May-12,1527,3333,954,68,0,230,123,94,18,791,36,340,80,73,83,2,12,33,2,0,1243,950,16,1239,2,4,4,4,8,12,5,155,308,5,57,26,11837
Jun-12,939,1115,144,57,8,549,158,96,2,972,140,434,198,283,223,15,4,16,6,2,682,613,46,2062,2,9,0,42,12,14,0,333,1184,2,34,33,10429
Jul-12,683,1509,102,30,0,110,133,132,2,351,39,618,19,7,137,19,6,34,6,0,2015,934,33,1385,0,1,3,1,13,26,3,51,92,6,18,11,8529
Aug-12,808,1382,193,77,2,195,118,278,1,298,63,1254,167,191,66,1,12,25,6,0,1417,1092,11,1008,1,10,3,0,4,11,5,1194,693,23,160,2,10771
Sep-12,1195,1684,187,21,0,151,121,60,5,558,289,64,31,24,49,3,15,29,19,0,2815,1265,4,2443,2,14,3,1,1,7,2,363,844,2,25,2,12298
Oct-12,1406,1645,77,27,2,101,566,93,77,1032,190,197,434,373,133,4,9,225,15,0,1341,596,11,3481,2,53,1,2,5,103,69,115,2489,5,148,5,15032
Nov-12,580,1875,316,32,0,77,91,43,4,192,85,215,13,5,74,1,5,26,2,0,1483,5885,12,1245,4,18,5,2,6,17,4,227,155,5,5966,11,18681
Dec-12,664,1233,44,59,0,151,61,92,0,171,125,384,21,18,80,22,5,76,56,0,563,235,13,2763,34,7,3,0,2,14,2,147,251,2,76,3,7377
