"ID","Date Reported","Date Occurred","Date Discovered","Author","Target","Description","Attack","Target Class","Attack Class","Country","Link"
"1","01/04/2024","30/03/2024","30/03/2024","SEXi","IxMetro","Chilean data center and hosting provider IxMetro Powerhost suffers a cyberattack at the hands of a new ransomware gang known as SEXi, which encrypts the company's VMware ESXi servers and backups.","Ransomware","Information and communication","Cyber Crime","CL","Link"
"2","01/04/2024","End of March 2024","End of March 2024","Hunters International","Hoya Corporation","Hoya Corporation, one of the largest global manufacturers of optical products, says a ""system failure"" caused servers at some of its production plants and business divisions to go offline. The Hunters International ransomware gang claims responsibility for the attack and demands a $10M ransom.","Ransomware","Manufacturing","Cyber Crime","JP","Link"
"3","01/04/2024","-","-","?","Multiple organizations","Researchers from AhnLab discover a malicious campaign using a Google Ad statistical feature to embed URLs that distribute malware, including the Rhadamanthys stealer.","Malvertising","Multiple Industries","Cyber Crime",">1","Link"
"4","02/04/2024","07/11/2023","07/11/2023","Bignosa and Gods","Multiple organizations in America and Australia","Researchers from Check Point uncovered a malware campaign distributing the Agent Tesla malware against American and Australian organizations.","Malware","Multiple Industries","Cyber Crime","AU US","Link"
"5","02/04/2024","During March 2024","During March 2024","Earth Freybug (subset of APT41, a.k.a. Axiom, Brass Typhoon - formerly Barium -, Bronze Atlas, HOODOO, Wicked Panda, and Winnti)","Multiple organizations","Researchers from Trend Micro discover a threat activity cluster tracked as Earth Freybug using a new malware called UNAPIMON to fly under the radar.","Targeted Attack","Multiple Industries","Cyber Espionage",">1","Link"
"6","02/04/2024","02/04/2024","02/04/2024","?","Jackson County","Jackson County, Missouri, declares a state of emergency and closes key offices indefinitely as it responds to what officials believe is a ransomware attack that has made some of its IT systems inoperable.","Ransomware","Public admin and defence, social security","Cyber Crime","US","Link"
"7","02/04/2024","-","-","?","Multiple organizations","Researchers from Sucuri discover a new variant of the Magento Shoplift malware targeting both WordPress and Magento CMS.","Malicious Script Injection","Wholesale and retail","Cyber Crime",">1","Link"
"8","02/04/2024","During February 2024","During February 2024","?","Multiple organizations","Researchers from McAfee discover a new Pikabot campaign leveraging various file types, including HTML, Javascript, and Excel, to breach security defenses.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"9","02/04/2024","Between 01/01/2024 and 10/02/2024","Between 01/01/2024 and 10/02/2024","The Com'","Multiple organizations","Researchers at Intel471 discover a widespread phishing campaign carried out by a community of English-speaking threat actors dubbed 'The Com'.","Account Takeover","Multiple Industries","Cyber Crime",">1","Link"
"10","02/04/2024","-","-","TA558","Multiple organizations in Latin America","Researchers from Perception Point discover a new phishing campaign by the threat actor TA558 targeting a wide range of sectors in Latin America with the goal of deploying Venom RAT.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"11","02/04/2024","12/09/2023","13/10/2023","?","City of Hope","Cancer treatment and research center City of Hope warns that a data breach exposed the sensitive information of over 820,000 patients.","Unknown","Human health and social work","Cyber Crime","US","Link"
"12","02/04/2024","During March 2024","During March 2024","?","New York City Automated Personnel System, Employee Self Service (known as NYCAPS/ESS)","The city of New York took its payroll website partially offline for the last nine days in response to a recent phishing scheme targeting city employees","Account Takeover","Public admin and defence, social security","Cyber Crime","US","Link"
"13","02/04/2024","-","-","?","Diabetes WA","Diabetes WA discloses a data breach affecting people who engaged with its telehealth service.","Unknown","Human health and social work","Cyber Crime","AU","Link"
"14","02/04/2024","14/03/2024","-","BianLian","On Q Financial","On Q Financial discloses a breach due to the ScreenConnect CVE-2024-1709 and CVE-2024-1708 vulnerabilities. The BianLian ransomware group claims responsibility for the attack.","Ransomware","Finance and insurance","Cyber Crime","US","Link"
"15","03/04/2024","29/03/2024","29/03/2024","Medusa","East Baton Rouge Sheriff's Office","The East Baton Rouge Sheriff's Office is hit with a ransomware attack. The Medusa group claims responsibility.","Ransomware","Public admin and defence, social security","Cyber Crime","US","Link"
"16","03/04/2024","-","-","?","Multiple organizations","Researchers from Proofpoint discover a campaign where threat actors put links in YouTube video descriptions allegedly taking victims to other sites where information-stealing malware like Vidar, StealC and Lumma Stealer can be delivered.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"17","03/04/2024","21/02/2024","21/02/2024","?","Organizations in the oil and gas sector","Researchers from Cofense discover an updated version of an information-stealing malware Rhadamanthys, used in phishing campaigns targeting the oil and gas sector.","Malware","Electricity, gas steam, air conditioning","Cyber Crime",">1","Link"
"18","03/04/2024","Since at least 29/03/2024","Since at least 29/03/2024","Red Ransomware Group (Red CryptoApp)","Multiple organizations","Researchers at Netenrich uncover a new ransomware group called Red Ransomware Group (Red CryptoApp).","Ransomware","Multiple Industries","Cyber Crime",">1","Link"
"19","03/04/2024","Since at least 23/01/2023","Since at least 23/01/2023","Foreign threat actors","At least 12 MPs in the UK","At least a dozen Westminster insiders are targeted in a WhatsApp phishing attack.","Account Takeover","Public admin and defence, social security","Cyber Espionage","GB","Link"
"20","03/04/2024","Since September 2022","During September 2022","?","Financial organizations in Malaysia, Vietnam e Myanmar","Researchers from Cyble discover a fake e-shop campaign targeting 18 Malaysian banks with upgraded malicious applications and expanding to banks in Vietnam and Myanmar.","Malware","Finance and insurance","Cyber Crime","MM MY VN","Link"
"21","03/04/2024","'Recently'","'Recently'","Multiple threat actors","IT help desks across the Healthcare and Public Health (HPH) sector.","The U.S. Department of Health and Human Services (HHS) warns that threat actors are now using social engineering tactics to target IT help desks across the Healthcare and Public Health (HPH) sector.","Account Takeover","Human health and social work","Cyber Crime","US","Link"
"22","03/04/2024","-","-","?","Undisclosed organization(s) or individual(s)","Google fixes CVE-2024-29745 and CVE-2024-29748, two Google Pixel zero-days exploited by forensic firms to unlock phones without a PIN and gain access to the data stored within them.","CVE-2024-29745 and CVE-2024-29748 Vulnerabilities","Unknown","Cyber Espionage","N/A","Link"
"23","03/04/2024","-","During February 2024","?","SurveyLama","SurveyLama suffers a data breach in February 2024, which exposes the sensitive data of 4.4 million users.","Unknown","Other service activities","Cyber Crime","FR","Link"
"24","03/04/2024","29/03/2024","29/03/2024","Daixin","Omni Hotels & Resorts","Omni Hotels & Resorts confirms that an alleged ransomware attack caused a nationwide IT outage that is still affecting its locations. The Daixin Team ransomware claims responsibility for the attack.","Ransomware","Accommodation and food service","Cyber Crime","US","Link"
"25","03/04/2024","Since at least 27/03/2024","27/03/2024","Solar Spider","Financial services and organizations in the APAC and MENA regions.","Researchers from Resecurity detect a new version of JSOutProx, targeting financial services and organizations in the APAC and MENA regions.","Malware","Finance and insurance","Cyber Crime",">1","Link"
"26","03/04/2024","16/01/2024","01/02/2024","LockBit","Ernest Health","Ernest Health rehabilitation hospitals notify patients of a LockBit ransomware attack.","Ransomware","Human health and social work","Cyber Crime","US","Link"
"27","03/04/2024","17/02/2024","17/02/2024","INC Ransom","Otolaryngology Associates","Otolaryngology Associates notifies 316,802 patients about a ransomware attack.","Ransomware","Human health and social work","Cyber Crime","US","Link"
"28","04/04/2024","Since at least February 2024","During February 2024","?","Multiple organizations","Researchers from Fortinet discover a campaign using a bogus installers for Adobe Acrobat Reader to distribute a new multi-functional malware dubbed Byakugan.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"29","04/04/2024","During 2023","During 2023","?","Multiple organizations","Researchers from Bitdefender reveal that cybercriminals are taking over Facebook pages and using them to advertise fake generative artificial intelligence software loaded with malware.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"30","04/04/2024","Since at least 27/03/2024","45378","?","Financial organizations worldwide","Visa warns about a spike in detections for a new version of the JsOutProx malware targeting financial institutions and their customers.","Malware","Finance and insurance","Cyber Crime",">1","Link"
