"ID","Date Reported","Date Occurred","Date Discovered","Author","Target","Description","Attack","Target Class","Attack Class","Country","Link"
"1","01/08/2023","Since 31/07/2023","Since 31/07/2023","NoName057(16)","Multiple targets in Italy","The pro-Russian hacktivist group NoName057(16) claims responsibility for multiple DDoS attacks against the websites of at least five banks, including Intesa Sanpaolo, the largest bank in Italy, and the websites of an Italian water supply company, a national business newspaper, and a public transport website.","DDoS","Multiple Industries","Hacktivism","IT","Link"
"2","01/08/2023","February 7, March 11, May 19-21, May 27-28, and June 18-21","'Recently'","?","Hot Topic","American apparel retailer Hot Topic notifies customers about multiple cyberattacks between February 7 and June 21 that resulted in exposing sensitive information to hackers.","Credential stuffing","Wholesale and retail","Cyber Crime","US","Link"
"3","01/08/2023","Since April 2023","-","Multiple threat actors","Multiple organizations in the U.S.","The U.S. Cybersecurity and Infrastructure Security Agency (CISA) discloses that state hackers have been exploiting two flaws in Ivanti's Endpoint Manager Mobile (EPMM), formerly MobileIron Core, since April.","CVE-2023-35078 and CVE-2023-35081 vulnerabilities","Multiple Industries","Cyber Espionage","US","Link"
"4","01/08/2023","Since mid-July 2023","Mid-July 2023","Multiple threat actors","Multiple organizations","Researchers from Cofense warn of increased phishing activity that abuses Google Accelerated Mobile Pages (AMP) to bypass email security measures and get to inboxes of enterprise employees.","Account Takeover","Multiple Industries","Cyber Crime",">1","Link"
"5","01/08/2023","Since December 2022","During March 2023","Vietnamese threat actors","Multiple organizations","Researchers from Palo Alto Networks uncover a previously unreported phishing campaign that uses new variants of the NodeStealer malware to compromise Facebook corporate accounts.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"6","01/08/2023","31/05/2023","03/07/2023","Clop AKA Lace Tempest, TA505 and FIN11","Serco","Serco Inc, the Americas division of multinational outsourcing company Serco Group, discloses a data breach after attackers stole the personal information of over 10,000 individuals from a third-party vendor's MoveIT managed file transfer (MFT) server.","CVE-2023-34362 Vulnerability","Professional, scientific and technical","Cyber Crime","US","Link"
"7","01/08/2023","-","-","Clop AKA Lace Tempest, TA505 and FIN11","Lumico Life Insurance Company","Lumico Life Insurance Company files a notice of data breach after discovering that a MOVEit data breach at Pension Benefits Information.","CVE-2023-34362 Vulnerability","Finance and insurance","Cyber Crime","US","Link"
"8","01/08/2023","01/08/2023","01/08/2023","?","Hawaii's Gemini North Observatory","The National Science Foundation’s National Optical-Infrared Astronomy Research Laboratory (NOIRLab) detects a cyber incident in its computer systems, forcing the suspension of astronomical observations at Gemini North in Hawai‘i.","Unknown","Professional, scientific and technical","Cyber Crime","US","Link"
"9","01/08/2023","Since April 2023","'Recently'","?","Multiple organizations","Researchers from Guardz reveal that a new Hidden Virtual Network Computing (hVNC) malware targeting macOS devices is being advertised on a prominent cybercrime forum.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"10","01/08/2023","01/08/2023","01/08/2023","Killnet","London Metal Exchange (LME)","The pro-Russian group Killnet along with other hacker groups claims to have targeted the London Metal Exchange (LME) with a cyber attack. The London Metal Exchange cyber attack has not been confirmed by the organization.","DDoS","Finance and insurance","Hacktivism","GB","Link"
"11","01/08/2023","-","-","?","Individuals in the U.S.","The North American Better Business Bureau has been warning consumers that scammers are exploiting QR code payment methods in parking lots across the US.","Account Takeover","Individual","Cyber Crime","US","Link"
"12","01/08/2023","02/03/2023 and 30/03/2023","02/06/2023","?","Hospitality Staffing Solutions (HSS)","Hospitality Staffing Solutions (HSS) files a notice of data breach after discovering that an unauthorized party accessed the company’s computer network.","Unknown","Administration and support service","Cyber Crime","US","Link"
"13","01/08/2023","13/07/2023","09/05/2023","?","Health Employers Association of BC (HEABC)","Thousands of health-care workers’ personal information is compromised in a data breach that’s targeted three websites on servers at the Health Employers Association of BC.","Unknown","Human health and social work","Cyber Crime","CA","Link"
"14","01/08/2023","-","31/07/2023","?","Discovery at Home","Discovery at Home issues a website notice about a phishing incident they discovered on June 1.","Account Takeover","Administration and support service","Cyber Crime","US","Link"
"15","01/08/2023","01/08/2023","01/08/2023","?","LeetSwap","LeetSwap halts transactions, after an attacker exploits a smart contract function to inflate the price of $630,000 worth of ETH tokens on the platform before draining them","Vulnerability","Fintech","Cyber Crime","N/A","Link"
"16","02/08/2023","30/05/2023","02/06/2023","Clop AKA Lace Tempest, TA505 and, FIN11","Performance Health Technology (PH Tech)","Performance Health Technology (PH Tech), a company that provides data management services to U.S. healthcare insurers, confirms in a notice that it was impacted by the MOVEit mass-hacks","CVE-2023-34362 Vulnerability","Professional, scientific and technical","Cyber Crime","US","Link"
"17","02/08/2023","'Recently'","'Recently'","?","Valuable Facebook accounts of Multiple Organizations","Researchers from Guardio Labs reveal that attackers exploited a zero-day vulnerability in Salesforce's email services and SMTP servers dubbed 'PhishForce', to launch a sophisticated phishing campaign targeting valuable Facebook accounts.","Account Takeover","Multiple Industries","Cyber Crime",">1","Link"
"18","02/08/2023","SInce 20/07/2023","SInce 20/07/2023","Multiple threat actors","Multiple Organizations","Researchers from the Shadow Server Foundation reveal that hundreds of Citrix Netscaler ADC and Gateway servers have already been breached and backdoored in a series of attacks targeting the critical remote code execution (RCE) vulnerability tracked as CVE-2023-3519.","CVE-2023-3519 Vulnerability","Multiple Industries","Cyber Espionage",">1","Link"
"19","02/08/2023","Since at least late May 2023","During May 2023","APT29 (AKA Cozy Bear, Cloaked Ursa, BlueBravo, Midnight Blizzard, and formerly Nobelium)","Fewer than 40 Government, non-government organizations (NGOs), IT services, technology, discrete manufacturing, and media sectors organizations","Microsoft reveals that the hacking group tracked as APT29 and linked to Russia's Foreign Intelligence Service (SVR) targeted dozens of organizations worldwide, including government agencies, in Microsoft Teams phishing attacks.","Account Takeover","Multiple Industries","Cyber Espionage",">1","Link"
"20","02/08/2023","End of July 2023","End of July 2023","?","Individuals","A site impersonating Flipper Devices promises a free Flipper Zero after completing an offer but only leads to shady browser extensions and scam sites.","Malware","Individual","Cyber Crime",">1","Link"
"21","02/08/2023","-","31/07/2023","LockBit 3.0","West Oaks School","The West Oaks School is hit with a LockBit ransomware attack.","Malware","Education","Cyber Crime","GB","Link"
"22","02/08/2023","Since at least March 2023","Since at least March 2023","BlueCharlie AKA Callisto/Calisto, COLDRIVER, Star Blizzard/SEABORGIUM, TAG53","Multiple organizations","Researchers from Recorded Future  discover a new infrastructure attributed with associated with the threat activity group BlueCharlie to launch attacks against a variety of targets.","Targeted Attack","Multiple Industries","Cyber Espionage",">1","Link"
"23","02/08/2023","19/07/2023","19/07/2023","NoName057(16)","Over 50 different government, finance, telecom, travel, public transport and news organizations across Spain","The Russian collective NoName057(16) launches a total of 85 DDoS attacks targeting over 50 different government, finance, telecom, travel, public transport and news organizations across Spain.","DDoS","Multiple Industries","Hacktivism","ES","Link"
"24","02/08/2023","-","-","Akira","Parathon","The Akira ransomware group adds U.S.-based software company Parathon to its victim list. The hackers claimed to have 560 GB of data of employee data and other information, exfiltrated after the Parathon cyber attack.","Malware","Professional, scientific and technical","Cyber Crime","US","Link"
"25","02/08/2023","02/08/2023","02/08/2023","Anonymous Sudan","MTN","Anonymous Sudan claims responsibility for a cyber attack on the website of a Nigerian mobile telecommunication company, MTN,","DDoS","Information and communication","Hacktivism","NG","Link"
"26","02/08/2023","Since May 2023","Since May 2023","?","Crypto Investors","Researchers from Sophos discover a new CryptoRom scam campaign using generative AI to assist in the interaction with victims.","Account Takeover","Fintech","Cyber Crime",">1","Link"
"27","02/08/2023","'Recently'","'Recently'","?","Users of OpenBullet","Researchers from Kasada discover a new malware campaign making use of malicious OpenBullet configuration files to target inexperienced cyber criminals with the goal of delivering a remote access trojan (RAT) capable of stealing sensitive information.","Malware","Individual","Cyber Crime",">1","Link"
"28","02/08/2023","-","30/06/2023","?","EP Global Production Solutions (Entertainment Partners)","EP Global Production Solutions (Entertainment Partners) files a notice of data breach after discovering that an unauthorized party was able to access and acquire files from the company’s computer network.","Unknown","Administration and support service","Cyber Crime","US","Link"
"29","02/08/2023","-","-","?","Digital infrastructures in Nigeria","The Nigerian National Information Technology Development Agency (NIDTA) warns about DDoS attacks of hacktivists targeting important digital infrastructure in the country.","DDoS","Public admin and defence, social security","Hacktivism","NG","Link"
"30","03/08/2023","-","-","Rilide","Multiple organizations","Researchers from Trustwave discover a new version of the Rilide Stealer extension targeting Chromium-based browsers such as Google Chrome, Microsoft Edge, Brave, and Opera.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"31","03/08/2023","28/07/2023","28/07/2023","Lazarus Group","IT Professionals","Researchers from ReversingLabs and Sonatype discover a malicious package that mimics the VMware vSphere connector module ‘vConnector’, uploaded on the Python Package Index (PyPI) under the name ‘VMConnect,’ targeting IT professionals.","Malware","Individual","Cyber Espionage",">1","Link"
"32","03/08/2023","'Recently'","'Recently'","?","Multiple organizations","Researchers from Guidepoint reveal that attackers are increasingly abusing the legitimate Cloudflare Tunnels feature to create stealthy HTTPS connections from compromised devices, bypass firewalls, and maintain long-term persistence.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"33","03/08/2023","Since 18/05/2022","Since 18/05/2022","?","Multiple organizations in Finland","According to a senior official, ransomware attacks targeting Finnish organizations have increased four-fold since the Nordic country began the process of joining NATO.","Malware","Multiple Industries","Cyber Warfare","FI","Link"
"34","03/08/2023","Since June 2022","Since June 2022","Mysterious Team Bangladesh","Government, financial, and transportation industries primarily in India and Israel","Researchers from Group-IB reveal that the hacktivist group Mysterious Team Bangladesh has launched more than 750 DDoS attacks since June 2022, primarily against Government, financial, and transportation industries in India and Israel.","DDoS","Multiple Industries","Hacktivism","IL IN","Link"
"35","03/08/2023","-","-","LockBit 3.0","Best Motel","The LockBit ransomware group adds Best Motel to the list of their victims.","Malware","Accommodation and food service","Cyber Crime","DE","Link"
"36","03/08/2023","-","-","LockBit 3.0","Federal Electric Corp (FEC)","The LockBit ransomware group adds Federal Electric Corp (FEC) to the list of their victims.","Malware","Manufacturing","Cyber Crime","TH","Link"
"37","03/08/2023","-","-","LockBit 3.0","Construction CRD","The LockBit ransomware group adds Construction CRD to the list of their victims.","Malware","Professional, scientific and technical","Cyber Crime","CA","Link"
"38","03/08/2023","Since March 2023","Since March 2023","STRRAT","Multiple organizations","Researchers from Cyble discover a new campaign distributing a new version 1.6 of the STRRAT malware with a new infection technique.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"39","03/08/2023","-","-","?","Multiple organizations in South Korea","Researchers from AhnLab reveal that Linux systems in South Korea are under attack by threat actors utilizing an open-source rootkit named Reptile.","Malware","Multiple Industries","Cyber Crime","KR","Link"
"40","03/08/2023","31/07/2023","31/07/2023","?","Developers involved in the cryptocurrency sphere","Researchers from Phylum discover a stealthy malware on npm, the popular package manager for JavaScript, posing a severe threat by exposing sensitive developer data.","Malware","Fintech","Cyber Crime",">1","Link"
"41","03/08/2023","30/05/2023","21/06/2023","?","Omaha Health Insurance Company","Omaha Health Insurance Company files a notice of data breach after discovering that an incident at a third-party vendor compromised consumers enrolled in the Medicare Part D Prescription Drug Plan.","Unknown","Finance and insurance","Cyber Crime","US","Link"
"42","03/08/2023","31/05/2023","01/06/2023","Clop AKA Lace Tempest, TA505 and, FIN11","Starmount Life Insurance Company","Unum Group’s subsidiary Starmount Life Insurance Company posts a notice of data breach on its website after discovering that the company’s MOVEit server was accessed by an unauthorized party.","CVE-2023-34362 Vulnerability","Finance and insurance","Cyber Crime","US","Link"
"43","04/08/2023","-","-","Multiple threat actors","NFT collectors in the U.S.","The FBI warns of fraudsters posing as Non-Fungible Token (NFT) developers to prey upon NFT enthusiasts and steal their cryptocurrency and NFT assets.","Account Takeover","Fintech","Cyber Crime","US","Link"
"44","04/08/2023","19/06/2023","19/06/2023","?","Colorado Department of Higher Education (CDHE)","The Colorado Department of Higher Education (CDHE) discloses a massive data breach impacting students, past students, and teachers after suffering a ransomware attack in June.","Malware","Public admin and defence, social security","Cyber Crime","US","Link"
"45","04/08/2023","-","-","?","Android users","Researchers from McAfee reveal that the Google Play store was infiltrated by 43 Android applications with 2.5 million installs that secretly displayed advertisements while a phone's screen was off, running down a device's battery.","Malware","Individual","Cyber Crime",">1","Link"
"46","04/08/2023","Since 17/05/2023","Since 17/05/2023","Rhysida","Healthcare organizations in the U.S.","The U.S. Health Sector Cybersecurity Coordination Center (H3C) warns about a wave of Rhysida ransomware attacks targeting healthcare organizations in the U.S.","Malware","Human health and social work","Cyber Crime","US","Link"
"47","04/08/2023","03/08/2023","03/08/2023","Rhysida","Prospect Medical Holdings","Prospect Medical Holdings, a major hospital network with arms in multiple states, dealing with widespread network outages due to a cyberattack, which the FBI confirmed to be ransomware.","Malware","Human health and social work","Cyber Crime","US","Link"
"48","04/08/2023","04/08/2023","04/08/2023","NDT SEC","Delta Electronics","The NDT SEC group claims responsibility for an attack to Delta Electronics in Thailand.","DDoS","Manufacturing","Cyber Crime","TH","Link"
"49","04/08/2023","04/08/2023","04/08/2023","Team R70","Chhattisgarh State Biodiversity Board","In name of OpIndia, Team R70 claims responsibility for defacing the website of the Chhattisgarh State Biodiversity Board.","Defacement","Public admin and defence, social security","Hacktivism","IN","Link"
"50","04/08/2023","Earlier in 2023","Mid-June 2023","?","Israel’s National Cybersecurity Directorate","Israel’s National Cybersecurity Directorate declares there was “no breach” of its network after passwords belonging to a senior agency official were stolen from their home computer earlier this year and published online.","Malware","Public admin and defence, social security","Cyber Crime","IL","Link"
"51","04/08/2023","'Recently'","'Recently'","?","Android users in South Korea","Researchers from McAfee discover a new adware campaign specifically targeting Korean Android users.","Malware","Individual","Cyber Crime","KR","Link"
"52","04/08/2023","-","-","Clop AKA Lace Tempest, TA505 and FIN11","Radius Global Solutions","Radius Global Solutions files a notice of data breach after learning that an unauthorized party was able to access the company’s MOVEit server.","CVE-2023-34362 Vulnerability","Administration and support service","Cyber Crime","US","Link"
"53","04/08/2023","30/05/2023","22/06/2023","Clop AKA Lace Tempest, TA505 and FIN11","Indiana University Health (IU Health)","Indiana University Health (IU Health) posts a notice on its website announcing a data breach that occurred as a result of a third-party vendor’s (TMG Health) use of the file transfer program MOVEit.","CVE-2023-34362 Vulnerability","Human health and social work","Cyber Crime","US","Link"
"54","04/08/2023","'Recently'","'Recently'","?","Loren D. Stark Company","Loren D. Stark Company files a notice of data breach after discovering that the company was the target of a recent cyberattack.","Unknown","Finance and insurance","Cyber Crime","US","Link"
"55","04/08/2023","17/06/2023","-","?","Capital Neurological Surgeons","Capital Neurological Surgeons discloses that an unauthorized individual gained access to an employee email account and potentially obtained patient information.","Account Takeover","Human health and social work","Cyber Crime","US","Link"
"56","04/08/2023","Between 21/07/2023 and 28/07/2023","Between 21/07/2023 and 28/07/2023","Lone Wolf","Organizations in Russia","Researchers from Bi.Zone reveal that the Lone Wolf ransomware group launches multiple campaigns against organizations In Russia in the logistics, manufacturing, and financial sectors.","Malware","Multiple Industries","Cyber Crime","RU","Link"
"57","05/08/2023","-","-","?","State organizations in Ukraine","The Computer Emergency Response Team of Ukraine (CERT-UA) warns of a wave of attacks targeting state organizations using 'Merlin,' an open-source post-exploitation and command and control framework.","Targeted Attack","Public admin and defence, social security","Cyber Espionage","UA","Link"
"58","05/08/2023","-","-","Clop AKA Lace Tempest, TA505 and FIN11","K & L Gates","K & L Gates is added to the list of the victims of the Clop ransomware gang exploiting the CVE-2023-34362 vulnerability.","CVE-2023-34362 Vulnerability","Professional, scientific and technical","Cyber Crime","US","Link"
"59","05/08/2023","-","-","Clop AKA Lace Tempest, TA505 and FIN11","Delaware Life","Delaware Life is added to the list of the victims of the Clop ransomware gang exploiting the CVE-2023-34362 vulnerability.","CVE-2023-34362 Vulnerability","Finance and insurance","Cyber Crime","US","Link"
"60","05/08/2023","-","-","Clop AKA Lace Tempest, TA505 and FIN11","Zurich Brazil","Zurich Brazil is added to the list of the victims of the Clop ransomware gang exploiting the CVE-2023-34362 vulnerability.","CVE-2023-34362 Vulnerability","Finance and insurance","Cyber Crime","BR","Link"
"61","06/08/2023","-","-","ALPHV AKA BlackCat","IBL Healthcare","IBL Healthcare is listed as a new victim by the ALPHV ransomware group on their dark web portal.","Malware","Human health and social work","Cyber Crime","PK","Link"
"62","06/08/2023","-","-","8BASE","Delaney Browne Recruitment","The 8BASE ransomware group has disclosed information regarding a cyberattack targeting the website of Delaney Browne Recruitment, an England-based recruitment agency.","Malware","Professional, scientific and technical","Cyber Crime","GB","Link"
"63","07/08/2023","","","ScarCruft","NPO Mashinostroyeniya","Researchers from Sentinel One reveal that the North Korean threat group ScarCruft hacked the IT infrastructure and email server for NPO Mashinostroyeniya, a Russian space rocket designer and intercontinental ballistic missile engineering organization using a Windows backdoor named 'OpenCarrot'.","Targeted Attack","Manufacturing","Cyber Espionage","RU","Link"
"64","07/08/2023","Since at least 04/06/2023.","Since at least 04/06/2023.","Yashma (Vietnamese threat actors)","Organizations in China, Vietnam, Bulgaria and several other English-speaking countries.","Researchers from Cisco Talos discover an unknown threat actor, seemingly of Vietnamese origin, conducting a ransomware operation targeting organizations in China, Vietnam, Bulgaria and several other English-speaking countries.","Malware","Multiple Industries","Cyber Crime","BG CN VN","Link"
"65","07/08/2023","-","-","LockBit 3.0","Varian Medical Systems","The LockBit ransomware gang adds to its leak site Varian Medical Systems, a radiation oncology treatments and software maker acquired by Siemens Healthineers two years ago.","Malware","Professional, scientific and technical","Cyber Crime","US","Link"
"66","07/08/2023","-","-","Clop AKA Lace Tempest, TA505 and FIN11","Aristocrat","Aristocrat confirms to have been hit by the Clop ransomware gang exploiting the CVE-2023-34362 vulnerability.","CVE-2023-34362 Vulnerability","Arts entertainment, recreation","Cyber Crime","AU","Link"
"67","07/08/2023","'Recently'","'Recently'","Clop AKA Lace Tempest, TA505 and FIN11","Bank OZK","Bank OZK files a notice of data breach after discovering that one of the company’s business partners experienced a data breach related to a vulnerability in MOVEit.","CVE-2023-34362 Vulnerability","Finance and insurance","Cyber Crime","US","Link"
"68","07/08/2023","-","-","Clop AKA Lace Tempest, TA505 and FIN11","Hartford Life and Accident Insurance Company (The Hartford)","Hartford Life and Accident Insurance Company (The Hartford) files a notice of data breach explaining that a cyber incident resulted in an unauthorized party being able to access consumers’ sensitive information, including their names and Social Security numbers. The breach is probably related to the exploitation of the MOVEit vulnerability.","CVE-2023-34362 Vulnerability","Finance and insurance","Cyber Crime","US","Link"
"69","07/08/2023","30/05/2023","-","Clop AKA Lace Tempest, TA505 and FIN11","Vecino Health Centers","Vecino Health Centers announces it was affected by the recent MOVEit cyber attack","CVE-2023-34362 Vulnerability","Human health and social work","Cyber Crime","US","Link"
"70","07/08/2023","-","-","ThreatSec","MindX Technology School (mindx.edu.vn)","The ThreatSec group allegedly claims to have hacked into MindX Technology School (mindx.edu.vn), database and is kept for sale","Unknown","Education","Hacktivism","VN","Link"
"71","07/08/2023","-","-","?","Individuals","Researchers from Imperva discover a massive phishing campaign involving 800 different scam domains and impersonated around 340 legitimate companies all over the world.","Account Takeover","Individual","Cyber Crime",">1","Link"
"72","07/08/2023","-","-","?","Health Service of Madeira (SESARAM)","The Health Service of Madeira (SESARAM) confirms a cyber attack and suspends non-urgent activity.","Malware","Human health and social work","Cyber Crime","PT","Link"
"73","07/08/2023","During 2020","-","Chinese cyberespionage group","Classified military networks","Classified military networks run by Japan reportedly suffered a massive breach in 2020 at the hands of a Chinese cyberespionage group. Attackers accessed Ministry of Defense plans as well as information about military capabilities and shortcomings.","Targeted Attack","Public admin and defence, social security","Cyber Espionage","JP","Link"
"74","07/08/2023","'Earlier in 2023'","'Earlier in 2023'","Mallox (AKA TargetCompany, Fargo, and Tohnichi)","Multiple organizations","Researchers from Trend Micro reveal that the Mallox ransomware group is stepping up in a new campaign of targeted attacks against organizations with vulnerable SQL servers.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"75","07/08/2023","25/02/2023","25/02/2023","?","IVF Michigan and Ohio Fertility Centers","IVF Michigan and Ohio Fertility Centers notifies 9,383 patients that some of their protected health information was compromised in a February 25, 2023, ransomware attack.","Malware","Human health and social work","Cyber Crime","US","Link"
"76","08/08/2023","During August 2021","During October 2022","?","UK Electoral Commission","The UK Electoral Commission discloses a massive data breach exposing the personal information of anyone who registered to vote in the United Kingdom between 2014 and 2022 after suffering a cyber attack.","Unknown","Public admin and defence, social security","N/A","GB","Link"
"77","08/08/2023","-","-","Sandworm","Ukraine Military","Ukrainian security services say they prevented an attempt by Russian state-controlled hackers from the Sandworm group to break into the battlefield management system used by the Ukrainian military.","Targeted Attack","Public admin and defence, social security","Cyber Espionage","UA","Link"
"78","08/08/2023","-","-","?","Unknown organization(s)","Microsoft provides security updates for 87 flaws, including CVE-2023-36884 and CVE-2023-38180, two actively exploited and twenty-three remote code execution vulnerabilities.","CVE-2023-36884 and CVE-2023-38180 vulnerabilities","Unknown","N/A","N/A","Link"
"79","08/08/2023","-","13/06/2023","Clop AKA Lace Tempest, TA505 and FIN11","Missouri's Department of Social Services","Missouri's Department of Social Services (DSS) warns that protected Medicaid healthcare information was exposed in a data breach after IBM suffered a MOVEit data theft attack.","CVE-2023-34362 Vulnerability","Public admin and defence, social security","Cyber Crime","US","Link"
"80","08/08/2023","29/05/2023","30/05/2023","Clop AKA Lace Tempest, TA505 and FIN11","Global Atlantic Financial Group","Global Atlantic Financial Group files a notice of data breach after discovering the MOVEit-related data breach at Pension Benefit Information.","CVE-2023-34362 Vulnerability","Finance and insurance","Cyber Crime","US","Link"
"81","08/08/2023","Since 2021","Since 2021","RedHotel, AKA TAG-22, Charcoal Typhoon and BRONZE UNIVERSITY","Organizations across at least 17 countries across Asia, Europe and North America","Researchers from Recorded Future reveal that the RedHotel group, affiliated with China’s Ministry of State Security targeted a range of government, telecommunications and research organizations across at least 17 countries since 2021.","Targeted Attack","Multiple Industries","Cyber Espionage",">1","Link"
"82","08/08/2023","08/08/2023","08/08/2023","?","Mayanei Hayeshua Medical Center","The Israeli hospital Mayanei Hayeshua Medical Center, near Tel Aviv, is hit with a ransomware attack, prompting it to stop admitting new patients and redirecting people to nearby hospitals.","Malware","Human health and social work","Cyber Crime","IL","Link"
"83","08/08/2023","08/08/2023","08/08/2023","NoName057(16)","Government and public services websites in France","The pro-Russia collective NoName057(16) claims responsibility for cyberattacks on government and public services websites in France. The list of the targets include the country’s customs service (Direction générale des douanes et droits indirects) and the French financial regulator.","DDoS","Public admin and defence, social security","Hacktivism","FR","Link"
"84","08/08/2023","08/08/2023","08/08/2023","NoName057(16)","Government and public services websites in the Netherlands","The pro-Russia collective NoName057(16) claims responsibility for cyberattacks on government and public services websites in the Netherlands. The list of the target includes: Dutch public transport website, local bank SNS, the Groningen seaport, and the website of the municipality of Vlardingen.","DDoS","Public admin and defence, social security","Hacktivism","NL","Link"
"85","08/08/2023","-","-","K0LzSec","Bank of Ayudhya, also known as Krungsri","The fifth-largest bank in Thailand, the Bank of Ayudhya, also known as Krungsri is allegedly hacked by K0LzSec group.","Unknown","Finance and insurance","Cyber Crime","TH","Link"
