"ID","Date Reported","Date Occurred","Date Discovered","Author","Target","Description","Attack","Target Class","Attack Class","Country","Link"
"1","01/06/2023","Since 27/05/2023","31/05/2023","Clop AKA Lace Tempest, TA505 and FIN11","Multiple organizations","Threat actors are actively exploiting a zero-day vulnerability in the MOVEit Transfer file transfer software, tracked as CVE-2023-34362, to steal data from organizations. Few days later the Clop ransomware gang claims responsibility for the attacks and starts extorting companies impacted by the data theft attacks,","CVE-2023-34362 Vulnerability","Multiple Industries","Cyber Crime",">1","Link"
"2","01/06/2023","Since 2019","-","?","Kaspersky","Russian cybersecurity firm Kaspersky discloses 'Operation Triangulation': some iPhones on its network were hacked using an iOS vulnerability that installed malware via iMessage zero-click exploits.","iMessage Vulnerability","Professional, scientific and technical","Cyber Espionage","RU","Link"
"3","01/06/2023","-","-","U.S.","Russian diplomats","Russia's Federal Security Service (FSB) also accuses U.S. intelligence of hacking “thousands of Apple phones” to spy on Russian diplomats exploiting the same vulnerability.","iMessage Vulnerability","Professional, scientific and technical","Cyber Espionage","RU","Link"
"4","01/06/2023","Since at least November 2020","-","Horabot","Spanish-speaking users in Latin America","Researchers from Cisco Talos observe a threat actor deploying a previously unidentified botnet called “Horabot,” which delivers a  banking trojan and spam tool onto victim machines targeting Spanish-speaking users in Latin America.","Malware","Finance and insurance","Cyber Crime","AR BR GT MX PA UY VE","Link"
"5","01/06/2023","Since at least 2022","-","?","Organizations in the United States, the United Kingdom, Australia, Brazil, Peru, and Estonia.","Researchers from Akamai discover a new Magecart credit card stealing campaign hijacking legitimate sites to act as ""makeshift"" command and control (C2) servers to inject and hide the skimmers on targeted eCommerce sites.","Malicious Script Injection","Wholesale and retail","Cyber Crime","AU BR EE PE GB US","Link"
"6","01/06/2023","-","-","Kimsuky AKA Thallium, APT43, Velvet Chollima, and Black Banshee","Individuals employed by research centers and think tanks, academic institutions, and news media organizations","The FBI, the U.S. Department of State, and the National Security Agency (NSA), together with the Republic of Korea’s National Intelligence Service (NIS) issue a warning that describes the spying methods of Kimsuky, the notorious North Korean nation-state hacking group that targets think tanks, academia and news media. The same campaigns ia also unearthed by researchers at Sentinel One.","Targeted Attack","Multiple Industries","Cyber Espionage","KR US","Link"
"7","01/06/2023","During May 2023","During May 2023","TA505 (aka Evil Corp)","Multiple organizations","Researchers at VMware’s Carbon Black warn of a surge of TrueBot activity in May 2023.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"8","01/06/2023","Mid-April 2023","17/04/2023","?","Multiple organizations","Researchers from ReversingLabs identify a novel attack on PyPI using compiled Python code to evade detection.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"9","01/06/2023","End of May 2023","End of May 2023","?","Individuals","Researchers from Avanan discover a campaign hiding malicious links behind convincing photos offering gift cards and loyalty programs from such trusted brands.","Account Takeover","Individual","Cyber Crime",">1","Link"
"10","01/06/2023","During early May 2023","During early May 2023","PostalFurious","Residents in the United Arab Emirates","Researchers by Group-IB discover a new campaign by the Chinese threat actor PostalFurious targeting residents of the United Arab Emirates.","Account Takeover","Individual","Cyber Crime","AE","Link"
"11","01/06/2023","Since early January 2023,","Since early January 2023,","Camaro Dragon","European foreign affairs entities linked to Southeast and East Asia","Researchers from Check Point discover a new campaign by the Chinese nation-state group known as Camaro Dragon using a new backdoor dubbed TinyNote.","Targeted Attack","Multiple Industries","Cyber Espionage",">1","Link"
"12","01/06/2023","-","-","Akira","Middlesex County Public Schools","The superintendent for Middlesex County Public Schools confirms that the school division was the subject of a recent ransomware attack.","Malware","Education","Cyber Crime","US","Link"
"13","01/06/2023","-","01/02/2023","?","Gateway First Bank","Gateway First Bank files a notice of data breach after confirming that unusual activity within multiple employee email accounts resulted in confidential customer information being leaked.","Account Takeover","Finance and insurance","Cyber Crime","US","Link"
"14","01/06/2023","01/06/2023","01/06/2023","Pink Drainer","Orbiter Finance’s Discord server","Orbiter Finance’s Discord server is compromised by bad actors, who share a link to a fraudulent airdrop program.","Account Takeover","Fintech","Cyber Crime","N/A","Link"
"15","02/06/2023","02/06/2023","02/06/2023","NoName057(16)","Swiss Parliament website","The pro-Russia NoName057(16) collective attacks the Swiss parliament website while its members discuss whether the country abandoned its neutrality to send aid to Ukraine.","DDoS","Public admin and defence, social security","Hacktivism","CH","Link"
"16","02/06/2023","SInce at least 16/05/2023","16/05/2023","?","Individuals","Google removes from the Chrome Web Store 32 malicious extensions that could alter search results and push spam or unwanted ads. Collectively, they come with a download count of 75 million.","Malicious Chrome Extension","Individual","Cyber Crime",">1","Link"
"17","02/06/2023","Since at least 29/05/2023","-","SpinOk","Android users","Researchers from CloudSEK find the SpinOk malware in a new batch of Android apps on Google Play, reportedly installed an additional 30 million times.","Malware","Individual","Cyber Crime",">1","Link"
"18","02/06/2023","End of May 2023","02/06/2023","Play","Globalcaja","Globalcaja, a major lender in Spain reveals to be dealing with a ransomware attack affecting several offices. The Play ransomware gang claims responsibility for the attack.","Malware","Finance and insurance","Cyber Crime","ES","Link"
"19","02/06/2023","-","01/06/2023","Clop AKA Lace Tempest, TA505 and, FIN11","University of Rochester","The University of Rochester confirms a data theft as a result of the exploitation of the CVE-2023-34362 vulnerability affecting popular file transfer tool MOVEit.","CVE-2023-34362 Vulnerability","Education","Cyber Crime","US","Link"
"20","02/06/2023","-","-","?","Multiple U.S. state, county and local governments, a federal agency, and numerous universities","Researchers from Citizen Lab discover a campaign publishing various advertisements for hacking services on the official websites of multiple U.S. state, county and local governments, a federal agency, as well as numerous universities.","Misconfiguration","Multiple Industries","Cyber Crime",">1","Link"
"21","02/06/2023","19/02/2023","20/02/2023","?","EpiSource","EpiSource files a notice of data breach after learning that suspicious activity within the company’s Amazon Web Services (AWS) environment resulted in an unauthorized party being able to access confidential consumer data.","Account Takeover","Professional, scientific and technical","Cyber Crime","US","Link"
"22","02/06/2023","09/05/2022","'Recently'","?","CareNet Medical Group (CMG)","CareNet Medical Group (CMG) files a notice of data breach after learning that hackers were able to obtain confidential patient information stored on the company’s IT network.","Unknown","Human health and social work","Cyber Crime","US","Link"
