"ID","Date Reported","Date Occurred","Date Discovered","Author","Target","Description","Attack","Target Class","Attack Class","Country","Link"
"1","01/11/2023","23/09/2023","12/10/2023","?","Okta","Okta warns nearly 5,000 current and former employees that their personal information was exposed after Rightway Healthcare, a third-party vendor was breached.","Unknown","Professional, scientific and technical","Cyber Crime","US","Link"
"2","01/11/2023","Since at least 27/10/2023","27/10/2023","HelloKitty","Multiple organizations","Researchers from Rapid7 reveal that the HelloKitty ransomware operation is exploiting the Apache ActiveMQ CVE-2023-46604 vulnerability to breach networks and encrypt devices.","CVE-2023-46604 Vulnerability","Multiple Industries","Cyber Crime",">1","Link"
"3","01/11/2023","01/11/2023","01/11/2023","?","Mr. Cooper","U.S. mortgage lending giant Mr. Cooper suffers a cyberattack that causes the company to shut down IT systems, including access to their online payment portal.","Unknown","Finance and insurance","Cyber Crime","US","Link"
"4","01/11/2023","-","-","Lazarus Group","Blockchain engineers of a cryptocurrency exchange platform","Researchers from Elastic reveal the details of REF7001, a campaign using a new macOS malware dubbed 'KandyKorn,' targeting blockchain engineers of a cryptocurrency exchange platform.","Malware","Fintech","Cyber Crime","N/A","Link"
"5","01/11/2023","During October 2023","During late October 2023","Crambus (aka OilRig, APT34, MuddyWater)","Two organizations in Israel","Researchers from Deep Instinct discover a new campaign from the “MuddyWater” group targeting two Israeli targets.","Targeted Attack","Multiple Industries","Cyber Espionage","IL","Link"
"6","01/11/2023","-","-","Soldiers of Solomon","Flour Mills Ltd","The Pro-Palestinian hackers group ‘Soldiers of Solomon’ claims to have breached the infrastructure of the production plant of Flour Mills Ltd, a multinational company engaged in the processing and marketing of flour and related food products. The threat actors claim to have damaged the production cycle.","Unknown","Accommodation and food service","Hacktivism","IL","Link"
"7","01/11/2023","-","-","Lorentz","Cogdell Memorial Hospital","The Cogdell Memorial Hospital announces to be experiencing a computer network incident that prevents the hospital from accessing some of its systems and severely limiting the operability of its phone system. The Lorentz ransomware group claims responsibility for the attack.","Malware","Human health and social work","Cyber Crime","US","Link"
"8","01/11/2023","-","-","Pwned","Clinique","The Spanish branch of Skincare products maker Clinique, a subsidiary of cosmetics giant Estée Lauder, reportedly experiences a significant data breach, with the personal information of over 700,000 customers exposed by a threat actor with the moniker of Pwned.","Unknown","Manufacturing","Cyber Crime","ES","Link"
"9","01/11/2023","25/10/2023","25/10/2023","ALPHV AKA BlackCat","Advarra","An Advarra employee falls victim of a compromise of their phone number and the threat actors from ALPHV/BlackCat claim to have acquired over 120GB+ of confidential data belonging to customers, patients, and current and former employees.","Account Takeover","Professional, scientific and technical","Cyber Crime","US","Link"
"10","01/11/2023","'Recently'","'Recently'","?","Multiple organizations","Researchers from Netskope identify a new DarkGate variant delivered via MSI using a loading approach based on Cobalt Strike Beacon’s default shellcode stub.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"11","01/11/2023","01/11/2023","01/11/2023","?","Onyx","Decentralized finance protocol Onyx is the victim of a $2.1 million hack.","Vulnerability","Fintech","Cyber Crime","N/A","Link"
"12","01/11/2023","25/10/2023","31/10/2023","NoEscape","Spolzino Termosanitari","The NoEscape ransomware gang claims responsibility for a cyber attack against Spolzino Termosanitari.","Malware","Manufacturing","Cyber Crime","IT","Link"
"13","02/11/2023","30/10/2023","30/10/2023","?","Allied Pilots Association","Allied Pilots Association (APA), a labor union representing 15,000 American Airlines pilots, discloses a ransomware attack.","Malware","Other service activities","Cyber Crime","US","Link"
"14","02/11/2023","'Recently'","'Recently'","?","Multiple organizations","Researchers from Bitsight discover Socks5Systemz, a proxy botnet delivered by PrivateLoader and Amadey.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"15","02/11/2023","Since mid-August 2023","-","?","Android users in Saudi Arabia, Yemen and Azerbaijan","Researchers from Kaspersky reveal that unknown hackers are targeting users in Saudi Arabia, Yemen and Azerbaijan with the CanesSpy spying malware distributed through user-created WhatsApp mods that customize or add new features to the service.","Malware","Individual","Cyber Espionage","AZ SA YE","Link"
"16","02/11/2023","31/10/2023","31/10/2023","?","Associated Press","The Associated Press news website (apnews) is hit with a DDoS attack.","DDoS","Information and communication","Cyber Crime","US","Link"
"17","02/11/2023","01/12/2022","10/01/2023","?","Hilb Group Operating Company","The Hilb Group Operating Company (Hilb) files a notice of data breach after learning that an unauthorized party was able to access certain employee email accounts.","Account Takeover","Finance and insurance","Cyber Crime","US","Link"
"18","02/11/2023","Since at least 27/10/2023","27/10/2023","hktalent","Multiple organizations","Researchers from Phylum discover a new set of 48 malicious npm packages in the npm repository with capabilities to deploy a reverse shell on compromised systems.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"19","02/11/2023","28/07/2023","11/08/2023","?","BHS Physicians Network","BHS Physicians Network confirms a breach of a Microsoft Office 365-hosted business email account that was used by a medical assistant.","Account Takeover","Human health and social work","Cyber Crime","US","Link"
"20","02/11/2023","-","-","ALPHV AKA BlackCat","Town of Iowa","The ransomware group ALPHV (BlackCat) publishes a first part of exfiltrated data from the Town of Iowa in the state of Louisiana.","Malware","Public admin and defence, social security","Cyber Crime","US","Link"
"21","02/11/2023","-","31/10/2023","SingularityMD","Jeffco Public Schools","The Jeffco Public Schools has some data stolen from a threat actor named SingularityMD.","Unknown","Education","Cyber Crime","US","Link"
"22","03/11/2023","SInce at least 10/10/2023","10/10/2023","TellYouThePass","Multiple organizations","Researchers from Arctic Wolf reveal that Internet-exposed Apache ActiveMQ servers are also targeted in TellYouThePass ransomware attacks exploiting the CVE-2023-46604 Vulnerability.","CVE-2023-46604 Vulnerability","Multiple Industries","Cyber Crime",">1","Link"
"23","03/11/2023","'Recently'","'Recently'","Kinsing AKA Money Libra","Multiple organizations","Researchers from Aqua Security reveal that the operators of the Kinsing malware are targeting cloud environments with systems vulnerable to ""Looney Tunables,"" a Linux vulnerability identified as CVE-2023-4911 that allows a local attacker to gain root privileges on the system.","CVE-2023-4911 Vulnerability","Multiple Industries","Cyber Crime",">1","Link"
"24","03/11/2023","Between 27/03/2023 02/05/2023, and between 07/04/2023 and 19/04/2023.","45048","?","Perry Johnson & Associates","Perry Johnson & Associates (PJ&A) files a notice of data breach after discovering that an unauthorized party was able to access files stored on the company’s computer network.","Unknown","Administration and support service","Cyber Crime","US","Link"
"25","03/11/2023","01/11/2023","01/11/2023","?","Public healthcare institutions in Singapore","Threat actors disrupt internet connectivity in public healthcare institutions in Singapore with distributed denial-of-service (DDoS) attacks.","DDoS","Human health and social work","Cyber Crime","SG","Link"
