"ID","Date Reported","Date Occurred","Date Discovered","Author","Target","Description","Attack","Target Class","Attack Class","Country","Link"
"1","01/10/2023","Since March 2023","Since March 2023","Lost Trust","53 Victims worldwide","A new ransomware operation emerges, the Lost Trust ransomware believed to be a rebrand of MetaEncryptor, utilizing almost identical data leak sites and encryptors.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"2","01/10/2023","-","-","?","Unknown organization(s)","Multiple research start to observe exploitation in-the-wild of the CVE-2023-40044 WS_FTP vulnerability.","CVE-2023-40044 Vulnerability","Unknown","N/A","N/A","Link"
"3","01/10/2023","-","-","?","Unknown organization(s)","Researchers from PRODAFT and Sonar reveal that Ransomware gangs are now targeting CVE-2023-42793, a recently patched critical vulnerability in JetBrains' TeamCity continuous integration and deployment platform.","CVE-2023-42793 Vulnerability","Unknown","N/A","N/A","Link"
"4","01/10/2023","01/10/2023","01/10/2023","Killnet","Royal.uk (official website of the UK’s royal family)","Royal.uk, the official website of the UK’s royal family, is taken offline by a DDoS attack. The pro-Russia Killnet group claims responsibility for the attack.","DDoS","Other service activities","Hacktivism","GB","Link"
"5","02/10/2023","-","-","?","Unknown organization(s)","ARM warns about CVE-2023-4211, an actively exploited vulnerability affecting the widely-used Mali GPU drivers.","CVE-2023-4211 Vulnerability","Unknown","N/A","N/A","Link"
"6","02/10/2023","-","-","?","Unknown organization(s)","Microsoft released emergency security updates for Edge, Teams, and Skype to patch CVE-2023-4863 and CVE-2023-5217, two zero-day vulnerabilities in open-source libraries used by the three products","CVE-2023-4863 and CVE-2023-5217 Vulnerabilities","Unknown","N/A","N/A","Link"
"7","02/10/2023","-","-","?","Unknown organization(s)","Qualcomm warns of three zero-day vulnerabilities in its GPU and Compute DSP drivers, CVE-2023-33106, CVE-2023-33107, CVE-2022-22071, and CVE-2023-33063, that hackers are actively exploiting in attacks.","CVE-2023-33106, CVE-2023-33107, CVE-2022-22071, and CVE-2023-33063 vulnerabilities","Unknown","N/A","N/A","Link"
"8","02/10/2023","-","-","?","Unknown organization(s)","Google releases the October 2023 security updates for Android, addressing 54 unique vulnerabilities, including CVE-2023-4863 and CVE-2023-4211, two known to be actively exploited.","CVE-2023-4863 and CVE-2023-4211 Vulnerabilities","Unknown","N/A","N/A","Link"
"9","02/10/2023","12/09/2023","12/09/2023","LockBit 3.0","Fauquier County Public Schools","Fauquier County Public Schools is hit with a LockBit ransomware attack.","Malware","Education","Cyber Crime","US","Link"
"10","02/10/2023","02/10/2023","02/10/2023","?","St. Louis Metro Transit","The St. Louis Metro Transit is hit with a cyber attack.","Unknown","Transportation and storage","Cyber Crime","US","Link"
"11","02/10/2023","'Over the past few months'","'Over the past few months'","?","Multiple organizations","Researchers from Fortinet warn of 35 malicious packages in the NPM Registry containing install scripts capable of collecting system and user data and exfiltrating it via a webhook or file-sharing link.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"12","02/10/2023","01/10/2023","01/10/2023","?","Social Media Users","Actor Tom Hanks and CBS talk show co-host Gayle King warn fans about ads featuring imposters generated by artificial intelligence.","Deepfake","Individual","Cyber Crime","US","Link"
"13","02/10/2023","During 2023","During 2023","?","Individuals in Madagascar","Researchers from Sekoia reveal that the Madagascar government likely used the Cytrox-developed Predator spyware to conduct political domestic surveillance ahead of the country’s presidential election, according to research by Sekoia.","Malware","Individual","Cyber Espionage","MG","Link"
"14","02/10/2023","Since 2020","Since 2020","APT41","Android users in multiple countries","Researchers from ThreatFabric link the LightSpy mobile malware to APT41, a Chinese state-sponsored threat actor.","Malware","Individual","Cyber Espionage",">1","Link"
"15","02/10/2023","28/07/2023","11/08/2023","?","Greater Dallas Healthcare Enterprises","Greater Dallas Healthcare Enterprises (GDHE) files a notice of data breach after discovering that an unauthorized third party gained access to an employee’s email account.","Account Takeover","Human health and social work","Cyber Crime","US","Link"
"16","02/10/2023","-","-","ALPHV AKA BlackCat","Prestige Care and Prestige Senior Living","The ALPHV (BlackCat) ransomware lists Prestige Care and Prestige Senior Living in their leak  site, claiming to have 260 GB of files.","Malware","Human health and social work","Cyber Crime","Us","Link"
"17","02/10/2023","-","30/08/2023","ALPHV AKA BlackCat","Brooklyn Premier Orthopedics","The ALPHV (BlackCat) ransomware adds Brooklyn Premier Orthopedics to their leak site.","Malware","Human health and social work","Cyber Crime","Us","Link"
"18","02/10/2023","-","01/10/2023","Monti","Cascade Family Dental","The Monti ransomware group adds Cascade Family Dental to their leak site","Malware","Human health and social work","Cyber Crime","US","Link"
"19","02/10/2023","-","-","Knight","Garn Mason Orthodontics","The Knight ransomware group ads Garn Mason Orthodontics to their leak site.","Malware","Human health and social work","Cyber Crime","US","Link"
"20","02/10/2023","-","-","LockBit 3.0","Laspesainfamiglia.coop","Laspesainfamiglia.coop is listed in the LockBit 3.0, ransomware leak site.","Malware","Wholesale and retail","Cyber Crime","IT","Link"
"21","03/10/2023","Since at least July 2023","Since at least July 2023","?","Multiple organizations in the U.S.","Researchers from Menlo Security discover a phishing campaign, targeting Microsoft 365 accounts of key executives in U.S.-based organizations via the EvilProxy phishing kit, abusing open redirects from the Indeed employment website for job listings.","Account Takeover","Multiple Industries","Cyber Crime","US","Link"
"22","03/10/2023","'Recently'","'Recently'","?","Multiple organizations","Researchers from Microsoft observe threat actors breaching cloud environments through Microsoft SQL Servers vulnerable to SQL injection.","SQLi","Multiple Industries","Cyber Crime",">1","Link"
"23","03/10/2023","Since at least early April 2023","Since early April 2023","?","Multiple organizations","Researchers from Checkmarx discover a malicious campaign on open-source platforms delivering hundreds of info-stealing packages that counted about 75,000 downloads.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"24","03/10/2023","27/05/2023","-","Clop AKA Lace Tempest, TA505, and FIN11","Fiserv","Flagstar Bank warns that over 800,000 US customers had their personal information stolen by cybercriminals due to a MOVEit breach at Fiserv, a third-party service provider.","CVE-2023-34362 Vulnerability","Finance and insurance","Cyber Crime","US","Link"
"25","03/10/2023","-","-","SiegedSec","North Atlantic Treaty Organization (NATO)","The North Atlantic Treaty Organization (NATO) said it is investigating claims that data was stolen from unclassified websites under the military alliance’s control.","Unknown","Extraterritorial orgs and bodies","Hacktivism","INT","Link"
"26","03/10/2023","29/09/2023","29/09/2023","Cuba","Rock County Public Health Department","The Rock County Public Health Department is hit with a Cuba ransomware attack.","Malware","Education","Cyber Crime","US","Link"
"27","03/10/2023","03/10/2023","03/10/2023","?","Estes Express","Estes Express confirms to have been the target of a cyberattack.","Unknown","Transportation and storage","Cyber Crime","US","Link"
"28","03/10/2023","-","-","LockBit 3.0","Organizations in Italy","Researchers from TG Soft warn Italian entities and companies of LockBit 3.0 ransomware attacks.","Malware","Multiple Industries","Cyber Crime","IT","Link"
"29","03/10/2023","-","-","ALPHV AKA BlackCat","Organizations in Italy","Researchers from TG Soft warn Italian entities and companies of ALPHV/BlackCat ransomware attacks.","Malware","Multiple Industries","Cyber Crime","IT","Link"
"30","03/10/2023","-","-","Medusa","Windak Group","Windak Group is listed among the victims of the Medusa ransomware gang.","Malware","Manufacturing","Cyber Crime","US","Link"
"31","03/10/2023","-","-","Medusa","Karam Chand Thapar & Bros. (Coal Sales)","Karam Chand Thapar & Bros. (Coal Sales) is listed among the victims of the Medusa ransomware gang.","Malware","Professional, scientific and technical","Cyber Crime","IN","Link"
"32","03/10/2023","-","-","Lorenz","Allcare Pharmacy","Allcare Pharmacy is listed among the victims of the Lorenz ransomware gang.","Malware","Human health and social work","Cyber Crime","US","Link"
"33","03/10/2023","-","During September 2023","hailBot","Multiple organizations","Researchers from NSFOCUS discover a new Mirai botnet variant dubbed hailBot.","CVE-2017-17215, Brute-force (>1)","Multiple Industries","Cyber Crime",">1","Link"
"34","03/10/2023","-","During September 2023","kiraiBot","Multiple organizations","Researchers from NSFOCUS discover a new Mirai botnet variant dubbed kiraiBot.","Weak password scanning","Multiple Industries","Cyber Crime",">1","Link"
"35","03/10/2023","-","During September 2023","catDDoS","Multiple organizations","Researchers from NSFOCUS discover a new Mirai botnet variant dubbed catDDoS.",">1","Multiple Industries","Cyber Crime",">1","Link"
"36","03/10/2023","-","-","@FEDCREDS","FBI's Law Enforcement Enterprise Portal (LEEP)","A dark web user dubbed @FEDCREDS is found selling account credentials allegedly from the Law Enforcement Enterprise Portal (LEEP).","Unknown","Public admin and defence, social security","Cyber Crime","US","Link"
