"ID","Date Reported","Date Occurred","Date Discovered","Author","Target","Description","Attack","Target Class","Attack Class","Country","Link"
"1","16/09/2023","05/08/2023","05/08/2023","?","Crypto users in Tik Tok","TikTok is flooded by a surge of fake cryptocurrency giveaways posted to the video-sharing platform, with almost all of the videos pretending to be themes based on Elon Musk, Tesla, or SpaceX.","Scam","Finance and insurance","Cyber Crime",">1","Link"
"2","16/09/2023","-","-","LockBit 3.0","TÜV SÜD","The LockBit ransomware gang claims to have hacked the Italian branch of the TÜV SÜD international service corporation.","Malware","Professional, scientific and technical","Cyber Crime","IT","Link"
"3","18/09/2023","During the first half of 2023","Early 2021","Earth Lusca","Multiple organizations in the government, technology, and telecommunications sectors","Researchers from Trend Micro reveal that a Chinese espionage-focused hacker tracked as 'Earth Lusca' was observed targeting government agencies in multiple countries, using a new Linux backdoor dubbed 'SprySOCKS.'","Targeted Attack","Multiple Industries","Cyber Espionage",">1","Link"
"4","18/09/2023","Earlier in 2023","Earlier in 2023","APT36 AKA Transparent Tribe, Mythic Leopard","Military or diplomacy in India and Pakistan","Researchers from Sentinel One reveal that the suspected Pakistani threat actor APT36, known as 'Transparent Tribe,' has been observed using at least three Android apps that mimic YouTube to infect devices with their signature remote access trojan dubbed 'CapraRAT.'","Targeted Attack","Public admin and defence, social security","Cyber Espionage","IN PK","Link"
"5","18/09/2023","16/09/2023","16/09/2023","?","City of Pittsburg","The City of Pittsburg is hit with a ransomware attack.","Malware","Public admin and defence, social security","Cyber Crime","US","Link"
"6","18/09/2023","-","-","?","Unknown organization(s)","The Cybersecurity and Infrastructure Security Agency (CISA) adds CVE-2021-3129, a Laravel Ignition vulnerability, to the list of the known exploited vulnerabilities.","CVE-2021-3129 Vulnerability","Unknown","N/A","US","Link"
"7","18/09/2023","-","-","?","Unknown organization(s)","The Cybersecurity and Infrastructure Security Agency (CISA) adds CVE-2017-6884, a Zyxel vulnerability, to the list of the known exploited vulnerabilities.","CVE-2017-6884 Vulnerability","Unknown","N/A","US","Link"
"8","18/09/2023","-","-","?","Unknown organization(s)","The Cybersecurity and Infrastructure Security Agency (CISA) adds CVE-2014-8361, a Realtek vulnerability, to the list of the known exploited vulnerabilities.","CVE-2014-8361 Vulnerability","Unknown","N/A","US","Link"
"9","18/09/2023","-","-","?","Unknown organization(s)","The Cybersecurity and Infrastructure Security Agency (CISA) adds CVE-2022-22265 , a Samsung vulnerability, to the list of the known exploited vulnerabilities.","CVE-2022-22265 Vulnerability","Unknown","N/A","US","Link"
"10","18/09/2023","-","18/09/2023","Rhysida","Ministry of Finance of Kuwait","The Ministry of Finance of Kuwait is hit by a cyber attack. The Rhysida ransomware gang claims responsibility for the attack.","Malware","Public admin and defence, social security","Cyber Crime","KW","Link"
"11","18/09/2023","Between May and July 2023","Between May and July 2023","?","Crypto investors","Researchers from Sophos discover a new ‘pig butchering’ cryptocurrency scam campaign, stealing more than $1m to the victims in three months.","Scam","Fintech","Cyber Crime",">1","Link"
"12","18/09/2023","Since at least May 2023","Since at least May 2023","Hafnium","E-commerce sites in North and Latin America","Researchers from Blackberry discover 'Silent Skimmer', a web skimming campaign carried out by the Chinese threat actor Hafnium, and targeting e-commerce sites in North and Latin America.","Malicious Script Injection","Wholesale and retail","Cyber Crime",">1","Link"
"13","18/09/2023","Since at least May 2022","-","Threat actors from Indonesia","Multiple organizations","Researchers from Sysdig discover AMBERSQUID, a cloud-native cryptojacking operation targeting uncommon Amazon Web Services (AWS) services such as AWS Amplify, AWS Fargate, and Amazon SageMaker to illicitly mine cryptocurrency.","Malicious Docker Images","Multiple Industries","Cyber Crime",">1","Link"
"14","18/09/2023","-","-","8BASE","Araújo e Policastro Advogados","The 8BASE ransomware gang lists the Brazilian law firm Araújo e Policastro Advogados among their victims.","Malware","Professional, scientific and technical","Cyber Crime","BR","Link"
"15","18/09/2023","-","-","?","Virginia Department of Medical Assistance Services","The Virginia Department of Medical Assistance Services (DMAS) files a notice of data breach.","Unknown","Human health and social work","Cyber Crime","US","Link"
"16","18/09/2023","30/08/2023","30/08/2023","Medusa","Municipality of Betton","The Municipality of Betton suffers a Medusa ransomware attack.","Malware","Public admin and defence, social security","Cyber Crime","FR","Link"
"17","18/09/2023","-","04/09/2023","ThreeAM (AKA 3AM)","Visiting Physician’s Network","Visiting Physician’s Network (VPN) is added to the list of the ThreeAM ransomware group.","Malware","Human health and social work","Cyber Crime","US","Link"
"18","19/09/2023","'Recently'","'Recently'","ShroudedSnooper","Telecommunication service providers in the Middle East","Researchers from Cisco Talos discover two new malware strains named HTTPSnoop and PipeSnoop, used in cyberattacks on telecommunication service providers in the Middle East.","Targeted Attack","Information and communication","Cyber Espionage",">1","Link"
"19","19/09/2023","Mid-September 2023","Mid-September 2023","?","The International Criminal Court (ICC)","The International Criminal Court (ICC) discloses a cyberattack after discovering that its systems had been breached during the previous week.","Unknown","Extraterritorial orgs and bodies","N/A","INT","Link"
"20","19/09/2023","-","-","?","Unknown organization(s)","Trend Micro fixes CVE-2023-41179, a remote code execution zero-day vulnerability in the Trend Micro's Apex One endpoint protection solution, actively exploited in attacks.","CVE-2023-41179 Vulnerability","Unknown","N/A","N/A","Link"
"21","19/09/2023","Since at least 18/09/2023","18/09/2023","?","Users of the crypto lender Celsius","Scammers are impersonating Stretto, the bankruptcy claim agent for crypto lender Celsius in phishing attacks that attempt to steal funds from cryptocurrency wallets.","Account Takeover","Fintech","Cyber Crime",">1","Link"
"22","19/09/2023","Since 21/08/2023","End of August 2023","whalersplonk","Other cyber criminals or security researchers","Researchers from Palo Alto Networks reveal that an attacker is spreading a fake proof-of-concept (PoC) exploit for CVE-2023-40477, a recently fixed WinRAR vulnerability on GitHub, attempting to infect downloaders with the VenomRAT malware.","Malware","Individual","Cyber Crime",">1","Link"
"23","19/09/2023","Since at least 12/09/2023","12/09/2023","?","Multiple organizations","Researchers from Sonatype and Phylum discover a stream of malicious npm and PyPi packages stealing a wide range of sensitive data from software developers on the platforms.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"24","19/09/2023","15/09/2023","15/09/2023","NoName057(16)","Canada Border Services Agency (CBSA)","The Canada Border Services Agency (CBSA) is hit with a DDoS attack. The Pro-Russia collective NoName057(16) claims responsibility for the attack.","DDoS","Public admin and defence, social security","Hacktivism","CA","Link"
"25","19/09/2023","15/09/2023","15/09/2023","NoName057(16)","Canadian Air Transport Security Authority","The Canadian Air Transport Security Authority is hit with a DDoS attack. The Pro-Russia collective NoName057(16) claims responsibility for the attack.","DDoS","Transportation and storage","Hacktivism","CA","Link"
"26","19/09/2023","15/09/2023","15/09/2023","NoName057(16)","Government institutions in Canada","Some Government institutions in Canada are hit with a DDoS attack. The Pro-Russia collective NoName057(16) claims responsibility for the attack.","DDoS","Public admin and defence, social security","Hacktivism","CA","Link"
"27","19/09/2023","15/09/2023","15/09/2023","NoName057(16)","Financial institutions in Canada","Some Financial institutions in Canada are hit with a DDoS attack. The Pro-Russia collective NoName057(16) claims responsibility for the attack.","DDoS","Finance and insurance","Hacktivism","CA","Link"
"28","19/09/2023","-","-","?","Unknown organization(s)","The Cybersecurity and Infrastructure Security Agency (CISA) adds CVE-2023-28434, a MinIO vulnerability, to the list of the known exploited vulnerabilities.","CVE-2023-28434 Vulnerability","Unknown","N/A","US","Link"
"29","19/09/2023","-","03/08/2023","?","Campbell Soup","In its annual report with the Securities and Exchange Commission, Campbell Soup says it discovered a cyber intrusion in part of its IT network.","Unknown","Accommodation and food service","Cyber Crime","US","Link"
"30","19/09/2023","Since at least April 2023","-","TAG-74","South Korean academic, political, and government organizations","Researchers from Recorded Future discover a ""multi-year"" Chinese state-sponsored cyber espionage campaign targeting South Korean academic, political, and government organizations.","Targeted Attack","Public admin and defence, social security","Cyber Espionage","KR","Link"
"31","19/09/2023","'Recently'","'Recently'","?","Multiple organizations","Researchers from Checkmarx discover a malicious Python package, “Culturestreak”, able to hijack system resources for unauthorized cryptocurrency mining.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"32","19/09/2023","-","-","XWorm","Multiple organizations","Researchers at Any.run discover a new version of the XWorm malware.","Malware","Multiple Industries","Cyber Crime",">1","Link"
