ID,Date Reported,Date Occurred,Date Discovered,Author,Target,Description,Attack,Target Class,Attack Class,Country,Link
,16/08/2023,SInce May 2023,During May 2023,?,Undisclosed energy company in the U.S.,"Researchers from Cofense discover a phishing campaign was observed targeting a notable energy company in the US, employing QR codes to slip malicious emails into inboxes and bypass security.",Account Takeover,"Electricity, gas steam, air conditioning",Cyber Crime,US,Link
,16/08/2023,'Recently','Recently',AdLoad,Individuals,"Researchers from AT&T Alien Labs discover a massive campaign delivering proxy server apps to at least 400,000 Windows systems, with the devices acting as residential exit nodes without users' consent and with a company is charging for the proxy traffic running through the machines..",Malware,Individual,Cyber Crime,>1,Link
,16/08/2023,-,-,?,Multiple organizations in the U.S.,The U.S. Cybersecurity and Infrastructure Security Agency (CISA) warns that a critical Citrix ShareFile secure file transfer vulnerability tracked as CVE-2023-24489 is being targeted by unknown actors and and exploited in the wild.,CVE-2023-24489 vulnerability,Multiple Industries,N/A,US,Link
,16/08/2023,-,-,?,Undisclosed auction house,"Researchers from Flare reveal that unknown attackers claim to have breached the network of a major auction house and offered access to whoever was willing to pay $120,000.",Unknown,"Arts entertainment, recreation",Cyber Crime,N/A,Link
,16/08/2023,-,-,8Base,ToyotaLift Northeast,"The 8Base ransomware group lists ToyotaLift Northeast, an authorized Toyota forklift dealer, on its list of victims.",Malware,Wholesale and retail,Cyber Crime,US,Link
,16/08/2023,SInce at least 30/07/2023,-,?,Multiple organizations,Researchers from Malwarebytes discover a malvertising campaign using an advanced cloaking technique to remain under the radar.,Malicious Script Injection,Multiple Industries,Cyber Crime,>1,Link
,17/08/2023,Since at least April 2023,Since at least April 2023,?,Multiple organizations worldwide,Researchers from ESET discover an ongoing phishing campaign underway since at least April 2023 that attempts to steal credentials for Zimbra Collaboration email servers worldwide.,Account Takeover,Multiple Industries,N/A,>1,Link
,17/08/2023,Since at least April 2023,-,ALPHV AKA BlackCat,Multiple organizations,"Researchers from Microsoft discover a new version of the BlackCat ransomware that embeds the Impacket networking framework and the Remcom hacking tool, both enabling spreading laterally across a breached network.",Malware,Multiple Industries,Cyber Crime,>1,Link
,17/08/2023,Since at least May 2023,-,Bronze Starlight,Southeast Asian gambling industry,"Researchers from SentinelOne discover a second phase of the Operation ChattyGoblin carried out by a China-aligned APT group known as 'Bronze Starlight', targeting the Southeast Asian gambling industry with malware signed using a valid certificate used by the Ivacy VPN provider.",Targeted Attack,"Arts entertainment, recreation",Cyber Espionage,>1,Link
,17/08/2023,Since at least early June 2023,Early June 2023,Cuba,Critical infrastructure organizations in the United States and IT firms in Latin America,"Researchers from Blackberry reveal that the Cuba ransomware gang was observed in attacks targeting critical infrastructure organizations in the United States and IT firms in Latin America, using a combination of old and new tools and exploiting the CVE-2023-27532 Veeam vulnerability.",Malware,Multiple Industries,Cyber Crime,>1,Link
,17/08/2023,04/05/2023,04/05/2023,Black Basta,Raleigh Housing Authority,The Black Basta ransomware gang starts posting sensitive personal information connected to a devastating attack on the Raleigh Housing Authority (RHA) that disrupted the organization for weeks in May.,Malware,Real estate,Cyber Crime,US,Link
,17/08/2023,17/08/2023,17/08/2023,Medusa,Town of Sartrouville,The French town of Sartrouville is hit with a Medusa ransomware cyberattack.,Malware,"Public admin and defence, social security",Cyber Crime,FR,Link
,17/08/2023,'Recently','Recently',LABRAT,Multiple organizations,"Researchers from Sysdig discover a new, financially motivated operation, dubbed LABRAT, exploiting the CVE-2021-22205 vulnerability, performing cryptomining, relying on signature-based tools and stealthy cross-platform malware to remain undetected, and abusing TryCloudflare to hide its command-and-control (C&C) infrastructure.",Malware,Multiple Industries,Cyber Crime,>1,Link
,17/08/2023,Since at least June 2023,During June 2023,Threat actors from China,U.S. military procurement system and Taiwan-based organization,"Researchers from Lumen discover a new HiatusRAT campaign performing reconnaissance against a U.S. military procurement system, and targeting of Taiwan-based organizations.",Malware,Multiple Industries,Cyber Espionage,US TW,Link
,17/08/2023,Since at least July 2023,During July 2023,Play,Managed Service Providers (MSPs) worldwide,"Researchers from Adlumin reveal that the Play ransomware group is now hitting managed service providers (MSPs) around the globe in a cyberattack campaign to distribute ransomware to their downstream customers: midsized businesses in the finance, legal, software, shipping, law enforcement, and logistics sectors",Malware,"Professional, scientific and technical",Cyber Crime,>1,Link
,17/08/2023,Since at least 2020,During January 2020,?,Individuals,Researchers from Malwarebytes reveal that the scam campaign dubbed WoofLocker is still active.,Scam,Individual,Cyber Crime,>1,Link
,17/08/2023,15/06/2023,18/06/2023,?,SouthCoast Medical Group,The SouthCoast Medical Group files a notice of data breach after discovering that an unauthorized party downloaded certain files from the companyÕs computer network.,Unknown,Human health and social work,Cyber Crime,US,Link
,17/08/2023,-,-,"Clop AKA Lace Tempest, TA505, and FIN11",Blue Cross Blue Shield of Arizona,"Blue Cross Blue Shield of Arizona files a notice after discovering that TMG Health, one of the vendors used by AZ Blue, experienced a data breach affecting AZ Blue customer data",CVE-2023-34362 Vulnerability,Human health and social work,Cyber Crime,US,Link
