"ID","Date Reported","Date Occurred","Date Discovered","Author","Target","Description","Attack","Target Class","Attack Class","Country","Link"
"1","16/12/2023","13/12/2023","13/12/2023","?","MongoDB","MongoDB warns that its corporate systems were breached and that customer data was exposed in a cyberattack that was detected by the company earlier this week.","Unknown","Professional, scientific and technical","Cyber Crime","US","Link"
"2","16/12/2023","11/12/2023","11/12/2023","QakBot","Multiple Organizations in the Hospitality Sector","Researchers from Microsoft warn that QakBot is being distributed again in a phishing campaign pretending to be an email from an IRS employee.","Malware","Human health and social work","Cyber Crime","US","Link"
"3","16/12/2023","-","-","?","Individuals in Vietnam","An unknown criminal group puts on sale access to a wide range of live feeds from various security cameras in Vietnam.","Unknown","Individual","Cyber Crime","VN","Link"
"4","16/12/2023","16/12/2023","16/12/2023","?","NFT Trader","Peer-to-peer trading platform NFT Trader falls victim to a security breach resulting in the theft of nearly $3 million in non-fungible tokens.","Outdated smart contracts","Fintech","Cyber Crime","N/A","Link"
"5","17/12/2023","-","-","?","Users of the WordPress Hosting Provider Kinsta","WordPress hosting provider Kinsta warns customers that Google ads have been observed promoting phishing sites to steal hosting credentials.","Account Takeover","Individual","Cyber Crime",">1","Link"
"6","17/12/2023","-","-","MedusaLocker","Biomatrix","The MedusaLocker ransomware gang adds Biomatrix to their leak site.","Malware","Human health and social work","Cyber Crime","US","Link"
"7","18/12/2023","16/10/2023","19/10/2023","?","Xfinity","Comcast Cable Communications, doing business as Xfinity, discloses that attackers who breached one of its Citrix servers in October also stole customer-sensitive information of over 35 million people from its systems.","CVE-2023-4966 Vulnerability","Information and communication","Cyber Crime","US","Link"
"8","18/12/2023","11/12/2023","11/12/2023","?","Milton Town School District","A ransomware attack hits Milton Town School District.","Malware","Education","Cyber Crime","US","Link"
"9","18/12/2023","18/12/2023","18/12/2023","Predatory Sparrow","Gas stations throughout Iran","A cyberattack disrupts the operation of 70% of gas stations throughout Iran. An Israel-linked group called Predatory Sparrow claims responsibility for the attack.","Unknown","Electricity, gas steam, air conditioning","Hacktivism","IR","Link"
"10","18/12/2023","-","-","Smishing Triad","UAE residents and foreigners living in or visiting the country","Researchers from Resecurity identify a new fraudulent campaign by the Smishing Triad Gang in which they are impersonating the United Arab Emirates Federal Authority for Identity and Citizenship, via malicious SMS messages that pretend to be on behalf of the General Directorate of Residency and Foreigners Affairs, targeting UAE residents and foreigners living in or visiting the country.","Account Takeover","Individual","Cyber Crime","UAE","Link"
