ID,Date Reported,Date Occurred,Date Discovered,Author,Target,Description,Attack,Target Class,Attack Class,Country,Link
,25/01/23,19/11/22,19/11/22,?,Andrews McMeel Universal (AMU),Andrews McMeel Universal (AMU) files a notice of data breach with the Attorney General of New Hampshire after discovering that an unauthorized party was able to access confidential consumer information maintained on the company’s IT network.,Unknown,Information and communication,CC,US,Link
1,16/01/23,During November 2022,During November 2022,Vice Society,University of Duisburg-Essen (UDE),"The Vice Society ransomware claims responsibility for a November 2022 cyberattack on the University of Duisburg-Essen (UDE) and also leaks files they claim to have stolen from the university during the breach, exposing potentially sensitive details about the university's operations, students, and personnel.",Malware,Education,CC,DE,Link
2,16/01/23,-,21/06/22,?,Undisclosed software development vendor,Nissan North America begins sending data breach notifications informing customers of a breach at a third-party service provider that exposed customer information.,Misconfiguration,"Professional, scientific and technical",CC,N/A,Link
3,16/01/23,16/01/23,16/01/23,?,Danish smartphone users,"Numerous Danish smartphone users report suspicious SMS-type content originating from a questionable source, allegedly related to Danske Spil, a gambling site.",Malware,Individual,CC,DK,Link
4,17/01/23,Early January 2023,Early January 2023,?,Individuals,Attackers setup up fake websites for popular free and open-source software to promote malicious downloads through advertisements in Google search results.,Malware,Individual,CC,>1,Link
5,17/01/23,Since at least 17/01/2023,17/01/23,Multiple threat actors,Multiple organizations,Researchers at Rapid7 reveal that a critical remote code execution (RCE) vulnerability affecting multiple Zoho ManageEngine products (CVE-2022-47966) is now being exploited in attacks.,CVE-2022-47966 Vulnerability,Multiple Industries,N/A,>1,Link
6,17/01/23,-,-,?,Costa Rica Ministerio de Obras Públicas y Transportes (MOPT),Costa Rica’s Ministry of Public Works and Transport (MOPT) says in a statement that it suffered a ransomware attack encrypting 12 of its servers.,Malware,"Public admin and defence, social security",CC,CR,Link
7,17/01/23,-,-,?,Mscripts,Mscripts files notice of a data breach after determining confidential consumer information entrusted to the company was accessible by an unauthorized party.,Unknown,"Professional, scientific and technical",CC,US,Link
8,17/01/23,-,-,?,Diligent Corporation,"The University of Colorado Hospital Authority (“UCHealth”) files notice of a data breach after learning about a cybersecurity incident at one of the organization’s vendors, Diligent Corporation.",Unknown,"Professional, scientific and technical",CC,US,Link
9,17/01/23,-,-,Earth Boogle,Organizations across the Middle East and North Africa,Researchers from Trend Micro discover an active campaign using Middle Eastern geopolitical-themed lures to distribute NjRAT (also known as Bladabindi) has been spotted infecting victims across the Middle East and North Africa.,Targeted Attack,Multiple Industries,CE,>1,Link
10,17/01/23,During December 2022,During December 2022,Multiple threat actors,Multiple organizations,Researchers at Sonatype reveal that during December 2022 they uncovered 422 malicious npm packages focused mainly on data exfiltration via typosquatting or “dependency confusion attacks.,Malware,Multiple Industries,CC,>1,Link
11,17/01/23,After 11/11/2022,After 11/11/2022,?,FTX,Embattled cryptocurrency exchange FTX claims that $415m worth of digital currency has been stolen by hackers.,Unknown,Fintech,CC,N/A,Link
12,17/01/23,During Q4 2022,During Q4 2022,?,Multiple organizations,Researchers from Trend Micro discover multiple campaigns distributing the Batloader malware.,Malware,Multiple Industries,CC,>1,Link
13,17/01/23,During November 2022,During November 2022,?,Undisclosed retailer,Researchers from IBM X-Force discover a PoS malware using Discord as the command and control infrastructure.,Malware,Wholesale and retail,CC,N/A,Link
14,18/01/23,-,17/01/23,Genesis Day,Samsung,A group of Russian hacktivists going by the name “Genesis Day” claims it attacked Samsung’s offices in South Korea because of the country’s recent opening of a mission to the North Atlantic Treaty Organization (NATO). The group said it hacked the internal File Transfer Protocol service of the Samsung Group in South Korea as well as the internal employee system and the Samsung Group intranet.,Unknown,Manufacturing,H,KR,Link
15,18/01/23,17/01/23,17/01/23,Sandworm,Ukraine national news agency (Ukrinform),The Computer Emergency Response Team of Ukraine (CERT-UA) links a destructive malware attack targeting the country's national news agency (Ukrinform) to Sandworm Russian military hackers.,Malware,Information and communication,CW,UA,Link
16,18/01/23,18/01/23,18/01/23,?,Yum! Brands,"Yum! Brands, the fast food brand operator of KFC, Pizza Hut, Taco Bell, and The Habit Burger Grill fast-food restaurant chains, is targeted by a ransomware attack that forces the closure of 300 locations in the United Kingdom.",Malware,Accommodation and food service,CC,UK,Link
17,18/01/23,Between 06/12/2022 annd 08/12/2022,21/12/22,?,PayPal,"PayPal sends out data breach notifications to approximately 35,000 users who had their accounts accessed through credential stuffing attacks that exposed some personal data.",Credential Stuffing,Wholesale and retail,CC,US,Link
18,18/01/23,31/05/22,31/05/22,?,Farmers Investment Company (FICO),"Farmers Investment Company (FICO), doing business as Green Valley Pecan Company, files notice of a data breach after learning that an unauthorized party was able to access confidential consumer information stored on the company’s computer network.",Unknown,Accommodation and food service,CC,US,Link
19,18/01/23,Between July and December 2022,-,"APT15 (AKA Playful Taurus, BackdoorDiplomacy, Vixen Panda, KeChang and NICKEL)",Iranian government,Researchers from Palo Alto Networks discover a new campaign by APT15 targeting the Iranian government.,Targeted Attack,"Public admin and defence, social security",CE,IR,Link
20,18/01/23,Early January 2023,Early January 2023,?,Individuals,Researchers from Zerofox discover an uptick in layoffs across industries has seen increased efforts by threat actors to target job seekers with employment scams.,Account Takeover,Individual,CC,>1,Link
21,18/01/23,-,17/01/23,?,School District 42,"The School District 42 has 19,126 records released in a breach when the documents appear to have been uploaded to a popular hacker forum.",Account Takeover,Education,CC,US,Link
22,18/01/23,Since at least 16/01/2022,16/01/23,Aurora,Multiple organizations,Researchers from Cyble discover a new campaign distributing the Aurora infostealer in disguise of legitimate applications.,Malware,Multiple Industries,CC,>1,Link
23,18/01/23,Early January 2023,Early January 2023,?,Lorenzi,"Lorenzi, an Italian manufacturer of microfiber products for the shoes industry, is paralyzed by a ransomware attack.",Unknown,Manufacturing,CC,IT,Link
24,19/01/23,Since 25/11/2022,05/01/23,?,T-Mobile,T-Mobile discloses a new data breach after a threat actor stole the personal information of 37 million current postpaid and prepaid customer accounts through one of its Application Programming Interfaces (APIs).,API Vulnerability,Information and communication,CC,US,Link
25,19/01/23,SInce at least 2020,-,Vastflux,Individuals,"Researchers at HUMAN disclose a massive ad fraud operation dubbed 'Vastflux' that spoofed more than 1,700 applications from 120 publishers, mostly for iOS.",Malvertising,Individual,CC,>1,Link
26,19/01/22,-,-,?,Multiple organizations,"Researchers at Avanan discover an unusual phishing technique, hiding empty SVG files inside HTML attachments pretending to be DocuSign documents.",Malware,Multiple Industries,CC,>1,Link
27,19/01/23,Since at last September 2022,During September 2022,Roaming Mantis (AKA Shaoye),Multiple organizations,"Researchers from Kaspersky reveal that Roaming Mantis malware distribution campaign has updated Wroba.o/XLoader, its Android malware to include a DNS changer that modifies DNS settings on vulnerable WiFi routers to spread the infection to other devices.",Malware,Multiple Industries,CC,>1,Link
28,19/01/23,-,-,?,Android users,"Researchers at ThreatFabric discover Hook, a new Android malware sold by cybercriminals that can remotely take over mobile devices in real-time using VNC (virtual network computing).",Malware,Individual,CC,>1,Link
29,19/01/23,19/01/23,19/01/23,Vice Society,Guildford County School,The Guildford County School is hit with a Vice Society ransomware attack.,Malware,Education,CC,UK,Link
30,19/01/23,15/01/23,15/01/23,?,Qulliq Energy Corporation,Qulliq Energy Corporation (QEC) in Canada’s Nunavut territory suffers a cyber attack that cripples the company’s administrative offices.,Unknown,"Electricity, gas steam, air conditioning",CC,CA,Link
31,19/01/23,-,17/01/23,ALPHV AKA BlackCat,NextGen Healthcare,Hospital technology giant NextGen Healthcare said it is responding to a cyberattack after a the ALPHV AKA BlackCat ransomware group adds the company to its list of victims.,Malware,"Professional, scientific and technical",CC,US,Link
32,19/01/23,-,17/01/23,ALPHV AKA BlackCat,Fresh Del Monte,Fresh Del Monte is added to the list of victims of the ALPHV AKA BlackCat ransomware group,Malware,Accommodation and food service,CC,US,Link
33,19/01/23,-,17/01/23,ALPHV AKA BlackCat,PharmaCare Services,PharmaCare Services is added to the list of victims of the ALPHV AKA BlackCat ransomware group,Malware,Human health and social work,CC,US,Link
34,19/01/23,Between 25/09/2022 and 26/10/2022,26/10/22,?,Zendesk,Customer service solutions provider Zendesk suffers a data breach that resulted from employee account credentials getting phished by hackers.,Account Takeover,"Professional, scientific and technical",CC,US,Link
35,19/01/23,During January 2022,During January 2022,Multiple threat actors,Multiple organizations,Researchers at Abnormal Security detect multiple campaigns in which threat actors use HR policy announcements and benefits updates to lure victims and steal employees credentials.,Account Takeover,Multiple Industries,CC,>1,Link
36,19/01/23,'Recently','Recently',Multiple threat actors,Multiple organizations,Researchers from SentinelOne report an increase in malicious search engine advertisements (SEO Poisoning) in recent weeks.,Malvertising,Multiple Industries,CC,>1,Link
37,19/01/23,-,-,?,Vulnerable WordPress sites,Researchers from Sucuri discover a malicious campaign targeting vulnerable WordPress sites via a database injection with two different pieces of malware.,Malicious script injection,Multiple Industries,CC,>1,Link
38,19/01/23,-,-,CrySIS/Dharma,Multiple organizations,Researchers from Fortinet discover a new variant of the CrySIS/Dharma ransomware.,Malware,Multiple Industries,CC,>1,Link
39,19/01/23,-,-,Gigabud,"Android users in Thailand, Peru, and the Philippines","Researchers from Cyble discover a new campaign where threat actors are distributing a new Android malware, named Gigabud, impersonating government agencies, financial institutions, and other organizations from Thailand, Peru, and the Philippines.",Malware,Individual,CC,PE PH TH,Link
40,19/01/23,Since 20/12/2022,'Recently',Remcos,Multiple organizations,Researchers from Minerva discover a new version of the Remcos RAT being dropped via an NSIS installer file.,Malware,Multiple Industries,CC,>1,Link
41,20/01/23,Since at least October 2022,During December 2022,Chinese threat actors,European government,"Researchers from Mandiant reveal that suspected Chinese hackers exploited CVE-2022-42475, a recently disclosed FortiOS SSL-VPN vulnerability as a zero-day in December, targeting a European government with a new custom 'BOLDMOVE' Linux and Windows malware.",CVE-2022-42475 Vulnerability,"Public admin and defence, social security",CE,N/A,Link
42,20/01/23,Since at least October 2022,During December 2022,Chinese threat actors,African MSP,"Researchers from Mandiant reveal that suspected Chinese hackers exploited CVE-2022-42475, a recently disclosed FortiOS SSL-VPN vulnerability as a zero-day in December, targeting an African MSP with a new custom 'BOLDMOVE' Linux and Windows malware.",CVE-2022-42475 Vulnerability,"Public admin and defence, social security",CE,N/A,Link
