"ID","Date Reported","Date Occurred","Date Discovered","Author","Target","Description","Attack","Target Class","Attack Class","Country","Link"
"1","16/01/2024","Since 2022","01/12/2022","?","Multiple organizations","CISA and the FBI warned that threat actors using Androxgh0st malware are building a botnet focused on cloud credential theft and using the stolen information to deliver additional malicious payloads.","Malware","Multiple Industries","Cyber Crime","US","Link"
"2","16/01/2024","-","-","?","Multiple organizations","Google releases security updates to fix CVE-2024-0519, the first Chrome zero-day vulnerability exploited in the wild since the start of the year.","CVE-2024-0519 Vulnerability","Multiple Industries","N/A","N/A","Link"
"3","16/01/2024","-","-","?","Multiple organizations","Citrix urged customers to immediately patch Netscaler ADC and Gateway appliances exposed online against CVE-2023-6548 and CVE-2023-6549, two actively exploited zero-day vulnerabilities.","CVE-2023-6548 and CVE-2023-6549 Vulnerabilities","Multiple Industries","N/A","N/A","Link"
"4","16/01/2024","16/01/2024","16/01/2024","?","Kansas State University","Kansas State University (K-State) announces it is managing a cybersecurity incident that has disrupted certain network systems.","Unknown","Education","Cyber Crime","US","Link"
"5","16/01/2024","06/01/2024","-","?","National Bank of Angola","The National Bank of Angola discloses to have suffered a cyber attack.","Unknown","Education","Cyber Crime","AO","Link"
"6","16/01/2024","Between 01/02/2021 and 10/07/2021","-","?","Loïc Lawson and Anani Sossou","Reporters Without Borders (RSF) announces to have found traces of spyware resembling NSO group’s Pegasus surveillance tool on the phones of two journalists in Togo (Loïc Lawson and Anani Sossou).","Targeted Attack","Information and communication","Cyber Espionage","TG","Link"
"7","16/01/2024","'In recent months'","'In recent months'","?","Individuals","Researchers from Netcraft discover an increased number of high-volume health product campaigns exploiting cheap top-level domains (TLDs), reaching up to 60% of a TLD’s daily domain registrations.","Scam","Individual","Cyber Crime",">1","Link"
"8","16/01/2024","-","29/06/2023","?","J.D. Gilmour","J.D. Gilmour files a notice of data breach after discovering that an unauthorized party was able to access an employee’s email account.","Account Takeover","Finance and insurance","Cyber Crime","US","Link"
"9","16/01/2024","16/01/2024","16/01/2024","?","Socket","Blockchain protocol Socket pauses some operations after a threat actor steals $3.3 million.","Vulnerability","Fintech","Cyber Crime","N/A","Link"
"10","17/01/2024","Since November 2023","Since November 2023","Mint Sandstorm (a.k.a. PHOSPHORUS), subgroup of APT35 (a.k.a. Charming Kitten)","High-profile individuals working on Middle Eastern affairs at universities and research organizations in Belgium, France, Gaza, Israel, the United Kingdom, and the United States","Researchers from Microsoft discover a new campaign from the Iranian-backed Mint Sandstom state hackers, targeting high-profile employees of research organizations and universities across Europe and the United States in spearphishing attacks pushing a new backdoor malware known as MediaPl.","Targeted Attack","Education","Cyber Espionage","BE FR IL PS UK US","Link"
