ID,Date Reported,Description,Attack,Country,Link
1,16/05/23,"Researchers from Check Point discover a Chinese state-sponsored group named ""Camaro Dragon"" infecting residential TP-Link routers with a custom ""Horse Shell"" malware used to attack European foreign affairs organizations.",Targeted Attack,>1,Link
2,16/05/23,"Researchers from Mandiant discover UNC3944, a financially motivated cybergang using phishing and SIM swapping attacks to hijack Microsoft Azure admin accounts and gain access to virtual machines.",Account Takeover,>1,Link
3,16/05/23,"Technology provider ScanSource announces it has fallen victim to a ransomware attack impacting some of its systems, business operations, and customer portals.",Malware,US,Link
4,16/05/23,"Researchers from Check Point reveal that cybercriminals are starting to target Microsoft's VSCode Marketplace, uploading three malicious Visual Studio extensions that Windows developers downloaded 46,600 times.",Malware,>1,Link
5,16/05/23,"The US Cybersecurity and Infrastructure Security Agency (CISA), the Federal Bureau of Investigation (FBI), and the Australian Cyber Security Centre (ACSC) warn critical infrastructure organizations of the BianLian ransomware group’s attacks.",Malware,>1,Link
6,16/05/23,Researchers from eSentire observe the threat actor known as BatLoader conducting a malicious campaign using Google Search Ads to deliver imposter web pages for ChatGPT and Midjourney.,Malware,>1,Link
7,16/05/23,"Security researchers from Armorblox uncover ""VIP Invoice Authentication Fraud”, a new development in business email compromise (BEC) designed to increase pressure on the recipient to pay a fake invoice, impersonating trusted vendors or other third parties that the victim organization regularly pays.",Business Email Compromise,>1,Link
8,16/05/23,Collins Electrical Construction Company discloses a data breach stemming from an unauthorized access to the network.,Unknown,US,Link
9,16/05/23,Kline & Specter discloses to have suffered a ransomware attack.,Malware,US,Link
10,16/05/23,Researchers from Trend Micro discover a recent attack by the 8220 gang exploiting the Oracle WebLogic CVE-2017-3506 vulnerability.,Oracle WebLogic CVE-2017-3506 vulnerability,N/A,Link
11,16/05/23,"Researchers from Recorded Future reveal that a hacking group known as OilAlpha with likely ties to Yemen’s Houthi movement has targeted humanitarian groups, media outlets and nonprofits in the Arabian Peninsula via WhatsApp as part of a digital espionage campaign.",Targeted Attack,>1,Link
12,16/05/23,The State Service of Special Communications and Information Protection of Ukraine (SSCIP) reveals that Russian hackers took a sudden interest in obtaining personal data and mounted successful attacks against more than one-third of the country's largest insurers.,Unknown,UA,Link
13,16/05/23,The LockBit ransomware group publishes 1.5 terabytes of personal and financial information the group said it stole from Bank Syariah Indonesia after ransom negotiations broke down.,Malware,ID,Link
14,17/05/23,"A new ransomware operation dubbed MalasLocker is hacking Zimbra servers to steal emails and encrypt files. However, instead of demanding a ransom payment, the threat actors claim to require a donation to charity to provide an encryptor and prevent data leaking.",Malware,>1,Link
15,17/05/23,Researchers from Wordfence observe millions of probing attempts for the presence of the CVE-2023-32243 Vulnerability in the WordPress Essential Addons for Elementor plugin.,CVE-2023-32243 Vulnerability,>1,Link
16,17/05/23,"Researchers from Trend Micro reveal that a large cybercrime enterprise tracked as the ""Lemon Group"" has reportedly pre-installed malware known as 'Guerrilla' on almost 9 million Android-based smartphones, watches, TVs, and TV boxes.",Malware,>1,Link
17,17/05/23,Researchers from Trellix discover a campaign targeting users in Taiwan with malicious emails delivering malware.,Malware,TW,Link
18,17/05/23,Village Bank discloses that it experienced a data breach in which the sensitive personal identifiable information in its systems might have been accessed.,Account Takeover,US,Link
19,17/05/23,Puma Biotechnology reveals to have suffered a security breach.,Unknown,US,Link
20,17/05/23,Researchers from Group-IB and Bridewell expose a previously undocumented attack infrastructure used by the prolific state-sponsored group SideWinder to strike entities located in Pakistan and China.,Targeted Attack,CN PK,Link
21,17/05/23,Researchers from Kaspersky discover a new miner dubbed Minas using multiple techniques to hide its presence.,Malware,>1,Link
22,17/05/23,Benefit Management announces a data breach after learning that confidential patient information in the company’s care was subject to unauthorized access due to a phishing attack.,Account Takeover,US,Link
23,17/05/23,United Health Services of Delaware (UHS of Delaware) files a notice of data breach after learning that a vendor experienced a phishing attack compromising UHS of Delaware patient information.,Account Takeover,US,Link
24,17/05/23,Great Expressions Dental Centers (GEDC) filed a notice of data breach after determining that an unauthorized party was able to access and remove certain confidential patient information from the company’s computer network.,Unknown,US,Link
25,17/05/23,South Texas Health System notifies patients that some of their protected health information may have been compromised when an unauthorized party accessed a business associate's email account using a phishing tactic.,Account Takeover,US,Link
26,17/05/23,The Downs School is hit by a possible cyber attack.,Unknown,UK,Link
27,18/05/23,"Apple fixes CVE-2023-32409, CVE-2023-28204, and CVE-2023-32373, three new zero-day vulnerabilities exploited in attacks to hack into iPhones, Macs, and iPads.","CVE-2023-32409, CVE-2023-28204, and CVE-2023-32373 Vulnerabilities",N/A,Link
28,18/05/23,"Researchers from ReversingLabs discover multiple npm packages named after NodeJS libraries that pack a Windows executable that resembles NodeJS but instead drops TurkoRAT, a sinister trojan.",Malware,>1,Link
29,18/05/23,"Security researchers confirm that popular Android TV boxes sold on Amazon by two Chinese companies AllWinner and RockChip, are laced with malware",Malware,>1,Link
30,18/05/23,"Cyber criminals from the Black Basta ransomware gang supposedly breach Viking Coca-Cola, a US-based manufacturing company specializing in bottles and cans. The company is one of the largest Coca-Cola bottlers in the US.",Malware,US,Link
31,18/05/23,Researchers from Avanan discover a phishing campaign exploiting Dropbox to deliver phishing pages.,Account Takeover,>1,Link
32,18/05/23,Researchers at Qualys discover a new variant of the Sotdas malware that introduces several innovative features and advanced defense evasion techniques.,Malware,>1,Link
33,18/05/23,Gentex Corporation confirms a data breach by Dunghill ransomware actors.,Malware,US,Link
34,18/05/23,Credit Union of Southern California (CU SoCal) files a notice of data breach after learning that an unauthorized party accessed emails and attachments information stored in an employee’s email account.,Account Takeover,US,Link
35,18/05/23,"People Incorporated of Sequoyah County, a provider of behavioral health, addiction recovery, and anger management services, discloses that an unauthorized third party gained access to the sensitive data of 8,725 current and former patients in a recent ransomware attack.",Malware,US,Link
36,18/05/23,"Buckley King, a law firm, is hit with a BlackBasta ransomware attack.",Malware,US,Link
37,18/05/23,The Trigona ransomware gang claims responsibility for an attack to Lolaico Impianti.,Malware,IT,Link
38,19/05/23,Luxottica confirms that one of its partners suffered a data breach in 2021 that exposed the personal information of 70 million customers after a database was posted for free on hacking forums.,Unknown,IT,Link
39,19/05/23,"Researchers from Microsoft reveal that the FIN7 group was observed deploying the Clop ransomware in opportunistic attacks in April 2023, its first ransomware campaign since late 2021, using the PowerShell-based POWERTRASH in-memory malware dropper to deploy the Lizar post-exploitation tool on compromised devices.",Malware,>1,Link
40,19/05/23,"The U.S. Cybersecurity & Infrastructure Security Agency (CISA) warns of CVE-2023-21492, a security vulnerability affecting Samsung devices used in attacks to bypass Android address space layout randomization (ASLR) protection.",CVE-2023-21492 Vulnerability,US,Link
41,19/05/23,Researchers from Cyble discover a new malware distribution campaign impersonating the CapCut video editing tool to push various malware strains to unsuspecting victims.,Malware,>1,Link
42,19/05/23,"Researchers from Scan Sniffer reveal that a cryptocurrency phishing and scam service called 'Inferno Drainer' has reportedly stolen over $5.9 million worth of crypto from 4,888 victims.",Account Takeover,>1,Link
43,19/05/23,"Researchers from Microsoft observe an increase in sophistication and tactics by threat actors specializing in business email compromise (BEC), including leveraging residential internet protocol (IP) addresses to make attack campaigns appear locally generated.",Business Email Compromise,>1,Link
44,19/05/23,Researchers from Kaspersky discover CloudWizard a new cluster of activities by an advanced persistent threat targeting individuals and organizations in Ukraine via the PowerMagic and CommonMagic malicious implants.,Targeted Attack,UA,Link
45,19/05/23,The Indian manufacturing plant responsible for manufacturing Suzuki motorcycles is forced to shut down following a cyber attack.,Unknown,IN,Link
46,19/05/23,Researchers from Trend Micro discover an infostealer masquerading as a popular computer game exploiting GitHub Codespaces to exfiltrate data.,Malware,>1,Link
47,19/05/23,Tennessee Orthopaedic Clinics (TOC) files a notice of data breach after determining that an unauthorized party was able to access confidential patient data stored on the company’s computer network.,Unknown,US,Link
48,19/05/23,A failed cyberattack is responsible for Newport News Public Library branch computers being out of operation the past three weeks.,Unknown,US,Link
49,20/05/23,"PyPI, the official third-party registry of open source Python packages, temporarily suspends new users from signing up, and new projects from being uploaded to the platform until further notice, amid the registry's struggle to upkeep with a large influx of malicious users and packages.",Malware,>1,Link
50,20/05/23,"Ukrainian hacking group ""Kiber Sprotyv,"" which translates as “Cyber Resistance,” and volunteer intelligence community InformNapalm release the personal data and photo of Viktor Borisovich Netyksho, an Officer in Russia’s Intelligence Directorate of the General Staff (GRU) after hacking his wife Oxana's emails.",Account Takeover,RU,Link
51,20/05/23,An attacker exploits crypto mixer Tornado Cash to take full control of the decentralized platform and steal $1 million. The day after the attacker reverts the control back.,Malware,N/A,Link
52,22/05/23,"Apria Healthcare notifies over 1.8 million patients and employees that their personal, financial and health data was accessed during a systems hack.",Unknown,US,Link
53,22/05/23,Researchers from Trend Micro reveal that the ALPHV ransomware group (aka BlackCat) was observed employing signed malicious Windows kernel drivers to evade detection by security software during attacks via an improved version of the malware known as 'POORTRY'.,Malware,>1,Link
54,22/05/23,"Researchers from Permiso discover a financially motivated cyberthreat group traced to Indonesia, attacking organizations’ Amazon Web Services (AWS) accounts to set up illicit cryptomining operations.",Misconfiguration,>1,Link
55,22/05/23,The FBI warns US citizens and individuals who travel or live abroad of the risk of false job advertisements linked to labor trafficking at Southeast Asia.,Scam,US,Link
56,22/05/23,"The Ukraine's computer emergency response team, CERT-UA, identifies a cyber-espionage campaign carried on by an unidentified threat actor named UAC-0063, targeting an undisclosed government agency in Ukraine.",Targeted Attack,UA,Link
57,22/05/23,"Researchers from Fortinet discover Wintapix, a new Windows kernel driver deployed in attacks against Middle East targets by Iranian threat actors since 2020.",Targeted Attack,>1,Link
58,22/05/23,"Mazars Group, an international audit, accounting, and consulting firm, is posted on the ALPHV/BlackCat ransomware dark web blog.",Malware,FR,Link
59,22/05/23,"Researchers at Trend Micro reveal the details of a BlackCat ransomware incident, using a signed kernel driver for evasion.",Malware,N/A,Link
60,22/05/23,"Amazon's PillPack notifies consumers that an unauthorized person took customer emails and passwords to log into 19,032 PillPack accounts.",Credential Stuffing,US,Link
