"ID","Date Reported","Date Occurred","Date Discovered","Author","Target","Description","Attack","Target Class","Attack Class","Country","Link"
"1","01/04/2023","During October 2022","During October 2022","APT41 AKA HOODOO","Taiwanese media organization","Researchers from Google discover a campaign carried out by the Chinese Threat Actor APT41 targeting a Taiwanese media organization.","Malware","Information and Communication","Cyber Espionage","TW","Link"
"2","01/04/2023","During Q4 2022","During Q4 2022","Ursnif","Multiple organizations","Researchers from Google’s Mandiant observed a campaign distributing the URSNIF banking trojan from Google Drive","Malware","Multiple Industries","Cyber Crime",">1","Link"
"3","01/04/2023","During Q4 2022","During Q4 2022","Diceloader","Multiple organizations","Researchers from Google’s Mandiant observed a campaign distributing the DICELOADER malware from Google Drive","Malware","Multiple Industries","Cyber Crime",">1","Link"
"4","01/04/2023","Since at least 16/03/2023","Since at least 16/03/2023","?","Multiple organizations in the U.S.","Fake extortionists are piggybacking on data breaches and ransomware incidents, threatening U.S. companies with publishing or selling allegedly stolen data unless they get paid.","Scam","Multiple Industries","Cyber Crime","US","Link"
"5","01/04/2023","-","-","9Near","Unnamed Thai Government Agency","A threat actor named ""9Near"" claims to have stolen the personal data of 55 million Thai citizens from an unnamed Government agency.","Unknown","Public admin and defence, social security","Hacktivism","TH","Link"
"6","01/04/2023","01/03/2023","28/02/2023","D0nut Leaks","Montgomery General Hospital","Montgomery General Hospital is forced to take its systems offline after it was breached and hit by a ransomware attack.","Malware","Human health and social work","Cyber Crime","US","Link"
"7","02/04/2023","-","-","?","Alpi Aviation","Alpi Aviation, an Italian aircraft manufacturer, has some customer data dumped in the XSS underground forum.","Unknown","Manufacturing","Cyber Crime","IT","Link"
"8","03/04/2023","26/03/2023","26/03/2023","?","Western Digital","Western Digital announces that its network has been breached and an unauthorized party gained access to multiple company systems. The statement suggests a possible ransomware attack.","Unknown","Manufacturing","Cyber Crime","US","Link"
"9","03/04/2023","31/03/2023","31/03/2023","?","Capita","British outsourcing services provider Capita announces that a cyberattack is preventing access to its internal Microsoft Office 365 applications.","Unknown","Professional, scientific and technical","Cyber Crime","UK","Link"
"10","03/04/2023","-","29/03/2023","North Korean state-backed hacking group? (Labyrinth Collima AKA Lazarus Group, Covellite, UNC4034, Zinc, Nickel Academy)","Multiple organizations in the cryptocurrency sector","Researchers from Kaspersky reveal that some of the victims affected by the 3CX supply chain attack have also had their systems backdoored with Gopuram malware, with the threat actors specifically targeting cryptocurrency companies with this additional malicious payload.","Malware","Fintech","Cyber Crime",">1","Link"
"11","03/04/2023","Since October 2022","Since October 2022","ALPHV AKA BlackCat AKA UNC4466","Multiple organizations","Researchers from Mandiant observe an ALPHV/BlackCat ransomware affiliate exploiting three vulnerabilities (CVE-2021-27876, CVE-2021-27877 and CVE-2021-27878) impacting the Veritas Backup product for initial access to the target network.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"12","03/04/2023","Between 23/01/2023 and 31/01/2023","31/01/2023","?","Genova Burns","Genova Burns, a mid-sized law firm representing Uber notifies an unknown number of its drivers that sensitive data was exposed and stolen due to a cyber-attack.","Unknown","Professional, scientific and technical","Cyber Crime","US","Link"
"13","03/04/2023","During the Spring break","During the Spring break","?","Jefferson County School System","The Jefferson County School System discloses it was the victim of a ransomware computer attack during Spring Break.","Malware","Education","Cyber Crime","US","Link"
"14","03/04/2023","-","-","Black Basta","Corporate Technologies,","The Black Basta ransomware gang claims to have breached Corporate Technologies, a US-based IT consultancy and cybersecurity firm.","Malware","Professional, scientific and technical","Cyber Crime","US","Link"
"15","03/04/2023","30/03/2023","30/03/2023","?","Ripple Users","Researchers from BitDefender discover a phishing campaign impersonating crypto solutions provider Ripple.","Account Takeover","Fintech","Cyber Crime","AU DE DK IE JP KR UK US ZA","Link"
"16","03/04/2023","-","-","Stormous","Cameron Memorial Community Hospital","The Stormous Ransomware adds Cameron Memorial Community Hospital to their leak site, despite they do not provide any proof of claims.","Malware","Human health and social work","Cyber Crime","US","Link"
"17","03/04/2023","-","-","ALPHV AKA BlackCat AKA UNC4466","Mutual de Seguros de Chile","Mutual de Seguros de Chile is added to the BlackCat ransomware leak site.","Malware","Finance and insurance","Cyber Crime","CL","Link"
"18","03/04/2023","During the previous week","During the previous week","?","Palmeiras Club of Brazil","The Palmeiras Club of Brazil is the target of a cyberattack.","Unknown","Arts entertainment, recreation","Cyber Crime","BR","Link"
"19","03/04/2023","01/04/2023","01/04/2023","?","Isaac Regional Council","The Isaac Regional Council, a local government body in the central Queensland area of Australia, discloses that a ransomware attack targeted its internal systems and resulted in reduced customer service capabilities.","Malware","Public admin and defence, social security","Cyber Crime","AU","Link"
"20","03/04/2023","02/04/2023","02/04/2023","?","Allbridge","A hacker returned assets worth $465,000 stolen from Allbridge, taking up the multichain token bridge's offer of a white hat bounty and no legal proceedings. The compensation plan came into place after the hacker drained $573,000 by manipulating Allbridge's swap price function.","Vulnerability","Fintech","Cyber Crime","N/A","Link"
"21","03/04/2023","-","-","?","Ethereum","One of the major Ethereum MEV bots is targeted in an attack, apparently by one of the blockchain's validators, resulting in the loss of almost $20 million.","Mev bot attack","Fintech","Cyber Crime","N/A","Link"
"22","04/04/2023","04/04/2023","04/04/2023","Noname 057(16)","Finnish Parliament","The pro-Russia hacker group Noname 057(16) announces to be behind a series of DDoS attacks on the Finnish parliament's website as Finland prepares to join the Nato military alliance at a ceremony in Brussels.","DDoS","Public admin and defence, social security","Hacktivism","FI","Link"
"23","04/04/2023","04/04/2023","04/04/2023","Noname 057(16)","Personal website of outgoing Finnish PM Sanna Marin","The Noname 057(16) group is also believed to be behind a similar attack on at least one other official website as well as the personal website of outgoing Finnish PM Sanna Marin (SDP).","DDoS","Public admin and defence, social security","Hacktivism","FI","Link"
"24","04/04/2023","Since at least 17/03/2023","17/03/2023","?","Taxpayers in the U.S.","eFile.com, an IRS-authorized e-file software service provider used by many for filing their tax returns, has been caught serving JavaScript malware.","Malicious Script Injection","Individual","Cyber Crime","US","Link"
"25","04/04/2023","'Recently'","'Recently'","Rorschach","Undisclosed U.S.-based company","Researchers from Check Point discover a new ransomware strain dubbed Rorschach with the fastest encryptor seen so far.","Malware","Unknown","Cyber Crime","US","Link"
"26","04/04/2023","31/01/2023","31/01/2023","lernaean_hydra0","Multiple organizations","Researchers from Cisco Talos discover a new version of the Typhon Reborn malware dubbed Typhon Reborn V2 characterized by improvements designed to thwart analysis via anti-virtualization mechanisms.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"27","04/04/2023","-","-","Rilide","Individuals","Researchers from Trustwave discover a new malicious browser extension called Rilide, that targets Chromium-based products like Google Chrome, Brave, Opera, and Microsoft Edge in disguise of a fake Google Drive extension advertised via Google Ad.","Malware","Individual","Cyber Crime",">1","Link"
"28","04/04/2023","Since at least 04/04/2023","04/04/2023","Qbot AKA Qakbot, Pinkslipbot","Multiple organizations","Security researchers reveal that the QBot malware is now distributed in phishing campaigns utilizing PDFs and Windows Script Files (WSF) to infect Windows devices.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"29","04/04/2023","From September 2022 until at least February 2023","During February 2023","Mantis (AKA Arid Viper, Desert Falcon, APT-C-23)","Organizations within the Palestinian territories","Researchers from Symantec/Broadcom discover a new campaign by the Palestinian cyber espionage group Mantis, targeting organizations within the Palestinian territories with updated versions of their custom Arid Gopher and Micropsia backdoors.","Targeted Attack","Multiple Industries","Cyber Espionage","PS","Link"
"30","04/04/2023","-","-","?","Multiple organizations","Researchers from Sysdig uncover a new form of attack, called “proxyjacking,” in which hackers leverage the Log4j vulnerability to gain initial access to a system or device before selling off its IP information to proxyware services.","Log4j Vulnerability","Multiple Industries","Cyber Crime",">1","Link"
"31","04/04/2023","-","-","LockBit 3.0","KNVB (Governing Body for Soccer in the Netherlands)","KNVB, the governing body for soccer in the Netherlands, discloses that hackers were able to steal the personal information of its employees during a cyberattack. The LockBit ransomware gangs claims responsibility for the attack.","Unknown","Arts entertainment, recreation","Cyber Crime","NL","Link"
"32","04/04/2023","04/04/2023","04/04/2023","Anonymous Sudan","Check Point","The web site of Check Point, one of Israel's largest cybersecurity companies, is taken down by Anonymous Sudan.","DDoS","Professional, scientific and technical","Hacktivism","IL","Link"
"33","04/04/2023","04/04/2023","04/04/2023","Anonymous Sudan","Websites of multiple major universities in Israel","The websites of multiple major universities in Israel, including Tel Aviv University, the Hebrew University of Jerusalem, Ben-Gurion University of the Negev, Haifa University, Weizmann Institute of Science, Open University of Israel and Reichman University, are taken down by Anonymous Sudan.","DDoS","Education","Hacktivism","IL","Link"
"34","04/04/2023","Between March and April 2023","Between March and April 2023","?","Multiple organizations","Researchers from Checkmarx reveal that a threat actor launched multiple campaigns exploiting the npm registry to deliver malware and crypto scams.",">1","Multiple Industries","Cyber Crime",">1","Link"
"35","04/04/2023","04/04/2023","04/04/2023","TurkHackTeam","Banks and Government Agencies in Denmark","In name of OpDenmark, a group of Turkish hacktivists dubbed TurkHackTeam defaces several Banks and Government agencies in Denmark.","Defacement","Multiple Industries","Hacktivism","DK","Link"
"36","04/04/2023","-","During November 2022","?","TAFE South Australia (TAFE SA)","The personal information of more than 2,000 TAFE SA students is stolen in a serious data breach, when the South Australia police finds a USB drive containing students' data.","Unknown","Education","Cyber Crime","AU","Link"
"37","04/04/2023","Since March 2023","During March 2023","Threat actors from Romania","Multiple organizations","Researchers from Tehtris discover a cryptojacking campaign targeting Linux machines, dubbed Color1337, and involving the use of a bot called uhQCCSpB that installs and launches a Monero miner on the infected machine.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"38","04/04/2023","Between 19/01/2023 and 22/03/2023","During January 2023","UAC-0145","Undisclosed Ukrainian Utility Company","The Computer Emergency Response Team of Ukraine (CERT-UA) reveals that an Ukrainian utility company was breached with the DarkCrystal after installing a pirated version of Microsoft Office downloaded from a torrent website.","Malware","Water supply, waste mgmt, remediation","Cyber Espionage","UA","Link"
"39","04/04/2023","-","-","D0nut Leaks","UnitedLex","UnitedLex, a legal consulting firm, is hit by the D0nut ransomware gang.","Malware","Administration and support service","Cyber Crime","US","Link"
"40","04/04/2023","End of March 2023","End of March 2023","Royal","More than 1,000 organizations worldwide","Researchers from Red Sense reveal that the Royal ransomware group appears to have targeted more than 1,000 organizations with a social engineering attack designed to trick victims into trusting the attackers, and installing ransomware.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"41","04/04/2023","-","-","LockBit 3.0","Errebielle","The LockBit 3.0 ransomware gang claims to have breached Errebielle, an Italian company specialized in the production of doors and furniture accessories, and dumps 34 gb of data.","Malware","Manufacturing","Cyber Crime","IT","Link"
"42","05/04/2023","Since at least 03/04/2023","03/04/2023","?","YouTube users","YouTube warns users of a new phishing scam that has been using authentic email addresses to lure users into giving away their login credentials.","Account Takeover","Individual","Cyber Crime",">1","Link"
"43","05/04/2023","During Late 2022","During Late 2022","ARCHIPELAGO","Government and military personnel, think thanks, policy makers, academics, and researchers in South Korea, and the U.S.","Researchers from Google warn of the North Korea-linked ARCHIPELAGO (subset of the APT43 group) targeting government and military personnel, think tanks, policy makers, academics, and researchers in South Korea, the US and elsewhere.","Targeted Attack","Individual","Cyber Espionage","KR US","Link"
"44","05/04/2023","Recently'","Recently'","?","Crypto users in Portugal","Researchers from Palo Alto Networks reveal that crypto users in Portugal are being targeted by a new malware codenamed CryptoClippy that's capable of stealing cryptocurrency as part of a SEO poisoning malvertising campaign in theme with searches for 'WhatsApp Web'.","Malware","Fintech","Cyber Crime","PT","Link"
"45","05/04/2023","05/04/2023","05/04/2023","?","Israel Postal Company","The Israel Postal Company detects a cyber attack from a ""hostile party"" targeting their computer servers, and shuts down part of its computer systems in response to the attack.","Unknown","Public admin and defence, social security","Hacktivism","IL","Link"
"46","05/04/2023","09/07/2022","09/07/2022","Rektengle","Rogers Communications","Attackers post an ad on a mostly Russian-speaking hacker forum, putting on sale a database allegedly belonging to Rogers Communications, a Canadian company providing wireless, cable, and internet services.","Unknown","Information and communication","Cyber Crime","CA","Link"
"47","05/04/2023","Between 26/10/2022 and 29/10/2022","'Recently'","?","Prescott College","Prescott College files a notice of data breach after the school learned that an unauthorized party had gained access to and removed certain files that were stored on its computer system.","Unknown","Education","Cyber Crime","US","Link"
"48","05/04/2023","Earlier in 2022","'Recently'","?","Woodward Communications","Woodward Communications files a notice of data breach after experiencing a cybersecurity event that compromised the security of consumer data in the company’s possession.","Unknown","Information and communication","Cyber Crime","US","Link"
"49","05/04/2023","Between 28/02/2023 and 01/03/2023","01/03/2023","?","Chippewa County","The Chippewa County Human Resources Division notifies that the laptop computer of an employee was compromised and 25-35MB of data was stolen from the device, including information protected under HIPAA.","Unknown","Public admin and defence, social security","Cyber Crime","US","Link"
"50","05/04/2023","-","-","LockBit 3.0","Olympia CUSD (Olympia Community Unified School District 16)","The LockBit 3.0 ransomware gang claims to have hit the Olympia CUSD (Olympia Community Unified School District 16) in Illinois, and post 4 files with personal information as proof.","Malware","Education","Cyber Crime","US","Link"
"51","05/04/2023","24/03/2023","24/03/2023","BlackCat","Noteboom","The BlackCat ransomware gang claims to have breached Noteboom, a law firm.","Malware","Professional, scientific and technical","Cyber Crime","US","Link"
"52","06/04/2023","27/03/2023","27/03/2023","Medusa","Open University of Cyprus (OUC)","The Medusa ransomware gang claims responsibility for a cyberattack on the Open University of Cyprus (OUC), which caused severe disruptions of the organization's operations.","Malware","Education","Cyber Crime","CY","Link"
"53","06/04/2023","Since 17/01/2023","17/01/2023","?","UK's Criminal Records Office (ACRO)","The UK's Criminal Records Office (ACRO) confirms that online portal issues experienced resulted from what it described as a ""cyber security incident.""","Unknown","Public admin and defence, social security","Cyber Crime","UK","Link"
"54","06/04/2023","-","-","?","Taxpayers in the U.S.","Researchers from Avanan discover a series of campaign exploiting Quickbooks to harvest credentials.","Account Takeover","Individual","Cyber Crime","US","Link"
"55","06/04/2023","-","-","Muòtiple threat actors","Multiple organizations","Adobe sends out password reset emails to users informing them that the company has changed the password associated with their Adobe ID, which may have been compromised in data breaches from other online sources. services.","Unknown","Multiple Industries","Cyber Crime",">1","Link"
"56","06/04/2023","Between 12/10/2023 and 28/10/2023","-","?","Killer Instinct","Killer Instinct, a company that trades high-tech modern adaptations of the archaic long-range weapon, discloses a data breach affecting over 800 users.","Account Takeover","Manufacturing","Cyber Crime","US","Link"
"57","06/04/2023","-","-","Cyber Resistance Group","Putin supporter Mikhail Luchin","Hacktivists from the Pro-Ukraine Cyber Resistance Group break into the account of Putin supporter Mikhail Luchin, and spend  $25,000, the funds he had planned to use purchase Chinese drones on tens of thousands of dollars worth of dildos and strap-ons.","Account Takeover","Individual","Hacktivism","RU","Link"
"58","06/04/2023","Mid-February 2023","Mid-February 2023","?","University of Hawaii Maui College (UH Hawaii College)","University of Hawaii Maui College (UH Hawaii College) posted notice of a data breach on its website following a February cyberattack.","Unknown","Education","Cyber Crime","US","Link"
"59","06/04/2023","Between early November 2022 and Late February 2023","Late February 2023","?","Thermea Spa","Customers who purchased gift certificates from Thermea spa between early November and late February are told in an email that their credit card information may have been compromised, alongside their full names, phone numbers and email and street addresses.","Unknown","Arts entertainment, recreation","Cyber Crime","CA","Link"
"60","06/04/2023","04/04/2023","04/04/2023","?","Sentiment","Lending protocol Sentiment manages to recover the stolen funds from a recent hack by offering the hacker a bounty worth $95,000.","Vulnerability","Fintech","Cyber Crime","US","Link"
"61","06/04/2023","-","-","LockBit 3.0","OMS Components","The LockBit 3.0 ransomware gang claims to have breached OMS Components, an Italian company manufacturing office chairs components.","Malware","Manufacturing","Cyber Crime","IT","Link"
"62","06/04/2023","-","-","ALPHV AKA BlackCat AKA UNC4466","Electronic System","The BlackCat ransomware gang claims to have breached Electronic System, an Italian manufacturer of components for automations systems,","Malware","Manufacturing","Cyber Crime","IT","Link"
"63","06/04/2023","04/04/2023","04/04/2023","Akira","BridgeValley Community and Technical College","BridgeValley Community and Technical College suffers an Akira ransomware attck.","Malware","Education","Cyber Crime","US","Link"
"64","07/04/2023","-","-","For-profit companies","Individuals in the U.S.","The FBI warns that for-profit companies reportedly linked to sextortion activity are targeting victims using various deceptive tactics to pressure them into paying for ""assistance"" services.","Sextortion Scam","Individual","Cyber Crime","US","Link"
"65","07/04/2023","Since 2017","-","Balada Injector","More than one million WordPress websites","Researchers from Sucuri estimate that one million WordPress websites have been compromised during a long-lasting campaign that exploits ""all known and recently discovered theme and plugin vulnerabilities"" to inject a Linux backdoor via Balada Injector.","Multiple vulnerabilities","Multiple Industries","Cyber Crime",">1","Link"
"66","07/04/2023","-","-","Multiple threat actors","Multiple organization(s) in the U.S.","Apple releases emergency security updates to address two new zero-day vulnerabilities (CVE-2023-28205 and CVE-2023-28206) exploited in attacks to compromise iPhones, Macs, and iPads.","CVE-2023-28205 and CVE-2023-28206 vulnerabilities","Unknown","N/A","US","Link"
"67","07/04/2023","-","-","Multiple threat actors","Multiple organization(s) in the U.S.","CISA adds CVE-2019-1388, a Microsoft Windows Certificate Dialog vulnerability to its list of exploited vulnerabilities.","CVE-2019-1388 vulnerability","Unknown","N/A","US","Link"
"68","07/04/2023","-","During Mach 2023","?","Multiple organization(s) in the U.S.","CISA adds CVE-2023-26083, an information disclosure flaw in Arm Mali GPU Kernel Driver, exploited by a spyware vendor, to its list of exploited vulnerabilities.","CVE-2023-26083 vulnerability","Multiple Industries","Cyber Espionage","US","Link"
"69","07/04/2023","13/03/2023","06/04/2023","?","Police Department in Camden County","The police department in Camden County, New Jersey confirmed that it was hit with a ransomware attack and is still investigating the incident.","Malware","Public admin and defence, social security","Cyber Crime","US","Link"
"70","07/04/2023","Late during the same week","Late during the same week","?","Rochester Public Schools","The Rochester Public Schools announces that it is canceling classes for all 42 schools it operates after it was hit by a suspected cyberattack.","Unknown","Education","Cyber Crime","US","Link"
"71","07/04/2023","30/03/2023","30/03/2023","?","Sarah D. Culbertson Memorial Hospital","Sarah D. Culbertson Memorial Hospital informs the public that staff had discovered a “network disruption” on March 30.","Unknown","Human health and social work","Cyber Crime","US","Link"
"72","07/04/2023","06/04/2023","06/04/2023","?","Evotec","German drug development giant Evotec discloses it suffered a cyberattack that forced it to take all of its IT systems offline.","Unknown","Professional, scientific and technical","Cyber Crime","DE","Link"
"73","07/04/2023","-","-","MuddyWater (AKA MERCURY, Mango Sandstorm, Seedworm, and Static Kitten) and DEV-1084 (AKA Storm-1084)","Multiple organizations","Researchers from Microsoft reveal that Iranian advanced persistent threat (APT) actors MuddyWater and DEV-1084 have been observed launching destructive cyberattacks disguised as ransomware against on-prem and cloud infrastructures.","Multiple vulnerabilities","Multiple Industries","Cyber Crime",">1","Link"
"74","07/04/2023","07/04/2023","07/04/2023","?","Municipality of Herselt","The municipality of Herselt in Belgium has been hit by a cyberattack","Unknown","Public admin and defence, social security","Cyber Crime","BE","Link"
