"ID","Date Reported","Date Occurred","Date Discovered","Author","Target","Description","Attack","Target Class","Attack Class","Country","Link"
"1","01/12/2023","-","-","Nation-state threat actors","Organizations in the United States, the Middle East, and Africa","Researchers from Palo Alto Networks discover a threat activity cluster, named CL-STA-0002, carried out via a novel malware named 'Agent Raccoon' (or Agent Racoon) used in cyberattacks against organizations in the United States, the Middle East, and Africa.","Targeted Attack","Multiple Industries","Cyber Espionage",">1","Link"
"2","01/12/2023","End of November/Early December 2023","End of November/Early December 2023","?","Multiple organizations","Researchers at Wordfence and PatchStack discover a campaign emailing WordPress administrators with fake WordPress security advisories for a fictitious vulnerability tracked as CVE-2023-45124 to infect sites with a malicious plugin.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"3","01/12/2023","03/09/2023","03/09/2023","?","The Hershey Company","The Hershey Company, the American manufacturer of popular sweets such as Kit Kat and Reese's Peanut Butter Cups, tells regulators that more than 2,200 people were potentially affected by a data breach after hackers gained access to some of the company’s email accounts.","Account Takeover","Accommodation and food service","Cyber Crime","US","Link"
"4","01/12/2023","Since at least November 2023","During November 2023","Storm-0216 (a.k.a. Twisted Spider and UNC2198)","Multiple organizations","Researchers from Microsoft reveal that the threat actor Storm-0216 (a.k.a. Twisted Spider and UNC2198) is using the Danabot malware distributed through online advertisements to infect victims with the Cactus ransomware.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"5","01/12/2023","-","-","Cyber Av3ngers","Four water utilities and an aquarium in the U.S.","The FBI, the Environmental Protection Agency, the Cybersecurity and Infrastructure Security Agency, (CISA,) and Israel’s National Cyber Directorate reveal that at least four water utilities and an aquarium in the U.S. have been targeted by the Iranian hacktivists from the Cyber Av3ngers targeting vulnerable Unitronics controllers.","Unitronics vulnerability","Water supply, waste mgmt, remediation","Hacktivism","US","Link"
"6","01/12/2023","-","22/09/2023","Cuba","Rock County","Rock County issues notification letters about a Cuba ransomware attack and data breach that affected 25,823 individuals.","Malware","Public admin and defence, social security","Cyber Crime","US","Link"
"7","01/12/2023","-","-","Medusa","Great Valley School District","The Medusa ransomware gang claims to have hit Great Valley School District in Pennsylvania.","Malware","Education","Cyber Crime","US","Link"
"8","01/12/2023","-","29/11/2023","LockBit 3.0","Pacific Cataract and Laser Institute","Pacific Cataract and Laser Institute is hit with a LockBit 3.0 ransomware attack.","Malware","Human health and social work","Cyber Crime","US","Link"
"9","03/12/2023","During November 2023","-","Qilin","Multiple organizations","A new version of the Qilin ransomware is discovered targeting VMware ESXi systems.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"10","04/12/2023","As early as April 2022.","As early as April 2022.","Forest Blizzard a.k.a. APT28, Fancy Bear, Strontium, Fighting Ursa, TA422, ITG05","Government, energy, transportation, and other key organizations in the United States, Europe, and the Middle East.","Microsoft's Threat Intelligence team issues a warning about the Russian state-sponsored actor APT28 (aka ""Fancy Bear"" or ""Strontium"") actively exploiting the CVE-2023-23397 Outlook vulnerability to hijack Microsoft Exchange accounts and steal sensitive information.","Targeted Attack","Multiple Industries","Cyber Crime","US >1","Link"
"11","04/12/2023","-","-","P2Pinfect","Multiple organizations","Researchers from Cado discover a new variant of the P2Pinfect botnet, focusing on infecting devices with 32-bit MIPS processors, such as routers and IoT devices.","Brute-force","Multiple Industries","Cyber Crime",">1","Link"
"12","04/12/2023","02/12/2023","03/12/2023","ALPHV a.k.a. BlackCat","Tipalti","Accounting software giant Tipalti says it is investigating reports of a ransomware attack after the BlackCat/ALPHV ransomware gang spent the weekend attempting to extort the company and its customers.","Malware","Professional, scientific and technical","Cyber Crime","CA","Link"
"13","04/12/2023","'Recently'","27/11/2023","Malek Team","Ziv Medical Center","Malek Team, a group allegedly linked to Iran, claims to have leaked thousands of medical records from Ziv Medical Center, an Israeli hospital, including those of Israeli soldiers.","Unknown","Human health and social work","Hacktivism","IL","Link"
"14","04/12/2023","End of November 2023","End of November 2023","Cyber Av3ngers","St. Johns River Water Management District","St. Johns River Water Management District, a regulatory agency in Florida that oversees the long-term supply of drinking water, confirms that it responded to a cyberattack after the Cyber Av3ngers said it attacked the organization, providing samples of what it stole.","Unknown","Water supply, waste mgmt, remediation","Hacktivism","US","Link"
"15","04/12/2023","25/07/2023","-","?","St. Landry Parish Schools","The St. Landry Parish Schools district is hit with a ransomware attack.","Malware","Education","Cyber Crime","US","Link"
"16","04/12/2023","-","05/11/2023","HelloKitty?","Hermon School Department","The Hermon School Department suffers a ransomware attack after the threat actors exploit the CVE-2023-46604 Apache ActiveMQ vulnerability,","Malware","Education","Cyber Crime","US","Link"
"17","04/12/2023","18/05/2023","16/11/2023","?","Taylor University","Taylor University notifies individuals whose information may have been impacted by a ransomware attack discovered in May.","Malware","Education","Cyber Crime","US","Link"
"18","04/12/2023","As far back as 2015","-","Threat actors linked to Russia and China","Sellafield Nuclear Waste and Decommissioning Site","Threat actors linked to Russia and China have allegedly hacked into the systems of the Sellafield nuclear waste and decommissioning site in the UK, according to an investigation conducted by The Guardian. However, the British government has dismissed the reports.","Malware","Electricity, gas steam, air conditioning","Cyber Espionage","GB","Link"
"19","04/12/2023","Since October 2023","During October 2023","?","Android Banking Users","Researchers from Cyble discover a new variant of the TrickMo banking trojan, using an overlay attack technique.","Malware","Finance and insurance","Cyber Crime",">1","Link"
"20","04/12/2023","28/08/2023","-","?","Sharonview Federal Credit Union","Sharonview Federal Credit Union (Sharonview) files a notice of data breach after discovering that an unauthorized party was able to access an employee’s email account.","Account Takeover","Finance and insurance","Cyber Crime","US","Link"
"21","04/12/2023","-","04/10/2023","?","Neurosurgical Associates of New Jersey","Neurosurgical Associates of New Jersey (Neurosurgeons of New Jersey) files a notice of data breach after discovering that an unauthorized party accessed an employee’s email account.","Account Takeover","Human health and social work","Cyber Crime","US","Link"
"22","04/12/2023","-","-","Akira","Hangzhou Great Star Industrial","The American division of the Chinese multinational Hangzhou Great Star Industrial Co., Ltd (Great Star), pays a ransom of 1 million dollars in a BTC wallet to the Akira ransomware group.","Malware","Manufacturing","Cyber Crime","US","Link"
"23","05/12/2023","Since the beginning of 2023","Since the beginning of 2023","SpyLoan","Android users in Mexico, India, Thailand, Indonesia, Nigeria, Philippines, Egypt, Vietnam, Singapore, Kenya, Colombia, and Peru.","Researchers from ESET discover more than a dozen malicious loan apps, generically named SpyLoan, downloaded more than 12 million times.","Malware","Finance and insurance","Cyber Crime","CO EG ID IN KE MX NG PE PH SG TH VN","Link"
"24","05/12/2023","During June 2023","During June 2023","?","Two federal agencies in the U.S.","The U.S. Cybersecurity and Infrastructure Security Agency (CISA) warns about threat actors actively exploiting a critical vulnerability in Adobe ColdFusion identified as CVE-2023-26360 to gain initial access to government servers.","CVE-2023-26360 Vulnerability","Public admin and defence, social security","Cyber Espionage","US","Link"
"25","05/12/2023","-","30/11/2023","ALPHV a.k.a. BlackCat","HTC Global Services","IT services and business consulting company HTC Global Services confirms they suffered a cyberattack after the ALPHV/BlackCat ransomware gang begins leaking screenshots of stolen data, allegedly obtained exploiting the CVE-2023-4966 Citrixbleed vulnerability.","Malware","Professional, scientific and technical","Cyber Crime","US","Link"
"26","05/12/2023","-","-","?","Nissan Oceania","Japanese car maker Nissan investigates a cyberattack that targeted its systems in Australia and New Zealand, which may have let hackers access personal information.","Unknown","Manufacturing","Cyber Crime","AU NZ","Link"
"27","05/12/2023","Since at least March 2022","Since at least March 2022","Doppelgänger","Ukraine","Researchers from Recorded Future discover additional activity from the Russia-linked ‘Doppelgänger’ social media operation targeting Ukraine.","Coordinated Inauthentic Behavior","Individual","Cyber Warfare","UA","Link"
"28","05/12/2023","Since at least March 2022","Since at least March 2022","Doppelgänger","Germany and U.S.","Researchers from Recorded Future discover another campaign from the Russia-linked ‘Doppelgänger’ social media operation targeting Germany and the U.S.","Coordinated Inauthentic Behavior","Individual","Cyber Warfare","DE US","Link"
"29","05/12/2023","-","-","Andariel","South Korean companies connected to the defense industry","The Seoul Metropolitan Police accuses the North Korean group Andariel of targeting South Korean companies connected to the defense industry and stealing 1.2 terabytes of sensitive information about anti-aircraft weapon systems.","Targeted Attack","Public admin and defence, social security","Cyber Espionage","KR","Link"
"30","05/12/2023","-","-","Andariel","Three organizations in South Korea and abroad","Separately, the Seoul Metropolitan Police investigators discover that the group extorted three ransomware victims in South Korea and abroad for about $357,000 worth of Bitcoin.","Malware","Mining and quarrying","Cyber Crime","KR N/A","Link"
"31","05/12/2023","Since late September 2023","Since late September 2023","?","44 individuals across 22 different organizations","Researchers from Abnormal Security discover a sophisticated, personalized, phishing attack impersonating Disney+","Account Takeover","Multiple Industries","Cyber Crime",">1","Link"
"32","05/12/2023","-","-","Chinese Threat Actors","United States Postal Service (USPS) users","Researchers from Bolster discover a widespread phishing campaign, using a domain impersonating Walmart, and cleverly designed to mimic the appearance of the USPS.com website.","Account Takeover","Individual","Cyber Crime","US","Link"
"33","05/12/2023","Since at least February 2022","Since at least February 2022","Doppelganger","Individuals in Germany, Ukraine, and the U.S.","Researchers from Recorded Future discover a new campaign by the Russia-linked influence operation called Doppelganger, aimed to amplify content designed to undermine Ukraine as well as propagate anti-LGBTQ+ sentiment, U.S. military competence, and Germany's economic and social issues.","Coordinated Inauthentic Behavior","Individual","Cyber Warfare","DE UA US","Link"
"34","05/12/2023","Since at least March 2023","Since at least March 2023","Forest Blizzard a.k.a. APT28, Fancy Bear, Strontium, Fighting Ursa, TA422, ITG05","Organizations in Europe and North America","Researchers from Proofpoint discover a new campaign by the Russian threat actor APT28 exploiting the CVE-2023-23397 Microsoft Outlook vulnerability and CVE-2023-38831 WinRAR vulnerability.","Targeted Attack","Multiple Industries","Cyber Espionage",">1","Link"
"35","05/12/2023","05/12/2023","05/12/2023","BlackSuit","Groveport Madison Schools","The Groveport Madison Schools is hit with a BlackSuit ransomware attack.","Malware","Education","Cyber Crime","US","Link"
"36","05/12/2023","18/10/2022","22/10/2022","?","Advantis Global","Advantis Global files a notice of data breach after discovering a “security incident” involving its corporate email system.","Account Takeover","Administration and support service","Cyber Crime","US","Link"
"37","05/12/2023","End of May 2023","01/06/2023","Clop a.k.a. Lace Tempest, TA505, and FIN11","1st Source Bank","1st Source Bank confirms that the protected health information of 1,477 individuals was stolen in May 2023 when hackers exploited the zero day vulnerability in Progress Software’s MOVEit Transfer solution.","CVE-2023-34362 Vulnerability","Finance and insurance","Cyber Crime","US","Link"
"38","05/12/2023","16/11/2023","19/11/2023","?","4 Over","4 Over  provides notice of a data security incident. after detecting suspicious activity affecting systems within the network.","Unknown","Administration and support service","Cyber Crime","US","Link"
"39","05/12/2023","-","-","?","Dameron Hospital","Dameron Hospital reschedules some procedures after suffering a cyberattack,","Unknown","Human health and social work","Cyber Crime","US","Link"
"40","05/12/2023","03/11/2023","03/11/2023","?","Hi-School Pharmacy","Hi-School Pharmacy discloses a ransomware attack.","Malware","Human health and social work","Cyber Crime","CA","Link"
"41","05/12/2023","30/11/2023","30/11/2023","?","Rappler","Rappler, a digital media company in the Philippines, is hit by a massive series of crippling DDoS attacks.","DDoS","Information and communication","Cyber Crime","PH","Link"
