"ID","Date Reported","Date Occurred","Date Discovered","Author","Target","Description","Attack","Target Class","Attack Class","Country","Link"
"1","01/01/2024","31/12/2023","31/12/2023","?","Orbit Chain","Orbit Chain experiences a security breach that results in a loss of $86 million in cryptocurrency, particularly Ether, Dai, Tether, and USD Coin.","Unknown","Fintech","Cyber Crime","KR","Link"
"2","02/01/2024","-","-","Russia?","Surveillance cameras in Kyiv","Ukraine’s security officers say they took down two online surveillance cameras that were allegedly hacked by Russia to spy on air defense forces and critical infrastructure in Ukraine’s capital, Kyiv.","Unknown","Information and communication","Cyber Warfare","UA","Link"
"3","02/01/2024","08/12/2023","21/12/2023","Qilin","Australia's Court Services Victoria","Australia's Court Services Victoria (CSV) warns that video recordings of court hearings were exposed after suffering a reported Qilin ransomware attack.","Ransomware","Public admin and defence, social security","Cyber Crime","AU","Link"
"4","02/01/2024","28/12/2023","28/12/2023","?","Gallery Systems","Museum software solutions provider Gallery Systems discloses that its ongoing IT outages were caused by a ransomware attack last week.","Ransomware","Professional, scientific and technical","Cyber Crime","US","Link"
"5","02/01/2024","02/01/2024","02/01/2024","?","X account of Canadian senator Amina Gerba","The X (formerly Twitter) account of Canadian senator Amina Gerba is hijacked to promote a cryptocurrency scam.","Account Takeover","Individual","Cyber Crime","CA","Link"
"6","02/01/2024","02/01/2024","02/01/2024","?","Pays Fouesnantais","Pays Fouesnantais, a coastal township in Brittany in northwestern France, announces his municipal authority had been hit by a “large-scale” cyberattack that had taken down all of its community services.","Unknown","Public admin and defence, social security","Cyber Crime","FR","Link"
"7","02/01/2024","-","11/08/2023","?","DentalXChange","DentalXChange files a notice of data breach after discovering that an unauthorized party was able to access information belonging to certain dental care providers’ patients.","Account Takeover","Administration and support service","Cyber Crime","US","Link"
"8","03/01/2024","02/01/2024","02/01/2024","Snow'","Orange Spain","Orange Spain suffers an internet outage after an attacker with the moniker of 'Snow' breaches the company's RIPE account to misconfigure BGP routing and an RPKI configuration.","Account Takeover","Information and communication","Cyber Crime","ES","Link"
"9","03/01/2024","03/01/2024","03/01/2024","?","Mandiant X Account","The X (formerly Twitter) account of American cybersecurity firm and Google subsidiary Mandiant is hijacked to impersonate the Phantom crypto wallet and share a cryptocurrency scam.","Account Takeover","Professional, scientific and technical","Cyber Crime","US","Link"
"10","03/01/2024","03/01/2024","03/01/2024","?","X account of Brazilian politician Ubiratan Sanderson","The X (formerly Twitter) account of nonprofit consortium ‘The Green Grid' is hijacked to promote a cryptocurrency scam.","Account Takeover","Individual","Cyber Crime","BR","Link"
"11","03/01/2024","Since at least 21/12/2023","21/12/2023","UAC-0050","Government organizations in Ukraine","Researchers from Uptycs discover a new campaign from the threat actor known as UAC-0050, leveraging phishing attacks to distribute the Remcos RAT using new strategies to evade detection from security software.","Targeted Attack","Public admin and defence, social security","Cyber Espionage","UA","Link"
"12","03/01/2024","Since at least August 2023","During August 2023","TA444 (a.k.a. Sapphire Sleet, BLUENOROFF, STARDUST CHOLLIMA)","Multiple organizations within the cryptocurrency and the blockchain industries","A new Apple macOS backdoor called SpectralBlur overlaps with KANDYKORN, a known malware family attributed to North Korean threat actors from BlueNoroff (a.k.a. TA444), a subgroup of Lazarus.","Targeted Attack","Fintech","Cyber Espionage",">1","Link"
"13","03/01/2024","02/01/2024","02/01/2024","?","Individuals in Russia","A firmware hack causes LED curtains in Russia to display ‘Slava Ukraini’ ('Glory to Ukraine')","Firmware Hack","Individual","Hacktivism","RU","Link"
"14","03/01/2024","Since at least 05/12/2023","05/12/2023","'sastra'","Multiple organizations","Researchers from Fortinet discover three malicious packages in the open-source PyPI repository named modularseven, driftme, and catme, designed to target Linux systems to deploy a crypto miner.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"15","03/01/2024","03/01/2024","03/01/2024","?","RIPE Network Coordination Center Access (NCC Access)","The Regional Internet Registry for Europe, the Middle East, and Central Asia is investigating the compromise of an administrator account that has disrupted network traffic.","Account Takeover","Extraterritorial orgs and bodies","Cyber Crime","INT","Link"
"16","03/01/2024","'Over the past few months'","'Over the past few months'","?","Organizations in the hospitality sector","Researchers from Perception Point discover multiple attacks convincingly impersonating Booking.com to execute malicious payloads.","Malware","Accommodation and food service","Cyber Crime",">1","Link"
"17","03/01/2024","During January 2024","02/01/2024","IntelBroker","Cross Switch","Cross Switch, a leading company in online payment gateway management, suffers a data breach, reportedly carried out by the threat actor identified as IntelBroker, allegedly compromising the personal information of 3.6 million users.","Unknown","Fintech","Cyber Crime","LU","Link"
"18","03/01/2024","-","-","?","Twitter (X) Gold Accounts","Researchers from CloudSEK discover a rise in sales of Twitter Gold accounts with verification on dark web forums and marketplaces, to be used for phishing and disinformation campaigns,","Account Takeover","Individual","Cyber Crime",">1","Link"
"19","04/01/2024","-","-","?","X account of nonprofit consortium ‘The Green Grid'","The X (formerly Twitter) account of nonprofit consortium ‘The Green Grid' is hijacked to promote a cryptocurrency scam.","Account Takeover","Human health and social work","Cyber Crime","US","Link"
"20","04/01/2024","-","-","?","Mutiple organizations","Researchers from Arctic Wolf reveal that some organizations victimized by the Royal and Akira ransomware gangs have been targeted by a threat actor posing as a security researcher who promised to hack back the original attacker and delete stolen victim data.","Scam","Multiple Industries","Cyber Crime",">1","Link"
