"ID","Date Reported","Date Occurred","Date Discovered","Author","Target","Description","Attack","Target Class","Attack Class","Country","Link"
"1","01/05/2023","-","-","Russia?","Public opinion in Ukraine","The Security Service of Ukraine seizes operations of an illicit VPN allegedly been used by Russians to conduct disinformation operations.","Coordinated Inauthentic Behavior","Individual","Cyber Warfare","UA","Link"
"2","01/05/2023","01/05/2023","01/05/2023","Royal","City of Dallas","The City of Dallas suffers a Royal ransomware attack, causing it to shut down some of its IT systems to prevent the attack's spread.","Malware","Public admin and defence, social security","Cyber Crime","US","Link"
"3","01/05/2023","Since 26/04/2023","Since 26/04/2023","Multiple threat actors","Vulnerable TBK DVR devices","Researchers from Fortinet reveal that attackers are actively exploiting CVE-2018-9995, an unpatched 2018 authentication bypass vulnerability in exposed TBK DVR (digital video recording) devices.","CVE-2018-9995 vulnerability","Multiple Industries","Cyber Crime",">1","Link"
"4","01/05/2023","Since 29/04/2023","Since 29/04/2023","Multiple threat actors","Vulnerable MVPower TV-7104HE and TV-7108HE DVRs","Researchers from Fortinet discover a peak of attempts to exploit CVE-2016-20016, an old vulnerability impacting MVPower TV-7104HE and TV-7108HE DVRs devices.","CVE-2016-20016 vulnerability","Multiple Industries","Cyber Crime",">1","Link"
"5","01/05/2023","01/05/2023","01/05/2023","?","Level Finance","Attackers exploit a Level Finance smart contract vulnerability to drain approximately $1,100,000 worth of cryptocurrency.","Smart Contract vulnerability","Fintech","Cyber Crime","N/A","Link"
"6","01/05/2023","29/04/2023","29/04/2023","?","Penncrest School District","Penncrest School District announces a ransomware attack over the weekend that disrupted their systems.","Malware","Education","Cyber Crime","US","Link"
"7","01/05/2023","During 2022","During 2022","ScarCruft APT group (aka APT37, Reaper, and Group123)","Korean-speaking individuals","Researchers from Check Point reveal the details of a new campaign by the Korea-linked ScarCruft APT group (aka APT37, Reaper, and Group123) delivering the ROKRAT and Amadey payloads.","Targeted Attack","Individual","Cyber Espionage","KR","Link"
"8","01/05/2023","01/02/2023","01/02/2023","?","University Urology (UU)","University Urology (UU) posts a notice about an incident on their website when an unauthorized actor had gained access to protected health information stored in UU’s system.","Unknown","Education","Cyber Crime","US","Link"
"9","01/05/2023","During January 2023","During January 2023","?","Heritage Group","Heritage Group files a notice of data breach after an unauthorized party gained access to the company’s computer network and was able to access confidential information belonging to certain current and former employees and their dependents.","Unknown","Administration and support service","Cyber Crime","US","Link"
"10","01/05/2023","Between 29/03/2023 and 04/04/2023","04/04/2023","?","Link Audiology","Link Audiology, a provider of audiology services,confirms that the protected health information of up to 7,200 current and former patients has been exposed due to the hacking of an employee email account.","Account Takeover","Professional, scientific and technical","Cyber Crime","US","Link"
"11","01/05/2023","-","16/04/2023","CrossLock","Valid Certificadora","Valid Certificadora is a Brazilian firm that issues digital certificates used by both businesses and public entities, is added to the CrossLock ransomware leak site.","Malware","Professional, scientific and technical","Cyber Crime","BR","Link"
"12","01/05/2023","30/04/2023","30/04/2023","NoName057(16)","Italian Ministry of Infrastructure and Transport","The NoName057(16) Russian collective takes down the Italian Ministry of Infrastructure and Transport.","DDoS","Public admin and defence, social security","Hacktivism","IT","Link"
"13","02/05/2023","Since at least January 2023","-","?","Unknown organization(s)","The US Cybersecurity and Infrastructure Security Agency (CISA) adds CVE-2023-21839, an Oracle WebLogic flaw patched by the vendor in January, to its known exploited vulnerabilities catalog.","CVE-2023-21839 Vulnerability","Unknown","N/A","US","Link"
"14","02/05/2023","'Recently'","'Recently'","Earth Longzhi","Organizations in the Philippines, Taiwan, Thailand, and Fiji","Researchers from Trend Micro discover a new campaign by Earth Longzhi (a subgroup of APT41) targeting organizations based in Taiwan, Thailand, the Philippines, and Fiji, and using “stack rumbling” via Image File Execution Options (IFEO), a new denial-of-service (DoS) technique to disable security software.","Targeted Attack","Multiple Industries","Cyber Espionage","FJ PH TW TH","Link"
"15","02/05/2023","End of April 2023","End of April 2023","ALPHV AKA BlackCat","HWL Ebsworth","The Australian commercial law firm HWL Ebsworth falls victim to a BlackCat, ransomware attack, with attackers claiming to have obtained client information and employee data.","Malware","Professional, scientific and technical","Cyber Crime","AU","Link"
"16","02/05/2023","-","26/05/2023","Royal","Edison Learning","The Royal Ransomware claims to have infiltrated public school management and virtual learning provider Edison Learning, posting on its dark web data leak site that it had stolen 20GB of the company’s data “including personal information of employees and students” and threatening to post the data “early next week.”","Malware","Professional, scientific and technical","Cyber Crime","US","Link"
"17","02/05/2023","-","During November 2022","?","Optima Tax Relief","Optima Tax Relief files a notice of data breach after learning that a recent data security incident exposed the confidential information of certain customers to an unauthorized party.","Unknown","Finance and insurance","Cyber Crime","US","Link"
"18","02/05/2023","Since June 2022","Since June 2022","Multiple threat actors from Iran","Multiple countries","Researchers from Microsoft reveal that Iran is increasingly relying on cyber-enabled influence operations to ignite geopolitical change in the regions of interest for the Iranian regime.","Coordinated Inauthentic Behavior","Public admin and defence, social security","Cyber Warfare",">1","Link"
"19","02/05/2023","Between 22/02/2023 and 09/03/2023","09/03/2023","?","Carvin Software","Carvin Software files a notice of data breach after learning that an unauthorized party was able to copy files containing confidential consumer information from the company’s computer network.","Unknown","Professional, scientific and technical","Cyber Crime","US","Link"
"20","02/05/2023","Between 28/01/2023, 30/01/2023","Between 28/01/2023, 30/01/2023","Clop AKA Cl0p","Northwest Health – La Porte","Northwest Health – La Porte confirms that the protected health information of 10,256 patients was compromised in the Clop ransomware group’s series of attacks exploiting the zero-day vulnerability in Fortra’s GoAnywhere file transfer.","CVE-2023-0669 Vulnerability","Human health and social work","Cyber Crime","US","Link"
"21","02/05/2023","06/05/2023","06/05/2023","?","Wichita State University","Wichita State University takes proactive measures and disconnects several University systems to isolate an unauthorized attempt by a third party to access the University’s systems","Unknown","Education","Cyber Crime","US","Link"
"22","02/05/2023","02/05/2023","02/05/2023","?","Instituto Nacional de Tecnologia Agropecuaria (INTA)","The Argentinian Instituto Nacional de Tecnologia Agropecuaria (INTA), a public agency under the Ministry of Agriculture and Fisheries of the Nation, is hit with a cyber attack.","Unknown","Public admin and defence, social security","Cyber Crime","AR","Link"
"23","03/05/2023","-","-","Russia?","Public opinion in Ukraine","The Security Service and the National Police of Ukraine seize thousands of SIM cards, bank cards, GSM gateways and other specialized equipment used to support a network of 5,000 anonymous social media accounts on Facebook, Instagram and Twitter.","Coordinated Inauthentic Behavior","Individual","Cyber Warfare","UA","Link"
"24","03/05/2023","SInce late January 2023","Late January 2023","Threat actors from Vietnam","Individuals","Researchers from Meta discover a new information-stealing malware distributed on Meta called 'NodeStealer,' allowing threat actors to steal browser cookies to hijack accounts on the platform, as well as Gmail and Outlook accounts.","Malware","Individual","Cyber Crime",">1","Link"
"25","03/05/2023","-","-","DuckTail","Individuals","Researchers from Meta discover a new version of the DuckTail malware exploiting multiple cloud services to host the malicious payload.","Malware","Individual","Cyber Crime",">1","Link"
"26","03/05/2023","-","During Q1 2023","Pakistan-based APT","Military personnel in India and the Pakistan Air Force","Researchers from Meta reveal that state-linked hackers in Pakistan have been spying on military personnel in India and the Pakistan Air Force using fake apps and websites to compromise their personal devices","Account Takeover","Public admin and defence, social security","Cyber Espionage","IN PK","Link"
"27","03/05/2023","-","During Q1 2023","Bahamut APT","People in Pakistan and India, including the Kashmir region, with a particular interest in military personnel, government employees and activists.","Researchers from Meta take down about 110 accounts on Facebook and Instagram linked to the Bahamut APT, targeting people in Pakistan, India, including the Kashmir region, including military personnel, government employees, activists and others.","Account Takeover","Public admin and defence, social security","Cyber Espionage","IN PK","Link"
"28","03/05/2023","-","During Q1 2023","Patchwork APT","People in Pakistan, India, Bangladesh, Sri Lanka, the Tibet region, and China, including military personnel, activists, and minority groups","Researchers from Meta take down around 50 accounts on Facebook and Instagram linked to a hacking group in India known in the security industry as Patchwork. It targeted people in Pakistan, India, Bangladesh, Sri Lanka, the Tibet region, and China, including military personnel, activists, and minority groups","Account Takeover","Public admin and defence, social security","Cyber Espionage","BD CN IN LK PK","Link"
"29","03/05/2023","-","During Q1 2023","Threat actors from Iran","Individuals in israel, Bahrain, and France","Researchers from Meta remove 40 Facebook accounts, eight Pages and one Group for  coordinated inauthentic behavior originating from Iran and targeting primarily Israel, and also Bahrain and France.","Coordinated Inauthentic Behavior","Individual","Cyber Warfare","BH FR IL","Link"
"30","03/05/2023","-","During Q1 2023","Threat actors from China","Individuals in India and Tibet","Researchers from Meta remove 50 Facebook accounts, 46 Pages, 31 Groups and 10 accounts on Instagram, originated in China and targeting India and the Tibet region","Coordinated Inauthentic Behavior","Individual","Cyber Warfare","IN TB","Link"
"31","03/05/2023","-","During Q1 2023","Threat actors from China","Individuals in many regions around the world, including Taiwan, Sub-Saharan Africa, Japan, Central Asia and the Uyghur community","Researchers from Meta remove 107 Facebook accounts, 36 Pages, six Groups and 35 accounts on Instagram, originated in China and targeting many regions around the world, including Taiwan, Sub-Saharan Africa, Japan, Central Asia and the Uyghur community.","Coordinated Inauthentic Behavior","Individual","Cyber Warfare","JP TW","Link"
"32","03/05/2023","-","During Q1 2023","Threat actors from Venezuela","Individuals in Guatemala and Honduras","Researchers from Meta remove 24 Facebook accounts, 54 Pages and four accounts on Instagram, originated in Venezuela and the United States, and targeting Guatemala and Honduras.","Coordinated Inauthentic Behavior","Individual","Cyber Warfare","HN GT","Link"
"33","03/05/2023","-","During Q1 2023","Threat actors from Togo and Burkina Faso","Individuals in Burkina Faso","Researchers from Meta remove 134 Facebook accounts, 142 Pages and 20 accounts on Instagram, originated in Togo and Burkina Faso, and targeting Burkina Faso.","Coordinated Inauthentic Behavior","Individual","Cyber Warfare","BF TG","Link"
"34","03/05/2023","-","During Q1 2023","Threat actors from Georgia","Individuals in Georgia","Researchers from Meta remove 80 Facebook accounts, 26 Pages, nine Groups and two accounts on Instagram, originated in Georgia, and targeting domesting audience.","Coordinated Inauthentic Behavior","Individual","Cyber Warfare","GE","Link"
"35","03/05/2023","-","-","Dragon Breath AKA Golden Eye Dog, or APT-Q-27","Chinese-speaking Windows users in China, Japan, Taiwan, Singapore, Hong Kong, and the Philippines.","Researchers from Sophos discover an APT group known as ""Dragon Breath,"" ""Golden Eye Dog,"" or ""APT-Q-27"" demonstrating a new trend of using several complex variations of the classic DLL sideloading technique to evade detection.","Targeted Attack","Multiple Industries","Cyber Espionage","CN HK JP PH SG TW","Link"
"36","03/05/2023","Since 14/01/2023","05/03/2023","?","Sysco","Sysco, a leading global food distribution company, confirms that its network was breached by attackers who stole sensitive information, including business, customer, and employee data.","Unknown","Accommodation and food service","Cyber Crime","US","Link"
"37","03/05/2023","During Q1 2023","During Q1 2023","Multiple threat actors","Multiple organizations","Researchers from Meta warn that attackers are using the promise of generative artificial intelligence like ChatGPT to trick people into installing malicious code on devices and unearth 10 malware families only during Q1 2023","Malware","Multiple Industries","Cyber Crime",">1","Link"
"38","03/05/2023","02/05/2023","02/05/2023","KEKW","Multiple organizations","Researchers from Cyble uncover multiple malicious Python files distributing a new malware named ‘KEKW’.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"39","03/05/2023","-","-","RansomHouse","AvidXchange","The RansomHouse ransomware gang publishes a trove of sensitive data stolen from payment software company AvidXchange after the company fell victim to ransomware for the second time this year.","Malware","Professional, scientific and technical","Cyber Crime","US","Link"
"40","03/05/2023","Since at least November 2022","Since at least November 2022","?","PostNord DK customers","Researchers from Heimdal discover a phishing campaign using the PostNord DK website as the forefront.","Account Takeover","Finance and insurance","Cyber Crime","DK","Link"
"41","03/05/2023","'Recently'","'Recently'","?","Veridian Credit Union","Veridian Credit Union files a notice of data breach after determining that a hacker successfully obtained access to Veridian’s online membership application process.","Unknown","Finance and insurance","Cyber Crime","US","Link"
"42","03/05/2023","27/03/2023","07/04/2023","Trigona","Pacific Union College (PUC)","Pacific Union College (PUC) posts a data breach notice on its website after confirming that an April 2023 “cybersecurity issue” turned out to be a ransomware attack by the Trigona group.","Malware","Education","Cyber Crime","US","Link"
"43","03/05/2023","27/01/2023","Between 24/01/2023 and 27/01/2023","?","Triad Business Bank","Triad Business Bank files a notice of data breach following a cybersecurity incident that compromised the confidential information of at least 8,235 individuals. Based on the company’s official filing, the incident resulted in an unauthorized party gaining access to consumers’ names and Social Security numbers","Account Takeover","Finance and insurance","Cyber Crime","US","Link"
"44","03/05/2023","-","02/05/2023","Snatch Team","Lawrence Family Development Charter School","Threat actors from the Snatch Team ransomware group add the Lawrence Family Development Charter School in Massachusetts to their leak site.","Malware","Education","Cyber Crime","US","Link"
"45","03/05/2023","SInce at least December 2020","During December 2020 and January 2022","?","Eurasia Group","Eurasia Group discovers suspicious activity within its email system by a sophisticated threat actor in two different circumstances.","Targeted Attack","Professional, scientific and technical","Cyber Espionage","US","Link"
"46","03/05/2023","-","-","?","Hillsborough County Supervisor of Elections Office","The Hillsborough County Supervisor of Elections Office discloses a security breach.","Unknown","Public admin and defence, social security","Cyber Crime","US","Link"
"47","03/05/2023","04/03/2023","06/03/2023","Avos Locker","Methodist Family Health (MFH)","Methodist Family Health (MFH) discloses to have suffered a security breach. The Avos Locker ransomware gang claims responsibility for the attack.","Malware","Human health and social work","Cyber Crime","US","Link"
"48","03/05/2023","03/05/2023","03/05/2023","Monti","ASL 1 Abruzzo","The Monti ransomware gang hits the ASL 1 L'Aquila (the Italian National Health Department of the Abruzzo region) and leaks 522 GB of data.","Malware","Human health and social work","Cyber Crime","IT","Link"
"49","03/05/2023","-","-","ALPHV AKA BlackCat","AECO","The BlackCat ransomware gang lists the Italian sensor manufacturing company AECO in its leak site.","Malware","Manufacturing","Cyber Crime","IT","Link"
"50","03/05/2023","03/05/2023","03/05/2023","?","SECOP II","SECOP II, the Colombian transactional platform with accounts for state entities and contractors used for submitting, evaluating, and awarding contracts, is hit with a cyber attack.","Unknown","Public admin and defence, social security","Cyber Crime","CO","Link"
"51","04/05/2023","-","-","Kimsuky","Think tanks, research universities, and government entities in the United States, Europe, and Asia","Researchers from Sentinel Labs reveal that the North Korean group Kimsuky has been observed employing a new version of its reconnaissance malware, now called 'ReconShark,' in an ongoing cyber espionage campaign with a global reach.","Targeted Attack","Multiple Industries","Cyber Espionage",">1","Link"
"52","04/05/2023","Since 2022","-","Fleckpe","Android users","Researchers from Kaspersky discover a new Android subscription malware named 'Fleckpe' on Google Play, the official Android app store, disguised as legitimate apps downloaded over 620,000 times.","Malware","Individual","Cyber Crime",">1","Link"
"53","04/05/2023","03/04/2023","03/04/2023","ALPHV AKA BlackCat","Constellation Software","Canadian diversified software company Constellation Software confirmes that some of its systems were breached by threat actors who also stole personal information and business data. The BlackCat ransomware gangs claims responsibility for the attack.","Malware","Professional, scientific and technical","Cyber Crime","CA","Link"
"54","04/05/2023","Since May 2022","-","FluHorse","Users in Eastern Asia","","Malware","Individual","Cyber Crime",">1","Link"
"55","04/05/2023","22/04/2023","22/04/2023","?","Murfreesboro Medical Clinic & SurgiCenter","Murfreesboro Medical Clinic & SurgiCenter is forced offline after a cyberattack.","Unknown","Human health and social work","Cyber Crime","US","Link"
"56","04/05/2023","Since at least 2019","Since at least 2019","TA554?","Italian corporate banking clients","Researchers from Cleafy reveal that Italian corporate banking clients are the target of an ongoing financial fraud campaign that has been leveraging a new web-inject toolkit called drIBAN since at least 2019.","Malware","Finance and insurance","Cyber Crime","IT","Link"
"57","04/05/2023","-","-","Medusa","Crown Princess Mary Cancer Centre","The Medusa ransomware gang adds the Crown Princess Mary Cancer Centre to the list of the victims in their leak site.","Malware","Human health and social work","Cyber Crime","AU","Link"
"58","04/05/2023","'Recently'","'Recently'","SideCopy APT","Entities aligned with Pakistan government interests","Researchers from Fortinet discover a new campaign by the suspected Pakistan-aligned threat actor known as SideCopy leveraging themes related to India's Defence Research and Development Organization (DRDO).","Targeted Attack","Public admin and defence, social security","Cyber Espionage","IN","Link"
"59","04/05/2023","'Recently'","'Recently'","?","Individuals","Researchers from Avanan discover a PayPal phishing campaign hoping to steal money that end-users think is headed to a fundraiser for firefighters.","Account Takeover","Individual","Cyber Crime",">1","Link"
"60","04/05/2023","12/07/2022","12/07/2022","?","McPherson Hospital (McPherson Center for Health)","McPherson Hospital (McPherson Center for Health) files a notice of data breach after learning that a ransomware attack resulted in confidential patient information being accessible to unauthorized parties.","Malware","Human health and social work","Cyber Crime","US","Link"
"61","04/05/2023","-","During April 2023","Trigona","Unique Imaging","Unique Imaging is listed in the Trigona ransomware leak site.","Malware","Professional, scientific and technical","Cyber Crime","US","Link"
"62","04/05/2023","-","-","?","Adna School District","The Adna School District is defrauded of $346,000 through what school officials have called a “sophisticated phishing scam,”","Account Takeover","Education","Cyber Crime","US","Link"
"63","04/05/2023","-","-","Bl00dy (AKA Ransomware Cult)","Movement School","The Bl00dy ransomware gang claims to have breached the Movement School","Malware","Education","Cyber Crime","US","Link"
"64","04/05/2023","-","-","Bl00dy (AKA Ransomware Cult)","Socrates Academy","The Bl00dy ransomware gang claims to have breached the Socrates Academy","Malware","Education","Cyber Crime","US","Link"
"65","05/05/2023","05/05/2023","05/05/2023","NoName057(16)","French Website","Attackers from the pro-Russian collective NoName057(16) claim to have taken down the website of the French Senate.","DDoS","Public admin and defence, social security","Hacktivism","FR","Link"
"66","05/05/2023","05/05/2023","05/05/2023","NoName057(16)","French National Institute of Labour, Employment and Vocational Training","Attackers from the pro-Russian collective NoName057(16) claim to have taken down the website of the French National Institute of Labour, Employment and Vocational Training.","DDoS","Public admin and defence, social security","Hacktivism","FR","Link"
"67","05/05/2023","05/05/2023","05/05/2023","NoName057(16)","National Center for Space Research of France","Attackers from the pro-Russian collective NoName057(16) claim to have taken down the website of the National Center for Space Research of France.","DDoS","Public admin and defence, social security","Hacktivism","FR","Link"
"68","05/05/2023","05/05/2023","05/05/2023","NoName057(16)","Naval Group","Attackers from the pro-Russian collective NoName057(16) claim to have taken down the website of the French defense company Naval Group.","DDoS","Manufacturing","Hacktivism","FR","Link"
"69","05/05/2023","Since April 2023","During May 2023","UAC-0006","Multiple organizations in Ukraine","The Computer Emergency Response Team of Ukraine (CERT-UA) warns of an ongoing phishing campaign distributing the SmokeLoader malware in the form of a polyglot file.","Malware","Multiple Industries","Cyber Crime","UA","Link"
"70","05/05/2023","-","-","?","Smashing Pumpkins","Smashing Pumpkins frontman Billy Corgan reveals he had to pay a hacker's ransom to prevent them leaking songs from the band's new three-part rock opera Atum.","Unknown","Arts entertainment, recreation","Cyber Crime","US","Link"
