"ID","Date Reported","Date Occurred","Date Discovered","Author","Target","Description","Attack","Target Class","Attack Class","Country","Link"
"1","16/02/2023","16/02/2023","16/02/2023","Killnet","Websites of several German airports including: Hannover, Dortmund, Nuremberg, Karlsruhe/Baden-Baden, Dusseldorf, Erfurt-Weimar","The websites of several German airports are hit by a DDoS attack launched by the Killnet pro-Russian group.","DDoS","Transportation and storage","H","DE","Link"
"2","16/02/2023","Since at least 08/02/2023","08/02/2023","RansomExx2","Vulnerable ESXi servers","Researchers from Rapid7 reveal that the RansomExx2 ransomware gang is also targeting the VMware CVE-2021-21974 vulnerability.","CVE-2021-21974 Vulnerability","Multiple Industries","CC",">1","Link"
"3","16/02/2023","-","-","WIP26","Telecommunication providers in the Middle East","Researchers at Sentinel One discover a new threat cluster tracked as WIP26 targeting telecommunication providers in the Middle East.","Targeted Attack","Information and Communication","CC",">1","Link"
"4","16/02/2023","Since January 2022","During January 2022","Earth Yako","Researchers in the academic sector and think tanks","Researchers at Trend Micro discover a new campaign of the Earth Yako group targeting researchers in the academic sector and think tanks in Japan.","Targeted Attack","Education","CE","JP","Link"
"5","16/02/2023","-","-","?","Multiple organizations in Taiwan","Researchers from Broadcom/Symantec discover an unknown threat actor deploying a new malware named 'Frebniis' on Microsoft's Internet Information Services (IIS) that stealthily executes commands sent via web requests.","Malware","Multiple Industries","N/A","TW","Link"
"6","16/02/2023","-","15/02/2023","SiegedSec","Atlassian","A hacking crew called SiegedSec posts data on what appears to be thousands of employees and floor plans for two of the company's offices. The company admits that the hack was carried out using accounts stolen from Envoy, a third-party.","Account Takeover","Professional, scientific and technical","CC","AU","Link"
"7","16/02/2023","Since at least January 2021","-","Midnight Hedgehog","Multiple organizations","Researchers from Abnormal Security discover Midnight Hedgehog, a group leveraging Google Translate for Business Email Compromise attacks.","Business Email Compromise","Multiple Industries","CC","DE DK EE ES IT FR HU NL NO PL SE","Link"
"8","16/02/2023","Since at least February 2021","-","Mandarin Capybara","Multiple organizations","Researchers from Abnormal Security discover Mandarin Capybara, a group leveraging Google Translate for Business Email Compromise attacks.","Business Email Compromise","Multiple Industries","CC","AU CA FR DE ES IT PL PT SE NL US","Link"
"9","16/02/2023","Since November 2022","During November 2022","?","Organizations in Armenia","Researchers from Check Point discover Operation Silent Watch, a malicious campaign against entities in Armenia with a new version of a backdoor tracked as OxtaRAT, an AutoIt-based tool for remote access and desktop surveillance.","Targeted Attack","Multiple Industries","CE","AM","Link"
"10","16/02/2023","End of November 2022","End of November 2022","?","Individuals","Researchers from Avanan discover a campaign leveraging the online payments system PayPal to send malicious invoices directly to users through the platform.","Account Takeover","Individual","CC",">1","Link"
