"ID","Date Reported","Date Occurred","Date Discovered","Author","Target","Description","Attack","Target Class","Attack Class","Country","Link"
"1","16/06/2023","-","-","Clop AKA Lace Tempest, TA505 and, FIN11","U.S. Department of Agriculture","The U.S. Department of Agriculture confirms to have suffered a cyber attack exploiting the MOVEit CVE-2023-34362 vulnerability.","CVE-2023-34362 Vulnerability","Public admin and defence, social security","Cyber Crime","US","Link"
"2","16/06/2023","Since at least 18/04/2023","-","JokerSpy","Multiple organizations","Researchers from BitDefender discover a set of malicious components, believed to be a part of an advanced toolkit designed to compromise macOS systems.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"3","16/06/2023","During mid-January 2023","During mid-January 2023","?","LetsVPN Users","Researchers from Cyble discover numerous counterfeit LetsVPN websites, deliberately designed to distribute malware, masquerading as the genuine LetsVPN application.","Malware","Individual","Cyber Crime",">1","Link"
"4","16/06/2023","-","-","Clop AKA Lace Tempest, TA505 and, FIN11","Honeywell International","Honeywell International posts a notice on its website describing a data breach resulting from the CVE-2023-34362 vulnerability in MOVEit.","CVE-2023-34362 Vulnerability","Professional, scientific and technical","Cyber Crime","US","Link"
"5","16/06/2023","-","-","Clop AKA Lace Tempest, TA505 and, FIN11","East Western Bank","East Western Bank joins the list of the victims of the data breach resulting from the CVE-2023-34362 vulnerability in MOVEit.","CVE-2023-34362 Vulnerability","Finance and insurance","Cyber Crime","US","Link"
"6","16/06/2023","-","-","Clop AKA Lace Tempest, TA505 and, FIN11","Nuance","Software firm Nuance joins the list of the victims of the data breach resulting from the CVE-2023-34362 vulnerability in MOVEit.","CVE-2023-34362 Vulnerability","Professional, scientific and technical","Cyber Crime","US","Link"
"7","16/06/2023","14/02/2023","14/03/2023","?","The Hatcher Agency","The Hatcher Agency files a notice of data breach after learning that a recent data security incident resulted in confidential consumer information being accessible to an unauthorized party.","Unknown","Administration and support service","Cyber Crime","US","Link"
"8","16/06/2023","-","-","?","Parker Wellbore","Parker Wellbore files a notice of data breach after learning that hackers gained access to confidential information that had been entrusted to the company.","Unknown","Administration and support service","Cyber Crime","US","Link"
"9","16/06/2023","12/02/2023","19/04/2023","?","New Horizons Medical","New Horizons Medical files a notice of data breach after learning that a recent data security incident compromised the personal information of 12,317 New Horizons patients.","Unknown","Human health and social work","Cyber Crime","US","Link"
"10","16/06/2023","During January 2023","During January 2023","TimisoaraHackerTeam","Undisclosed U.S. cancer center","The Health Sector Cybersecurity Coordination Center issues an alert regarding a new relatively unknown ransomware group named TimisoaraHackerTeam that recently targeted an undisclosed U.S. cancer center.","Malware","Human health and social work","Cyber Crime","US","Link"
"11","16/06/2023","End of May 2023","End of May 2023","LockBit","Granules India","The Russia-linked ransomware group LockBit claims responsibility for a cyberattack on Indian pharmaceutical giant Granules India, and publishes portions of the data it allegedly stole.","Malware","Professional, scientific and technical","Cyber Crime","IN","Link"
"12","16/06/2023","10/06/2023","10/06/2023","?","Smartpay","Eftpos provider Smartpay reveals that criminals stole customer data in a ransomware attack.","Malware","Professional, scientific and technical","Cyber Crime","NZ","Link"
"13","16/06/2023","-","-","?","MyShopCasa","MyShopCasa, an Italian e-commerce site has its database leaked.","Unknown","Wholesale and retail","Cyber Crime","IT","Link"
"14","16/06/2023","-","-","8Base","Studio Legale Ranchino","The Studio Legale Ranchino, an Italian law firm suffers a ransomware attack by the 8Base gang.","Malware","Professional, scientific and technical","Cyber Crime","IT","Link"
"15","17/06/2023","-","-","Clop AKA Lace Tempest, TA505 and, FIN11","U.S. Office of Personnel Management","The U.S. Office of Personnel Management confirms to have suffered a cyber attack exploiting the MOVEit CVE-2023-34362 vulnerability.","CVE-2023-34362 Vulnerability","Public admin and defence, social security","Cyber Crime","US","Link"
"16","18/06/2023","-","-","Clop AKA Lace Tempest, TA505 and, FIN11","Undisclosed Property Manager","Australia's largest private health insurer Medibank Private discloses that a file containing names and contact details of staff members had been compromised after its property manager faced a cybersecurity breach due to the exploitation of the MOVEit CVE-2023-34362 vulnerability.","CVE-2023-34362 Vulnerability","Real estate","Cyber Crime","AU","Link"
"17","18/06/2023","18/06/2023","18/06/2023","Turk Hack Team","Central Bank of Malta","The collective Turk Hack Team takes down the website of the Central Bank of Malta","DDoS","Finance and insurance","Hacktivism","ML","Link"
"18","19/06/2023","'Recently'","'Recently'","APT-C-35 AKA DoNot","Individuals in Pakistan","Researchers from Cyfirma discover three Android apps on Google Play (Device Basic Plus, nSure Chat, and iKHfaa VPN) used by the state-sponsored threat actors to collect intelligence from targeted devices, such as location data and contact lists.","Targeted Attack","Individual","Cyber Espionage","PK","Link"
"19","19/06/2023","19/06/2023","19/06/2023","Killnet","European Investment Bank (EIB)","The pro-Russian Killnet hacktivist group claims to have taken down the network infrastructure of the European Investment Bank - EIB.","DDoS","Extraterritorial orgs and bodies","Hacktivism","EU","Link"
"20","19/06/2023","-","19/06/2023","?","BreachForums","The reincarnated BreachForums site just has its user database stolen and published.","Unknown","Other service activities","Cyber Crime","N/A","Link"
"21","19/06/2023","-","-","Clop AKA Lace Tempest, TA505 and, FIN11","Umpqua Bank","Umpqua Bank confirms that it was impacted by the massive cyberattack targeting the MOVEit file transfer software.","CVE-2023-34362 Vulnerability","Finance and insurance","Cyber Crime","US","Link"
"22","19/06/2023","During January 2023","-","Clop AKA Lace Tempest, TA505 and, FIN11","Blue Cross Vermont","Approximately 16,000 members of Blue Cross Vermont health plans have their protected health information compromised in a January 2023 cyberattack carried out exploiting the CVE-2023-0669 zero-day vulnerability in Fortra’s GoAnywhere MFT file transfer solution and accessed and stole sensitive data such as names, birth dates, addresses, medical information, and insurance information. Around 5% of the affected individuals also had their financial information stolen.","CVE-2023-0669 Fortra GoAnywhere MFT Vulnerability","Human health and social work","Cyber Crime","US","Link"
"23","19/06/2023","-","-","Clop AKA Lace Tempest, TA505 and, FIN11","Informatica","Software development firm Informatica reports that the Clop ransomware gang campaign obtained some files exploiting the MOVEit CVE-2023-34362 Vulnerability.","CVE-2023-34362 Vulnerability","Professional, scientific and technical","Cyber Crime","US","Link"
"24","20/06/2023","Since November 2021","-","APT28 (AKA BlueDelta, Fancy Bear, Sednit, Forest Blizzard and Sofacy)","Organizations in Ukraine","A joint investigation conducted by Ukraine's Computer Emergency Response Team (CERT-UA) and Recorded Future reveal that the APT28 group, linked to Russia's General Staff Main Intelligence Directorate (GRU), has breached Roundcube email servers belonging to multiple Ukrainian organizations, including government entities, exploiting the vulnerabilities CVE-2020-35730, CVE-2020-12641, and CVE-2021-44026.","Targeted Attack","Public admin and defence, social security","Cyber Espionage","UA","Link"
"25","20/06/2023","Over the past year","-","?","Multiple organizations","Researchers from Group-IB discover more than 101,000 ChatGPT user accounts stolen by information-stealing malware on various underground websites.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"26","20/06/2023","Since at least 2020","'Recently'","State-sponsored APT aligned with China","Organizations in East Asia","Researchers at Bitdefender reveal the details of Operation RedClouds, a campaign carried out by an advanced threat actor aligned with China, using a custom malware dubbed 'RDStealer' to automatically steal data from drives shared through Remote Desktop connections.","Targeted Attack","Multiple Industries","Cyber Espionage",">1","Link"
"27","20/06/2023","'Recently'","'Recently'","?","Multiple organizations","Researchers from AhnLab reveal that an unknown threat actor is brute-forcing Linux SSH servers to install a wide range of malware, including the Tsunami DDoS bot, ShellBot, log cleaners, privilege escalation tools, and an XMRig coin miner.","Misconfiguration","Multiple Industries","Cyber Crime",">1","Link"
"28","20/06/2023","Since at least 15/06/2023","15/06/2023","Multiple threat actors","Multiple organizations","VMware warns that the CVE-2023-20887 vulnerability, allowing remote code execution, is being actively exploited in attacks.","CVE-2023-20887 Vulnerability","Multiple Industries","N/A",">1","Link"
"29","20/06/2023","Since May 2023","During May 2023","Condi","Vulnerable TP-Link routers","Researchers from Fortinet warn that a new DDoS-as-a-Service botnet called ""Condi"" is exploiting a vulnerability in TP-Link Archer AX21 (AX1800) Wi-Fi routers to build an army of bots to conduct attacks.","CVE-2023-1389 Vulnerability","Multiple Industries","Cyber Crime",">1","Link"
"30","20/06/2023","12/04/2023","16/06/2023","?","iOttie","Car mount and mobile accessory maker iOttie warns that its site was compromised for almost two months to steal online shoppers' credit cards and personal information.","Malicious Script Injection","Manufacturing","Cyber Crime","US","Link"
"31","20/06/2023","-","13/06/2023","?","Hawaiʻi Community College","Hawaiʻi Community College discloses to be dealing with a ransomware attack.","Malware","Education","Cyber Crime","US","Link"
"32","20/06/2023","29/04/2023","-","?","Vincera Institute","Vincera Institute, a leading healthcare facility in Philadelphia, issues a notice regarding a recent ransomware attack","Malware","Human health and social work","Cyber Crime","US","Link"
"33","20/06/2023","-","-","?","Community Research Foundation","Community Research Foundation (CRF) files a notice of data breach, noting that a “Hacking/IT Incident” resulted in the confidential information of 30,057 individuals being leaked.","Unknown","Human health and social work","Cyber Crime","US","Link"
"34","20/06/2023","-","13/03/2023","?","Kannact","Kannact files a notice of data breach after determining that a recent data security incident resulted in unauthorized access to confidential consumer information that was in the company’s possession.","Unknown","Professional, scientific and technical","Cyber Crime","US","Link"
"35","20/06/2023","Around 10/06/2023","-","?","Stephen F. Austin State University","Stephen F. Austin State University is hit with a cyberattack.","Unknown","Education","Cyber Crime","US","Link"
"36","20/06/2023","-","19/06/2023","-","Radà","A database with 25,000 records of the Italian jewelry firm Radà, is published on Breach Forums.","Unknown","Manufacturing","Cyber Crime","IT","Link"
"37","20/06/2023","-","-","?","City of San Luis","The City of San Luis discloses an unauthorized access to an employee’s email account that contained the protected health information of 6,848 individuals","Account Takeover","Public admin and defence, social security","Cyber Crime","US","Link"
"38","21/06/2023","Between late 2022 and early 2023","-","APT15 AKA Nickel, Flea, Ke3Chang, and Vixen Panda","Foreign affairs ministries in Central and South American countries","Researchers from Broadcom/Symantec unearth a new campaign by the Chinese state-sponsored group tracked as APT15, using a novel backdoor named 'Graphican'.","Targeted Attack","Public admin and defence, social security","Cyber Espionage",">1","Link"
"39","21/06/2023","Since at least February 2023","-","?","UPS Customers in Canada","Multinational shipping company UPS alerts Canadian customers that some of their personal information might have been exposed via its online package look-up tools and abused in phishing attacks.","Account Takeover","Administration and support service","Cyber Crime","CA","Link"
"40","21/06/2023","During May 2023","During May 2023","APT37 (AKA StarCruft, Reaper, or RedEyes)","Multiple organizations","Researchers from AhnLab reveal the details of the latest campaign from the North Korean threat actor APT37 using two new custom malware strains dubbed 'AblyGo backdoor' and 'FadeStealer'.","Targeted Attack","Multiple Industries","Cyber Espionage","N/A","Link"
"41","21/06/2023","06/06/2023","06/06/2023","Russia","Individuals Worldwide","Russian officials and diplomats have been coordinating an unusually organized and large-scale disinformation campaign to discredit reports that the nation is responsible for the June 6 collapse of the Nova Kakhovka Dam.","Coordinated Inauthentic Behavior","Individual","Cyber Warfare",">1","Link"
"42","21/06/2023","-","-","Clop AKA Lace Tempest, TA505 and, FIN11","Gen","Cybersecurity giant Gen, which owns well-known brands like Norton, Avast, LifeLock, Avira, AVG, ReputationDefender and CCleaner, confirms that its data was accessed through a cyber attack exploiting the MOVEit CVE-2023-34362 vulnerability.","CVE-2023-34362 Vulnerability","Professional, scientific and technical","Cyber Crime","US","Link"
