"ID","Date Reported","Date Occurred","Date Discovered","Author","Target","Description","Attack","Target Class","Attack Class","Country","Link"
"1","16/11/2023","-","-","?","Multiple organizations in the U.S.","The U.S. Cybersecurity & Infrastructure Security Agency (CISA) adds to its catalog of known exploited vulnerabilities (KEV) the CVE-2023-36584 vulnerability ""Mark of the Web"" (MotW)  on Microsoft Windows.","CVE-2023-36584 Vulnerability","Multiple Industries","N/A","US","Link"
"2","16/11/2023","-","-","?","Multiple organizations in the U.S.","The U.S. Cybersecurity & Infrastructure Security Agency (CISA) adds to its catalog of known exploited vulnerabilities (KEV) the CVE-2023-1671 RCE vulnerability targeting Sophos appliances.","CVE-2023-1671 Vulnerability","Multiple Industries","N/A","US","Link"
"3","16/11/2023","-","-","?","Multiple organizations in the U.S.","The U.S. Cybersecurity & Infrastructure Security Agency (CISA) adds to its catalog of known exploited vulnerabilities (KEV) the CVE-2020-2551 vulnerability targeting Oracle Fusion Middleware","CVE-2020-2551 Vulnerability","Multiple Industries","N/A","US","Link"
"4","16/11/2023","-","25/10/2023","INC","Yamaha Motor Philippines","Yamaha Motor Co. announces that one of the servers managed by its motorcycle manufacturing and sales subsidiary in the Philippines, Yamaha Motor Philippines, was hit with a ransomware attack. The INC Ransom gang claims responsibility for the attack.","Malware","Manufacturing","Cyber Crime","PH","Link"
"5","16/11/2023","-","-","Clop a.k.a. Lace Tempest, TA505, and FIN11","U.S. Center for Medicare & Medicaid Services","The U.S. Center for Medicare & Medicaid Services (CMS) reveals to have been impacted by the MOVEit breach of the corporate network of Maximus Federal Services.","CVE-2023-34362 Vulnerability","Human health and social work","Cyber Crime","US","Link"
"6","16/11/2023","Since at least 2009","During May 2013","Appin Security Group","Government and private organizations worldwide","Researchers from Sentinel One reveal the details of Appin Security Group (ASG), a hack-for-hire Indian firm involved in espionage, surveillance, and disruptive attacks.","Targeted Attack","Multiple Industries","Cyber Espionage",">1","Link"
"7","16/11/2023","'Recently'","'Recently'","?","212 individuals at 88 organizations","Researchers at Abnormal Security uncover a charity attack exploiting the ongoing events in Gaza and Israel, attempting to manipulate sympathy for children in Palestine to solicit fraudulent donations.","Scam","Multiple Industries","Cyber Crime",">1","Link"
"8","16/11/2023","Since at least 10/11/2023","10/11/2023","?","Crypto users","A sophisticated phishing campaign promotes links distributing malware via various social media accounts posing as legitimate blockchain security firms and crypto scam investigators.","Malware","Fintech","Cyber Crime",">1","Link"
"9","16/11/2023","-","-","Six individuals in Ukraine and four in Czechia","Individuals in Czechia","The Europol arrests a voice phishing gang targeting victims in Czechia, with the damage caused there alone estimated at over €8 million ($8.7 million),","Account Takeover","Individual","Cyber Crime","CZ","Link"
"10","16/11/2023","-","-","SiegedSec","Israir Airlines","Hacktivists from SiegedSec claim to have allegedly compromised Israir Airlines and post a link with 1.4GB of data related to the company's internal and confidential documents.","Unknown","Transportation and storage","Hacktivism","IL","Link"
"11","16/11/2023","-","-","SiegedSec","Israel Ministry of Agriculture","Hacktivists from SiegedSec claim to have allegedly compromised devices from Israel's Ministry of Agriculture.","Unknown","Public admin and defence, social security","Hacktivism","IL","Link"
"12","16/11/2023","-","-","SiegedSec","Shufersal","Hacktivists from SiegedSec claim to have allegedly compromised Shufersal supermarket chain’s systems.","Unknown","Wholesale and retail","Hacktivism","IL","Link"
"13","16/11/2023","25/08/2023","27/10/2023","?","Systems East","Systems East notifies 209,000 consumers after a database with some payment card info is hacked.§","Unknown","Professional, scientific and technical","Cyber Crime","US","Link"
