"ID","Date Reported","Date Occurred","Date Discovered","Author","Target","Description","Attack","Target Class","Attack Class","Country","Link"
"1","17/07/2023","Since June 2023","During June 2023","NoEscape","Multiple organizations","The new NoEscape ransomware operation, targeting Windows, Linux, and VMware ESXi servers, is believed to be a rebrand of Avaddon, a ransomware gang that shut down and released its decryption keys in 2021.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"2","17/07/2023","14/07/2023","14/07/2023","Multiple threat actors","Multiple e-commerce sites using WooCommerce Payments","Researchers from Wordfence reveal that attackers are conducting widespread exploitation of CVE-2023-28121, a critical WooCommerce Payments plugin to gain the privileges of any users, including administrators, on vulnerable WordPress installation.","CVE-2023-28121 vulnerability","Wholesale and retail","Cyber Crime",">1","Link"
"3","17/07/2023","16/07/2023","16/07/2023","?","Tomra","Norwegian recycling and mining corporation Tomra is in the midst of an “extensive” cyberattack affecting its systems.","Unknown","Mining and quarrying","N/A","NO","Link"
"4","17/07/2023","16/07/2023","16/07/2023","?","Helix","Customers of the Russian medical laboratory Helix are unable to receive their test results for several days due to an attempted ransomware attack that crippled the company's systems over the weekend.","Malware","Professional, scientific and technical","Cyber Crime","RU","Link"
"5","17/07/2023","During November 2022 and May 2023","-","RedCurl","Undisclosed major Russian Bank","Researchers from F.A.C.C.T reveal that the Russian-speaking hacking group RedCurl attacked a “major Russian bank” to steal corporate secrets,","Targeted Attack","Finance and insurance","Cyber Espionage","RU","Link"
"6","17/07/2023","During June 2023","-","RedCurl","Undisclosed Australian Organization","Researchers from F.A.C.C.T reveal that the Russian-speaking hacking group RedCurl attacked an undisclosed Australian organization to steal corporate secrets,","Targeted Attack","Unknown","Cyber Espionage","AU","Link"
"7","17/07/2023","-","-","Clop AKA Lace Tempest, TA505 and FIN11","TJX Companies","TJX Companies is added to the list of the victims of the Clop ransomware gang exploiting the CVE-2023-34362 vulnerability.","CVE-2023-34362 Vulnerability","Wholesale and retail","Cyber Crime","US","Link"
"8","17/07/2023","-","-","Clop AKA Lace Tempest, TA505 and FIN11","Vitesco Technlogies","Vitesco Technlogies is added to the list of the victims of the Clop ransomware gang exploiting the CVE-2023-34362 vulnerability.","CVE-2023-34362 Vulnerability","Manufacturing","Cyber Crime","DE","Link"
"9","17/07/2023","-","-","Clop AKA Lace Tempest, TA505 and FIN11","Valmet","Vitesco Technlogies is added to the list of the victims of the Clop ransomware gang exploiting the CVE-2023-34362 vulnerability.","CVE-2023-34362 Vulnerability","Manufacturing","Cyber Crime","FI","Link"
"10","17/07/2023","-","-","Clop AKA Lace Tempest, TA505 and FIN11","Fortescue","Fortescue is added to the list of the victims of the Clop ransomware gang exploiting the CVE-2023-34362 vulnerability.","CVE-2023-34362 Vulnerability","Mining and quarrying","Cyber Crime","AU","Link"
"11","17/07/2023","-","-","Clop AKA Lace Tempest, TA505 and FIN11","DESMI","DESMI is added to the list of the victims of the Clop ransomware gang exploiting the CVE-2023-34362 vulnerability.","CVE-2023-34362 Vulnerability","Manufacturing","Cyber Crime","DK","Link"
"12","17/07/2023","-","-","Clop AKA Lace Tempest, TA505 and FIN11","Crum & Forster","Crum & Forster is added to the list of the victims of the Clop ransomware gang exploiting the CVE-2023-34362 vulnerability.","CVE-2023-34362 Vulnerability","Finance and insurance","Cyber Crime","US","Link"
"13","17/07/2023","-","-","Clop AKA Lace Tempest, TA505 and FIN11","Compucom Systems","Compucom Systems is added to the list of the victims of the Clop ransomware gang exploiting the CVE-2023-34362 vulnerability.","CVE-2023-34362 Vulnerability","Professional, scientific and technical","Cyber Crime","US","Link"
"14","17/07/2023","-","-","Clop AKA Lace Tempest, TA505 and FIN11","Sierra Wireless","Sierra Wireless is added to the list of the victims of the Clop ransomware gang exploiting the CVE-2023-34362 vulnerability.","CVE-2023-34362 Vulnerability","Manufacturing","Cyber Crime","US","Link"
"15","17/07/2023","-","-","Clop AKA Lace Tempest, TA505 and FIN11","RCI","RCI is added to the list of the victims of the Clop ransomware gang exploiting the CVE-2023-34362 vulnerability.","CVE-2023-34362 Vulnerability","Accommodation and food service","Cyber Crime","US","Link"
