"ID","Date Reported","Date Occurred","Date Discovered","Author","Target","Description","Attack","Target Class","Attack Class","Country","Link"
"1","16/03/2023","Since 2021","titu","Author","Various government organizations since 2021, including Lithuania, India, Vatican, and Slovakia.","Researchers from Sentinel One discover a new campaign by the pro-Russian group Winter Vivern, targeting several European government organizations and telecommunication service providers to conduct espionage.","Targeted Attack","Multiple Industries","Cyber Espionage","IN IT PL UA","Link"
"2","16/03/2023","16/03/2023","16/03/2023","?","Latitude Financial Services","Australian financial services company Latitude Financial Services reveals that personal information of approximately 14 million individuals might have been compromised in a data breach.","Unknown","Finance and insurance","Cyber Crime","AU","Link"
"3","16/03/2023","-","-","?","Two undisclosed service providers","In the wake of the Latitude Financial Services breach, the threat actor is able to steal an employee's login and use it for logging into two of the company's service providers to steal customer data.","Account Takeover","Professional, scientific and technical","Cyber Crime","AU","Link"
"4","16/03/2023","-","-","BianLian","Multiple organizations","Researchers from Redacted reveal that the BianLian ransomware group has shifted its focus from encrypting its victims' files to only exfiltrating data found on compromised networks and using them for extortion.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"5","16/03/2023","During Q1 2023","During Q1 2023","HinataBot","Realtek SDK, Huawei routers, and Hadoop YARN servers","Researchers from Akamai discover HinataBot, a new malware botnet targeting Realtek SDK, Huawei routers, and Hadoop YARN servers to recruit devices into DDoS.","Multiple vulnerabilities including CVE-2014-8361 and CVE-2017-17215","Multiple Industries","Cyber Crime",">1","Link"
"6","16/03/2023","Since mid-2022","During mid-2022","UNC3886","Defense, government, tech, and telecom organizations","Researchers from Mandiant reveal that the suspected Chinese threat actor UNC3886 has been exploiting the Fortinet CVE-2022-41328 vulnerability to target organizations in the in the defense, government, tech, and telecom sectors.","Targeted Attack","Multiple Industries","Cyber Espionage",">1","Link"
"7","16/03/2023","During December 2022","SInce October 2022","Trigona","At least 16 organizations in the manufacturing, finance, construction, agriculture, marketing and high technology industries.","Researchers from Palo Alto Networks discover Trigona, a new ransomware strain extremely active in Australia, Italy, France, Germany, New Zealand, and the United States.","Malware","Multiple Industries","Cyber Crime","AU DE FR IT NZ US","Link"
"8","16/03/2023","Early February 2023","Early February 2023","?","Undisclosed Educational Institution","Researchers from Armorblox detect a new hybrid phishing campaign impersonating the Social Security Administration (SSA), which tries to trick recipients into calling a criminal call center.","Account Takeover","Education","Cyber Crime","US","Link"
"9","16/03/2023","-","-","?","Android Crypto users","Researchers from ESET discover dozens of copycat Telegram and WhatsApp websites targeting mainly Android and Windows users with trojanized versions of these instant messaging apps hiding clipper malware.","Malware","Fintech","Cyber Crime",">1","Link"
"10","16/03/2023","-","During July 2022","?","Happy State Bank (HSB)","Happy State Bank (HSB) files a notice of data breach after learning that confidential consumer information stored on the company’s computer system was compromised following an email phishing attack.","Account Takeover","Finance and insurance","Cyber Crime","US","Link"
"11","16/03/2023","-","-","Phoenix","Indian Health Ministry","A pro-Russian hacker group, Phoenix, claims to have hacked the Indian Health Ministry, and stolen sensitive information on hospitals, staff, patients and more.","Unknown","Public admin and defence, social security","Hacktivism","IN","Link"
"12","17/03/2023","-","-","Clop (AKA Cl0p)","Hitachi Energy","Hitachi Energy confirms it suffered a data breach after the Clop ransomware gang stole data using the GoAnywhere zero-day vulnerability.","CVE-2023-0669 Fortra GoAnywhere MFT Vulnerability","Electricity, gas steam, air conditioning","Cyber Crime","CH","Link"
"13","17/03/2023","-","30/01/2023","Clop (AKA Cl0p)","Rio Tinto","Rio Tinto, the world's second-largest metals and mining corporation, ia added to Clop’s ransomware list of victims.","CVE-2023-0669 Fortra GoAnywhere MFT Vulnerability","Mining and quarrying","Cyber Crime","AU UK","Link"
"14","17/03/2023","-","-","Clop (AKA Cl0p)","Undisclosed supplier","Investissement Québec, a government organization created to attract businesses to the region, confirms that one of its suppliers was attacked through the GoAnywhere MFT product by the Clop ransomware gang.","CVE-2023-0669 Fortra GoAnywhere MFT Vulnerability","Professional, scientific and technical","Cyber Crime","CA","Link"
"15","17/03/2023","'Recently'","'Recently'","?","Undisclosed Service Provider","The NBA (National Basketball Association) notifies fans of a data breach after some of their personal information, ""held"" by a third-party newsletter service, was stolen.","Unknown","Professional, scientific and technical","Cyber Crime","US","Link"
"16","17/03/2023","17/03/2023","17/03/2023","?","Docomo Pacific","The largest provider of mobile, television, internet and telephone services to the U.S. territories of Guam and the Northern Mariana Islands, Docomo Pacific, recovers from a cyberattack that brought down many of its services.","Unknown","Information and communication","Cyber Crime","US","Link"
