"ID","Date Reported","Date Occurred","Date Discovered","Author","Target","Description","Attack","Target Class","Attack Class","Country","Link"
"1","16/10/2023","-","-","?","Android users in Italy","Researchers from D3Lab observe the Android 'SpyNote' malware in attacks targeting Italy using a fake 'IT-alert' public alert service announcing a fake volcano eruption.","Malware","Individual","Cyber Crime","IT","Link"
"2","16/10/2023","'In recent weeks'","'In recent weeks'","?","Multiple organizations","Researchers from Malwarebytes discover a new Google Search malvertising campaign targeting users looking to download the popular Notepad++ text editor, employing advanced techniques to evade detection and analysis.","Malvertising","Multiple Industries","Cyber Crime",">1","Link"
"3","16/10/2023","-","05/10/2023","SingularityMD","Clark County School District","The Clark County School District (CCSD) is hit by a cyber attack claimed by a threat actor name 'SingularityMD'. Three weeks after, the attacker emails parents their children's' data that was allegedly stolen during the cyberattack.","Unknown","Education","Cyber Crime","US","Link"
"4","16/10/2023","-","15/10/2023","Black Basta","Ampersand","Ampersand, a television advertising sales and technology company jointly owned by the three largest U.S. cable operators (Comcast Corporation, Charter Communications and Cox Communications) is hit with a Black Basta ransomware attack.","Malware","Information and communication","Cyber Crime","US","Link"
"5","16/10/2023","16/10/2023","16/10/2023","?","Westchester Medical Center Health Network","Westchester Medical Center Health Network releases a statement, warning that HealthAlliance Hospital, Margaretville Hospital and Mountainside Residential Care Center are “experiencing a potential cybersecurity threat and an IT system outage.""","Unknown","Human health and social work","Cyber Crime","US","Link"
"6","16/10/2023","-","-","Pro-Russian hacker group","Spotify account of a British-based music artist named Rebzyyx","A pro-Russian hacker group claims to have hacked a British-based music artist named Rebzyyx, replacing their profile image and album covers with pictures featuring Russian flags.","Account Takeover","Arts entertainment, recreation","Hacktivism","GB","Link"
"7","16/10/2023","Since at least 11/10/2023","13/10/2023","?","Individuals in Russia, Sweden, Romania, Iran, India, US, Japan, Germany, and the UK","Researchers from Bitdefender discover multiple Israel war-themed spam campaigns.","Scam","Individual","Cyber Crime","DE GB IN IR JP RO RU SE US","Link"
"8","16/10/2023","-","-","Lumma Stealer","Multiple organizations","Researchers from Trend Micro discover a campaign delivering the Lumma Stealer via Discord.","Malware","Multiple Industries","Cyber Crime",">1","Link"
"9","16/10/2023","-","14/10/2023","ALPHV AKA BlackCat","QSI","The BlackCat ransomware group adds QSI Banking to its victim list and claims to have stolen 5 TB of data.","Malware","Professional, scientific and technical","Cyber Crime","US","Link"
"10","16/10/2023","28/07/2023","-","XorDDoS","Multiple organizations","Researchers from Palo Alto discover a new campaign from the XorDDoS Trojan.","Malware","Multiple Industries","Cyber Crime",">1","Link"
