Date,Mentions-DDoS,Mentions-Phishing,Mentions-Ransomware,Mentions-Password Attack,Mentions-SQL Injection,Mentions-Account Hijacking,Mentions-Defacement,Mentions-Trojan,Mentions-Vulnerability,Mentions-Zero-day,Mentions-Advanced persistent threat,Mentions-XSS,Mentions-Malware,Mentions-Data Breach,Mentions-Disinformation/Misinformation,Mentions-Targeted Attack,Mentions-Adware,Mentions-Brute Force Attack,Mentions-Malvertising,Mentions-Backdoor,Mentions-Botnet,Mentions-Cryptojacking,Mentions-Worms,Mentions-Spyware,Mentions-MITM,Mentions-DNS Spoofing,Mentions-Pegasus Spyware,Mentions-CoolWebSearch Spyware,Mentions-Gator GAIN Spyware,Mentions-180search Assistant Spyware,Mentions-Transponder vx2 Spyware,Mentions-WannaCry Ransomware,Mentions-Colonial Pipeline Ransomware,Mentions-Cryptolocker,Mentions-Dropper,Mentions-Wiper,Mentions-Pharming,Mentions-Insider Threat,Mentions-Drive-by,Mentions-Rootkit,Mentions-Adversarial Attack,Mentions-Data Poisoning,Mentions-Deepfake,Mentions-Deeplocker,Mentions-Supply Chain,Mentions-IoT Device Attack,Mentions-Keylogger,Mentions-DNS Tunneling,Mentions-Session Hijacking,Mentions-URL manipulation,Mentions-Unknown
Jan-23,212,79,94,68,53,2,4,49,28895,29,9,16,1191,41,91,19,6,30,6,10,99,14,23,9,75,0,0,0,0,0,0,0,0,1,0,0,0,37,9,13,6,13,0,0,2,4,1,0,2,0,12
Feb-23,40,208,24,100,40,3,0,47,29199,25,0,0,1190,56,59,14,6,5,1,50,146,8,11,8,35,0,0,0,0,0,0,9,0,0,0,0,0,18,9,13,8,9,30,0,8,30,0,0,4,0,0
Mar-23,367,80,52,146,52,2,7,44,41746,8,0,15,985,93,150,20,5,4,1,60,138,12,27,2,21,0,0,0,0,0,0,8,0,1,0,0,0,9,0,2,6,9,7,0,2,7,4,7,6,0,11
Apr-23,383,187,45,28,41,1,6,57,36955,25,34,8,253,84,1,19,2,4,0,58,139,13,13,11,49,4,0,0,0,0,0,0,0,2,0,0,2,18,2,13,25,9,83,0,32,106,0,0,6,1,2
May-23,59,158,49,144,6,3,8,27,25737,28,35,19,1067,13,231,2,2,32,0,52,133,7,29,3,51,1,0,0,0,0,0,0,0,0,0,0,1,53,10,9,14,9,76,0,35,74,1,2,0,1,10
Jun-23,401,138,16,156,8,3,0,59,31523,0,22,15,968,147,244,19,3,33,3,59,42,0,28,12,57,0,0,0,0,0,0,0,0,1,0,0,0,52,0,8,4,4,2,0,6,71,0,4,6,1,10
Jul-23,315,90,54,48,25,3,7,59,21961,11,35,2,192,46,195,23,5,4,5,50,140,7,26,11,21,2,0,0,0,0,0,3,0,0,0,0,3,3,0,0,5,0,65,0,40,90,0,6,6,1,6
Aug-23,359,198,83,156,22,3,7,58,31521,26,17,19,1151,137,240,19,3,8,0,38,146,13,25,0,72,1,0,0,0,0,0,1,0,0,0,0,0,31,9,3,28,9,43,0,40,0,0,0,4,0,2
Sep-23,408,215,97,90,34,2,1,58,11981,4,22,19,742,92,155,20,1,19,6,57,140,13,9,1,55,3,0,0,0,0,0,9,0,0,0,0,0,47,0,5,70,4,60,0,13,109,0,0,1,0,2
Oct-23,356,215,97,99,0,2,0,58,26363,27,29,18,494,49,156,4,5,33,0,9,66,14,8,1,43,5,0,0,0,0,0,7,0,1,0,0,0,45,9,8,4,1,0,0,0,8,0,0,0,0,1
Nov-23,60,71,22,75,8,4,7,58,31406,25,32,17,834,22,9,1,2,35,4,49,11,11,24,11,37,6,0,0,0,0,0,7,0,0,0,0,0,23,2,14,2,13,85,0,7,9,1,0,7,0,8
Dec-23,372,11,58,154,52,0,3,42,21263,24,36,20,475,151,134,4,5,15,5,2,142,3,9,7,28,5,0,0,0,0,0,7,0,1,0,0,0,35,9,15,158,0,66,0,40,49,3,6,6,1,12
Jan-24,370,193,63,144,24,1,8,37,18969,29,12,6,503,68,225,22,3,33,5,15,6,1,24,7,47,5,0,0,0,0,0,9,0,1,0,0,5,2,5,3,160,7,0,0,3,19,1,8,0,1,2
Feb-24,50,203,10,67,8,3,4,21,3584,25,10,7,960,152,12,19,5,24,6,4,141,12,6,9,26,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,5,20,0,33,80,0,1,0,1,9
Mar-24,173,206,52,19,12,2,0,43,22201,27,35,20,663,87,175,16,3,28,3,60,49,9,28,0,14,4,0,0,0,0,0,7,0,2,0,0,5,1,8,0,10,13,50,0,38,58,0,0,0,0,2
Apr-24,357,37,29,86,9,3,1,58,15800,29,35,15,1091,121,7,22,4,23,1,53,146,13,28,12,74,5,0,0,0,0,0,10,0,0,0,0,4,3,8,3,69,10,53,0,19,69,0,10,7,1,2
